author,updated_at,like_count,text,public
@tharakworks9352,2022-08-09T08:43:17Z,0,Mann!!! you helped me out there!!!! glad that someone who's expertized made a channel!!! THANK YOU DUDE!!!!,True
@momentomoridoth2007,2022-02-19T15:07:44Z,0,"not sure, so don't quote me, but I am pretty sure that __magic__ is how python deals with dunder under the hood in regards to the properties they all share collectively, and if you decided you wanted to change how all dunder methods behaved you could modify it. - this could be a huge noob assumption, as I know very little about the inner workings of python, but it is my best guess.",True
@AlexJaeger716,2021-11-24T23:04:23Z,0,Why does everybody make the same app?,True
@SAArcher,2021-10-08T04:17:43Z,0,I can't follow you. You are not explaining things at a newbie level. You type things without explaining why. I hate CMD prompt. Nothing you do in cmd prompt works for me and I have to Google to even attempt to follow along. Bleh.,True
@Rohitkumar-tx6jl,2021-09-10T15:38:33Z,0,Nice one of the best,True
@sambhavmohanty8800,2021-08-21T12:53:40Z,0,"I got an error in 4:54, here it is please help me out. I wanna learn and also can you recommend me what software to use? Thanks.",True
@user-xc2yc3vz5e,2021-05-08T21:16:20Z,1,.,True
@user-nm1jw6ug4v,2021-04-30T03:39:39Z,0,"Thank you very much, really clear tutorial!",True
@bobnewman6196,2021-04-23T21:16:58Z,0,"hello, I am fairly new to sockets and programming in general. When I run the client, I cannot send multiple message. Once I send the first message as the client, the little arrow telling me where to type goes away. I use the anaconda prompt and not cmd. I am not sure what the issue could be. Would anyone have an idea? Thanks in advance",True
@dean-orochester7374,2021-04-23T00:23:06Z,0,I have a crypto currency bot I wrote in python. It runs fine and uses command line parameters to set the coin etc. it also uses sqlite3 to store state values. Is Kivy able to be used to convert this to an iOS app?  If so are you taking on any new contract work to help me convert this to kivy?,True
@ekeudavidjunior5176,2021-04-01T11:12:58Z,0,I just like the way he explains very clear and direct,True
@allanimeworld2898,2021-02-28T08:06:21Z,0,Sir i have a question i you are readong please tell me this That when we make class we have to make a object of a class but you don't make object and just write class name with brackets in app class sir so how are we able to use class's instances  Sir please tell me how it executes 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 Sir please tell,True
@mirs-vlog,2020-12-30T04:56:41Z,1,If you add different thumbnail for your video  there would be better views for your videos,True
@sksahil4374,2020-11-04T07:05:10Z,0,Kivy game https://play.google.com/store/apps/details?id=org.flappypybird.flappypybird,True
@perinoveriza1658,2020-11-02T11:39:50Z,0,You always the best..👍👍,True
@danielvanstaden8247,2020-10-18T13:03:03Z,0,What does **kwargs do I ran the program without it and it still works... Please explain this whole thing is so confusing help,True
@zachj7078,2020-10-18T10:45:06Z,0,"Ive spent the last 6 hours trying to install kivy, basically about to give up....",True
@timetocode7749,2020-10-08T07:44:45Z,0,Simple introduction to android development https://youtu.be/QWoCle4RGgs wait for our projects,True
@Ahmed-yr8wb,2020-09-18T11:20:16Z,0,Check out this: https://youtu.be/S-HUbmaQMTQ,True
@maxyulu,2020-09-17T07:48:32Z,0,You are amazing! I wish I was only 10% as smart as you are.,True
@dhritijyotirouth8425,2020-09-16T07:47:04Z,0,Sir the chat application that you told about we will be making is it going to be online.,True
@valkdrain7871,2020-09-12T07:58:28Z,0,Bro can you tell me the name of that app that you are still coding in it,True
@EnglishRain,2020-08-15T20:47:04Z,0,"If you Kivy window is laggy, open cmd using your GPU. You'll need to go to cmd's location at C:\WINDOWS\system32, right click on cmd, ""Run with Graphics Processor"" & select your GPU there. Then launch the py file & now there's no lag.",True
@lilyandrew1304,2020-08-09T08:12:47Z,0,really helpful tutorial playlist!! thank you!!,True
@ayush0477,2020-07-18T16:11:40Z,0,did you updated the thumbnails ?,True
@shrestabanerjee5879,2020-07-13T10:12:17Z,0,"if _name_ == ""_main_"":  NameError: name '_name_' is not defined this is showing as an error",True
@niveditadwivedi6466,2020-07-09T19:07:27Z,0,"i am having problem in installations. even after following all the steps as mentioned in the video, i am getting this error-->ModuleNotFoundError: No module named 'kivy'....can you pls help??",True
@sksahil4374,2020-07-06T10:35:21Z,0,see Kivy apps . https://youtu.be/cR3SU9scu1k,True
@blizrav01,2020-06-16T12:52:31Z,0,sorry for the bother,True
@blizrav01,2020-06-16T12:52:23Z,0,its ok i figured it out,True
@blizrav01,2020-06-16T12:37:37Z,0,could you please help,True
@blizrav01,2020-06-16T12:37:28Z,0,app wasnt defined,True
