author,updated_at,like_count,text,public
@creativityexplore8839,2023-12-15T07:46:11Z,0,Azure cloud service is an example of PaaS.,True
@nikaratsifa2226,2022-08-19T06:39:27Z,2,"Thank you, brother. I was looking for ML deployment tutorial for a very long time. It is very rare to find courses and tutorials covering this topic, and you do it very well. Keep up  bro",True
@jinks3669,2022-04-12T04:43:43Z,0,"Ram Ram ji, Dhanyavaad Sir. Aap seriously mere liye bhagwaan se kam nhi ho .",True
@himanshikashyap2547,2022-02-25T14:50:44Z,0,Sir Ham yah video dekhne aapse English sikhane Aaye The to Aapko Hindi mein bolna chahie tha Agar Hamen Itni English Aati To Hamen video Nahin Dekhte,True
@greentechkey,2021-10-31T06:04:26Z,0,No  Course whether free or paid is teaching about deployment. This is the only one I dind,True
@kishanikandasamy,2021-09-01T08:24:16Z,0,very informative,True
@rambaldotra2221,2021-06-07T06:42:58Z,0,"Sir , I will Always be Thankful to you for sharing this amazing knowledge.",True
@dendi1076,2021-03-16T14:56:40Z,0,thanks for sharing :D,True
@realityoflife9631,2021-01-02T11:31:09Z,0,"Sir I want to join your  youtube channel but it is not accepting debit card ,and I donot have credit card,what to do sir",True
@viveksrinivas548,2020-12-21T01:06:02Z,0,Thanks for nice explanation,True
@mongoslade2789,2020-11-13T22:18:27Z,0,Thank you very much! This was very helpful. Question: how can I style the website using CSS? Where would i need to upload my CSS file for it to display on Heroku?,True
@joshuaokhiria7347,2020-10-01T01:53:23Z,0,"Hi, you have done a great job with this playlist. However can you do a ML deployment video where a categorical  variable is treated with ONE HOT ENCODING. Deployment of ML algorithm with ONE HOT ENCODING is harder compared to models where all of the inputs are numerical. There are lot's of people out there who will benefit from this including me.",True
@swatipareek6535,2020-08-24T08:29:05Z,0,Hi i need to deploy my rasa chatbot on azure do we need to create docker or without docker i can deploy ?,True
@vinitgalgali8856,2020-08-04T15:03:03Z,1,thanks a lot krish.....extremely helpful,True
@desertrose00,2020-07-20T00:54:30Z,0,thank you thank you thank you for this playlist :) :),True
@ResilientFighter,2020-07-15T00:36:49Z,0,Thought this was a good supplement to the lecture. https://www.bigcommerce.com/blog/saas-vs-paas-vs-iaas/#the-three-types-of-cloud-computing-service-models-explained,True
@rajuthapa9005,2020-06-16T11:28:05Z,0,GReat !!,True
@padhiyarkunalalk6342,2020-05-04T19:12:10Z,0,"What is cloud computing?? Make a video on it ,, Plzz sir  #thank you for sharing these wonderful knowledge with us.",True
