author,updated_at,like_count,text,public
@pragati_verma8163,2024-05-23T08:12:27Z,0,Hmm,True
@king1_one,2024-05-03T05:46:42Z,0,how did the filter values came ??,True
@ghost2005,2024-04-23T19:13:50Z,0,The teacher 😍 The course 🤡,True
@healthylivingstar,2024-03-16T04:24:08Z,0,Thank you Sooo much. I was seraching to understand what CNN is but didnt get. You have excellent teaching skills.,True
@saisurapureddy5361,2024-02-05T09:11:53Z,0,Minmax scaler means😢,True
@tahouramorovati8740,2024-01-20T13:49:57Z,0,perfect video!,True
@BlogWithPritam,2023-11-25T02:53:19Z,0,"<script>   alert(""Hello MC""); </script>",True
@ujjwalkapil09,2023-11-07T05:01:59Z,0,Thanks🎉,True
@CandraNurIhsan,2023-10-25T02:02:35Z,0,SUbscribeee + 1,True
@MrFreemindonly,2023-10-11T04:16:20Z,0,the old good days. thank you Kirsh. I started from here :),True
@sandeepmehta7794,2023-09-13T17:52:43Z,0,Thank you so much . You have imbibed the knowledge so beautifully that I share to each of my family members . Love to see you educating us .,True
@himanshuvora1980,2023-08-11T05:07:10Z,1,"Thanks Krish, it is really need to understand how exactly the hidden layers/ filters work. You did great job to explain in detail with ease. I seen other videos where they are tyring to depict the hidden layer, but I couldn't understand. You really narrated in good way for beginners.",True
@karahanyosan2497,2023-07-05T02:34:52Z,0,휴 다행히 영어로 하네,True
@ariseandshine856,2023-06-29T07:39:44Z,0,Wonderful Lecture you are giving to us sir...,True
@ricardocaballero6357,2023-05-25T18:14:53Z,0,Buddy I found your channel yesterday lucky me that I was finally able to understand multiclass metrics and now this is great too.,True
@virajpatel4050,2023-02-18T16:38:53Z,0,Thanks!!,True
@kikyou8349,2023-01-31T19:49:35Z,0,Hi sir i just want to ask if we need to divide the obtained number by the kernel pixel size i see some people divide after the addition so can you please explain which one to do ?,True
@maxotaur6267,2022-12-21T20:54:17Z,0,Excellent explanation. Made a complex issue seem relatable.,True
@saisamarthgaming8585,2022-12-19T14:10:01Z,0,,True
@vidhuniranjan3103,2022-12-13T09:15:42Z,0,Thanks alot sir. Really helped.  Owe you some marks,True
