author,updated_at,like_count,text,public
@krishnaik06,2021-02-03T04:53:48Z,48,Congratulation Saket for this amazing transition :). So the takeaway is anybody who focuses on your goal will be definitely able to achieve anything in life :) .So just don't give up.,True
@mwalletapplication194,2022-07-15T21:33:34Z,0,Scenario based questions are bit tricky only sir,True
@vitthalpawar108,2022-01-29T07:05:16Z,0,Great motivation,True
@priteekadam9584,2021-08-05T17:25:01Z,0,sir I have done my graduation in BCA in 2007 and have no experience of job but from last 3 months I started learning data science and got lots in it are there chances to get job in this field for me,True
@akashkumarkashyap4850,2021-05-22T20:36:21Z,0,which company he has been selected to?,True
@shivarajhalageri2513,2021-05-18T19:01:18Z,0,"Saket how can one apply for the job,",True
@souvik5560,2021-03-18T18:25:28Z,0,Congratulations Saket @iNeuron - Saket has an innate capability to explain things in a fantastic manner. You can try to bring him on board to guide the students. I believe it would be great for both  iNeuron and the students.,True
@bibekanandasinha6511,2021-02-28T07:50:17Z,2,Both Sudhangsu sir and Krish Nayek are Great Teacher of iNeuron,True
@jerushas5275,2021-02-25T16:00:15Z,0,Motivated by  saket,True
@maxguy3692,2021-02-17T03:23:56Z,0,👍 😲 u r great,True
@artibhardwaj5035,2021-02-08T10:04:44Z,2,Hi i have also 4 year of gap due some reason.. But currently  doing post graduate program in data science and business analyst... Applying so many freshers job but not getting any calls... Please suggest me..,True
@TusharSinghmetal,2021-02-06T10:09:42Z,4,My question to you sir is that how u got call from company without any experience because companies always ask for the 1-3 yr experience please share your thoughts on this.,True
@ankithansalia,2021-02-06T09:46:25Z,0,great bro..,True
@hasan111,2021-02-05T01:55:21Z,2,So how did he justify his 4 years gap?,True
@abc76485,2021-02-04T12:45:33Z,4,"Hello Saket,so i have enrolled in the full stack ds course,so what would your advise be on how to nullify the gap criteria when one is appearing for interviews ?",True
@siddharthsingh4095,2021-02-04T09:57:57Z,3,"Saket Sir , I'm learning through Udemy courses . Though the quality is good but it's not much detailed like we are not taught about deep learning , pipelines , maths behind machine learning and also Inueron course is of 1 year so I'm not sure if I give so much time to learn due to my age factor . So what would you suggest , can you please give some advice . Also nowadays do most of the company want people to solve practical problems in interview itself ???",True
@abc76485,2021-02-03T18:40:01Z,7,"Hello Saket, just like yours I am also having 3 yr gap for gate prep so what would be your advice for me as I prepare to join the full stack course at ineuron from 20th feb   Kind regards",True
@ashutoshkumarsingh227,2021-02-03T16:33:32Z,1,What is the package offered ?,True
@uniqueshayari3039,2021-02-03T14:01:20Z,1,"Good Evening Sir , Please help me to understand what the difference between applied data science and data science",True
@NishantKumar-dw5er,2021-02-03T14:00:12Z,7,"iske English pe koi BERT NLP chala ke dikha de. No offence my friend Saket, it's a problem with all Biharis and UP people including me.Although , Highly motivated.",True
@palpali69,2021-02-03T13:25:58Z,7,"Hi Sudhanshu, Keep posting and doing this session - this is very inspiring to all future DS people - By the way Saket how many projects did you mentioned in your CV?",True
@soumyaranjan6946,2021-02-03T11:14:47Z,4,Anyone please share sakets LinkedIn,True
@akshaynaik4759,2021-02-03T10:58:37Z,6,I am currently doing pgd in business analytics fr upgrad. Almost 2 months are remaining and I am still feeling it difficult to get placed as a fresher. :/,True
@ranjiranju7759,2021-02-03T10:27:32Z,4,Highly motivated saketh...kudos krish nd sudanshu,True
@ravitanwar9537,2021-02-03T10:11:08Z,3,beautiful,True
@OConnor_KeshavPatil,2021-02-03T09:49:54Z,4,Itana galat english hum bol de to rejection ke ban ghus jate he dharti kapane lagti he response me english sikhne ke suggestions ana chalu aur yaha appreciation zende gade ja rahe he log ......hypocrisy ki bhi sima hoti he  No offence to you saket bhai....I am just talking about those people who did those things which i have mentioned above  and great career transition buddy really inspritational,True
@shailabh3306,2021-02-03T09:17:26Z,2,This is one of the best transition video Sudhanshu sir is one of the best faculties I have ever seen,True
@tejasrahulrokade8398,2021-02-03T09:09:08Z,8,Try giving timestamps,True
@cooldude8540,2021-02-03T07:28:14Z,2,Great motivation  Kudos to team and candidate 👍,True
@sumitjoshi9972,2021-02-03T07:10:12Z,5,Thanks krish Naik sir and sudanshu sir for this amazing video,True
@immersivestudyandliving4272,2021-02-03T06:35:26Z,3,Great motivation!,True
@rishisingh5581,2021-02-03T06:27:17Z,3,Sir when machine learning and Deep learning with deployment course will start ?,True
@somenathbag2018,2021-02-03T05:56:46Z,2,Sir i am a 2020 graduated in computer science. I want to learn Data science for my carrier.  How i start study and how i approach for job and from where I get job as freshers.  Please give some correct path.,True
@shubhamadsul5544,2021-02-03T05:39:14Z,6,Is ineuron helping for placements.?,True
@buthomoyo3541,2021-02-03T05:23:26Z,7,"I recognise Sudhansu in the video. He came to Zimbabwe in 2019 to take us through Big data. Zoo keeper, etc I loved his passion. Thanks Krish for the powerful content you publish",True
