author,updated_at,like_count,text,public
@krishnaik06,2023-12-29T11:18:45Z,39,"AI field is really becoming dynamic.Lot of changes are coming from Traditional Machine Learning to Generative AI.This field is changing dynamically and we need to update ourself as we go ahead.  Join my telegram group where I post and discuss these types of content.Happy Learning!!  Make sure you have telegram installed in it.  https://t.me/+V0UeLG8ji-F8ThNb",True
@suryaprajyesh6454,2024-05-31T09:58:34Z,1,can we django as backend,True
@anadroy58,2024-05-29T19:14:20Z,0,Thank you very much Sir. Your content is amazing and so so helpful. I have been following your work since the past few months and i cant begin to tell you how much i have enjoyed the learning process. Thank you again.,True
@IniobongEbong-qs2qm,2024-05-13T13:44:13Z,0,How do I get all these materials to learn from?,True
@vaibhavsuryan,2024-05-05T16:59:31Z,0,"Hi Krish your GenAI videos are very helpful to me, I have learnt many new things. Can you make a video on RAG Evaluation Metrics like Correctness and Context Adherence .",True
@BadAspirant,2024-05-03T08:03:18Z,1,"Hello sir, your videos are really breathtaking, exceptional clarity to each concepts. please make a full series video on data science course from beginner to advanced. I could not find any in your playlists. thanks",True
@zorogamer9629,2024-05-02T07:15:41Z,0,I'm intrigued by the entrepreneurship workshops and seminars offered by the DMP program. Can you make a video discussing entrepreneurship education?,True
@alvinvando8211,2024-04-30T15:37:38Z,0,Hello how do I join the telegram and what's up group paid  but unable to find link or number to join thanks,True
@javacaman,2024-04-30T05:10:52Z,0,can we work on django in place of flask ?????????????????,True
@Sonidevirasoi,2024-04-27T17:41:03Z,0,Thank you sir 😊,True
@editsbyalex2101,2024-04-26T18:35:13Z,0,"Hi Krish, I am in 1st year now, I have a lot of interest in data science, so should I also learn data structure or not?",True
@riazahmedshirsangi9607,2024-04-25T17:38:52Z,2,"""Knowledge Shared is Knowledge Squared"" - You are one of the best examples living this, thanks for the super explanation that any skilled person (without IT knowledge as well), would be able to understand. Thank you for sharing your knowledge.",True
@arindamghosh3787,2024-04-23T17:50:50Z,3,Thanks a lot for this Amazing roadmap . I am currently working as A manual Tester in banking domain with 2 years of experience. I wish I can make a successful transition in the field of data science,True
@saadmuhammad1,2024-04-22T03:29:58Z,0,I am 40 years old. Is it still possible to switch to data science?,True
@varshakashyap4738,2024-04-21T08:04:13Z,0,Sir..i am a student of class 10th and I want to learn data science how can  I learn...?,True
@champ7387,2024-04-20T16:06:52Z,3,"Hello Krish,  Thank you so much for everything and your contribution towards society..  One request: Can you create 15-20 mins compilation videos like  1)  All ML Algorithms explained in 15-20-30 mins 2) All stat concepts explained in 15 mins  These will be useful as a quick recap.  Thank you",True
@TheMokshananda,2024-04-18T11:16:13Z,0,Thank you for your amazing content and dedication!,True
@-KarthikeyanM,2024-04-16T18:02:18Z,0,You are a gem man 💎,True
@abutareqrony4513,2024-04-11T14:33:36Z,0,Awesome...like u bro.,True
@Luis-inmyplace,2024-04-10T12:34:03Z,0,"Me salvaste la vida con tus vídeos, saludos desde Perú.",True
@okiwajesse5897,2024-04-02T04:28:45Z,0,"Thanks sir i appreciate your work, was actually looking for a roadmap. You've just done me a big deal, i really appreciate ❤❤",True
@ashishpatil5099,2024-04-01T05:44:37Z,0,What is difference between youtube video & paid course of ineuron   Please suggest  above  option required to start career data science,True
@gpliyengar,2024-03-29T04:49:49Z,0,Great work Sir..Thanks a lot..I came across your videos today..,True
@chidambarjoshi3470,2024-03-26T19:30:21Z,0,"Hello sir, please make a playlist on Scientific ML, especially Physics informed neural nets",True
@prasadnirmal6426,2024-03-26T15:58:06Z,0,"Thank you Krish,This is very valuble for my career development.i am lots of thing from this channel",True
@girish1268,2024-03-24T19:41:27Z,0,Sir I seriously trying to connect you....can you tell me... Is it meritshot organisation good for data scientist....guide me,True
@davidclercrodriguez5801,2024-03-18T15:44:58Z,0,Krish you're the best. Thanks for providing all this value.🫂🤝,True
@TheMohak7,2024-03-14T11:32:26Z,0,"No timeline has been given,  havig a rough idea about timeline would help",True
@anamnaeem1862,2024-03-09T06:04:21Z,0,Superb 👌,True
@user-xl7vg7vh4b,2024-03-07T17:33:05Z,0,Where can we get the pdf of the roadmap where links are provided for all the video,True
@krpavantejaimtobeprogrammer,2024-03-06T05:50:23Z,0,Thanks for sharing useful content,True
@RobinSingh-ms3zt,2024-03-05T09:17:14Z,0,Thats really good sir thank you so much it was very helpful :),True
@prathamchelaramani2730,2024-03-02T09:39:20Z,0,"Thank you so much krish for sharing such roadmaps, your vedios are helping many  students to cope up! thanks😀",True
@anubhabsaha3760,2024-02-29T12:46:59Z,0,THANK YOU !,True
@arupmmi07,2024-02-27T07:33:27Z,5,Community need teachers like you.,True
@arupmmi07,2024-02-27T07:32:07Z,4,"I wish you have 100 million subscribers, people must know what is real content and what is Genuine and who really want to share knowledge, not selling hope.",True
@arupmmi07,2024-02-27T07:17:53Z,0,Thank you Krish,True
@user-wv6uh5vr9t,2024-02-26T08:09:56Z,0,please discuss the content of community detection in ML,True
@user-kv4jl5kj3w,2024-02-25T19:10:06Z,0,Can you keep a video or short on data science where we can practice mock interview and assignments  and projects,True
@user-kq1cr3pu3r,2024-02-23T19:22:34Z,0,Sir ur a God....really thank you for all sir...,True
@shrutim5272,2024-02-22T13:15:52Z,0,Machin learning andrew ng tutorial - https://www.youtube.com/watch?v=6c-IrvDJC1M,True
@namrathasrimateti9119,2024-02-22T07:14:35Z,1,"All I can say, Thanks!",True
@rupen1585,2024-02-11T16:56:54Z,1,Krish bhai one challenge for you. You have one audio file and in this file two people talking about something. The challenge is through ML or DL identify both person's voice and plot signal and spectrogram for each one. Please accept it. I am waiting for your video and reply.,True
@GulzarKhan-uy4um,2024-02-11T12:11:54Z,0,Good,True
@bhaumiks.6543,2024-02-09T06:30:42Z,0,"Man, you are AMAZING.....",True
@MLlover1999.,2024-02-06T17:08:20Z,0,Krish love you from pakistan.,True
@user-wf2co1fq6s,2024-02-05T21:26:40Z,0,Thank you dear Krsh ji for sharing this I was looking for a guidance in this 2024,True
@varshavaran2558,2024-02-05T06:09:09Z,0,Sir what would be Tentative time this Roadmap would take?,True
@asifshaharia2756,2024-02-05T00:03:38Z,2,You are my go to data science guru.,True
@AIInfo-bo4ig,2024-02-04T09:35:43Z,0,https://youtu.be/X7vyazy3RhQ?si=52nZL_RhHMlUd0Wu,True
@divyanshpandey8355,2024-02-01T16:38:25Z,0,iNeuron is definitely a great step. I will surely want to learn ds from scratch,True
@AG-zy3pf,2024-01-31T18:40:35Z,0,You zig zag for 2 minute to come to the main context.,True
@rohanrawat5404,2024-01-31T15:40:48Z,0,can you please tell me for how many hours i've to study??,True
@dilipdonthula,2024-01-28T17:04:36Z,0,"Hello Krish,  Short intro about myself: I am in IT sector since 2015, currently working as a QA in mastercard. I want to make a career switch to Data science. Got reference about you from one of my colleague who is into Data Science only.  There are tons of videos about Data science in youtube, but honestly getting confused to where to begin with. Is it possible to connect 1-1 with you? Also wanted to join your paid group channel as well for better understanding about Data science. Please help.",True
@justinholbein9776,2024-01-28T02:21:33Z,0,LFG great video man thank you,True
@pujayantkumar9419,2024-01-27T11:50:32Z,0,just commendable!,True
@dhavaldudheliya6938,2024-01-25T05:38:51Z,0,"Thank you so much, sir. Lots of respect to you. I want to learn data science from the beginning. I was confused and worried about how to start and what should be the flow of learning but after watching this video, my confidence to learn data science is boosted. Again, thank you so much for providing these free resources. ❤❤",True
@anilkumar759,2024-01-23T07:00:28Z,1,"Hi Krish, i could see the reporting tools(power BI, Tableau) are missing in the raod map , can you please let us know its importance as part of becoming a data scientist?",True
