author,updated_at,like_count,text,public
@KenJee_ds,2021-07-31T06:22:39Z,21,"Thanks for watching everyone! Also, thanks to Udemy for supporting this channel. I have worked with them to create a special page for the #66DaysOfData. Check it out here: https://click.linksynergy.com/fs-bin/click?id=OXAy7KE1wsg&offerid=624447.17226&type=3&subid=0  Starting very soon we will be giving away $3 Udemy credits for everyone who has made it through the first 21 days of the challenge and is still going! Make sure you are a part of the discord server to stay up to date on this! Discord Link: https://discord.gg/BRv6YGb",True
@MrMootheMighty,2023-05-29T16:48:36Z,1,Excellent video. I talk about this all the time with my closest friends.,True
@doomvur9969,2023-05-04T16:31:10Z,1,"My problem with learning something is that i'm a student in an uni, but the subjects that i learn are not correlate with something i'm chasing. I'm strongly interested in data science, because my mind works in a way that i process and analyse information and i see everything in my life as an information that i need to analyse, process, and make my decisions based on conclusions that i come to after analysing. But. In the uni, although it's connected to programming, and now i'm quite capable of learning anything, no matter how complex subject is, but i get stuck on a wall of why's and not finding answers. So as a result, i'm a mediocre student, that passes tests just to pass them and not having any problems with my university.   I now, that, if i'm interested, i get to be very submerged into what is interested to me. I was able to learn drawing, palying instrument, or learn to play sport games in quite a short time, but when it gets to learn something that i don't see as interesting to me, no matter how hard i would try, i understand that i will have to burn myself out in order to learn something that i just can't see useful for me anyhow in the future. And i try to find answers for how that would be useful for me, but i fail.   And now that i gave up on trying to become a good student, that knows things that won't really be useful to me, i want to focus on something that no matter of if i have a degree or not, i know that i will be able to play on the skills that i learn myself. So for now the main question for me is in building that study path, where i can get the necessary things that will pay off in the future. Like, where can i find topics for my personal projects, where can i get experience for what i myself really want to learn. Will the courses that i have on the internet really be useful for me in the future.   To conclude this, i found out that i'm not good at studying actively, but good at studying passively. Like, it's very easy for me to get burnout if my study is percieved for myself as something that i NEED to spend time, focus on that, isolate myself from other things for the particular amount of time. But. When i can ease myself from these walls that i build myself and if i can just implement Passive learning of something, for example, through simple videos like yours when i watch YouTube, just get to be on the flow with my pure curiosity of things, this exact interest, that gets me to deep no matter how down, is just building on itself and then i lose the track of time how many hours i spent just researching something that was just interesting for me, and i never got tired of that, and if not my biological needs, like, to eat, to sleep, i know that i could research something forever. So, that side of me i usually call a passive learning, where you don't get those walls in your mind, that you Have to focus, that you have to concentrate, that you have to put away all the distractions, and the interest of learning something is just comes to you on itself. And if i push myself to learn something, i WILL have to push myself against the immediate mind response, that this work will be monotonous and exhausting. It's a problem of learning for me, and as far as i understood through trying to fool myself, my mind, etc. is that everyone is finding it's own ways to learn things and builds it's own systems of how they can get to learn some sort of skills.",True
@PrinceKumar-hh6yn,2023-02-09T19:20:52Z,1,"Yeah, the first thing to learn is ""how to learn""",True
@WWG1-WGA,2023-01-18T18:59:01Z,1,YEP ! This is my Path . Wow  fits perfect 👌 👌,True
@kaidszory8031,2023-01-15T01:14:59Z,2,Noiceee,True
@AceBalasador,2022-12-15T02:46:21Z,1,"I can relate to a lot of points that you said, esp going to the gym and having that ""like"" button clicked, thus improving efficiency even further. Amazing video and thank you for your insights!",True
@RO2.0,2022-12-07T01:42:39Z,1,OMG this video was so inspiring! I know that i'm intelligent but I was always an average student and convinced myself that school wasnt for me. Even though I really want to finish. Thank you for this! <3,True
@adamsann1959,2022-09-01T23:25:04Z,1,Thanks for this video,True
@francesmartinez2887,2022-08-16T14:45:10Z,4,This has been one of the most valuable videos of yours I have seen. A lot of us struggle with these things and the imposter syndrome is the hardest for me. It's nice to see someone in this field being realistic about life and themselves.,True
@finn8755,2022-08-09T21:02:07Z,7,"I can confirm that Ken was a standout student in my microeconomics class! 😀  I'm referring to minute 4:00 in the video. I love that the course stirred something in you and played a role, however small, in your life journey.  Your video is incredibly insightful and spot on. I plan to show this video to my micro classes since I think many students face many of the same roadblocks to their success that you overcame.  You have done so much since then. I am in awe!  Way to go, Ken!",True
@OlatundeAdegbola,2022-08-05T21:46:13Z,2,How to go from meta-learning to landing jobs at  META. 😛😀,True
@hss9774,2022-07-25T19:57:02Z,1,"When I first saw the hoop I was like ""This fool is about to dunk"" haha",True
@kunlemaxwell,2022-07-22T16:08:38Z,1,Beautiful video! So many nuggets in one video.,True
@amith_1923,2022-06-19T02:29:53Z,1,"Thanks Ken Jee, That was  insightful",True
@digitalboy4415,2022-06-16T11:18:48Z,0,"If you really want to improve your sense of purpose in life, Read Qur'an.",True
@shoaibkahut,2022-06-13T06:07:06Z,3,You are so resilient and Unstoppable. Thank you for sharing your journey man. I am following your journey since long. All the best . Keep inspiring us. I am at a crucial stage of my early 30's where SELF learning is so inevitable for survival . *You and Tina are my favt people on YT* .,True
@taliagula,2022-06-07T19:17:12Z,1,Do you cover how to read better in another video? I found the explanation in this video kinda confusing but would absolutely love to learn how you did it!,True
@heorhii_slukin,2022-06-06T18:31:00Z,6,Not only does Ken produce a great video but he also puts a short summary in the description. A moment of appreciation for that,True
@anthonycampos4673,2022-06-04T01:00:00Z,1,Nice video Ken Jee. Gretteings to you from Lima /Perú!,True
@yjc2418,2022-05-10T17:35:17Z,1,"Hi, Do I need to get BS if I want to work for data scientist?",True
@pallbotond7793,2022-05-09T10:12:11Z,1,Hey Ken Jeee! I just love your videos and it realy help me not to give up on learning Data science for good.,True
@kanameitsuki8130,2022-04-28T09:07:05Z,0,"Ken, this was an absolutely exceptional video. So well done",True
@Fablins-kt9ti,2022-03-22T19:19:42Z,1,"I have recently come to the conclusion that data science is the best job fit for me and started watching educational materials about it, including yours. I am so happy that our stories are a bit alike. After graduating an elite high school some of my friends went to Oxford or big European capitals, while I went to a more peripheral university, where I briefly majored in I.T. and Psychology before finally switching to Business & Economics, but even that is (still) going very slowly because of struggles with motivation and lack of purpose. Statistics used to be black magic to me back when I took my first course. Then the second course likewise went easier, and I started to grow fond of the subject! I, too, have stopped thinking I am inherently bad at math. Thank you for giving me hope that I might yet make it!",True
@bharathkumar1,2022-03-02T05:11:17Z,1,"This is fantastic man, I am in the same boat and looking to be a great learner and grow. Wonderful tips!",True
@missbigcoco,2022-02-15T20:08:36Z,1,"Hello Ken, I noticed you said in the comments section once that some consulting firms would sponsor master degree for data analyst to become date scientist. Would you please elaborate on that— what kind of firms would typically do that besides consulting firms? What are some firm names you know ? I googled but only found the big 4 sponsor mba and sometimes google partially sponsor master and Microsoft sponsor UW master, nothing data science related tho…. Thank you so much! I love your videos and gained so much information, much appreciated and hopefully I can hear back from you:)",True
@rahafal-amri8528,2022-02-03T11:49:04Z,1,"Thank you so much for such great encouraging video, much needed!",True
@Rawi888,2022-01-28T21:58:30Z,1,One of my favourite videos of yours thus far.,True
@pranavsharma7361,2021-12-30T10:20:59Z,2,I think everyone should talk about how they learn and everyone should aim to get better at learning. Very helpful thanks,True
@OcTHH,2021-12-25T14:21:11Z,2,thank you for sharing your journey. It's super helpful for a c straight student in statistics like me. I've given up several time yet run to it again and again  through my work,True
@johnflood6508,2021-12-11T16:41:22Z,1,Cool ideas. thanks Ken.,True
@kenis8857,2021-12-05T01:42:15Z,1,That wink tho,True
@osam4323,2021-12-03T14:16:45Z,1,"14:03 ""...and the confusing success I was having with my gym habits now all became CLEAR"". Missed opportunity.",True
@natek3954,2021-12-02T00:14:50Z,1,Thank you for taking the time to make this video and share it with us!,True
