author,updated_at,like_count,text,public
@xeno_plays2930,2024-04-16T05:51:28Z,0,"For accessing 4,5,6,8 answer is arr[1: , 2:4]  and for accessing 3,4,5 answer will be arr[1:2,1:4]",True
@vineetkrpandey7641,2024-04-12T09:09:58Z,0,video4//12/04/2024 Done,True
@balusister1991,2024-03-20T11:52:35Z,0,"Hi Krish, great effort. But i request you to improve the audio quality. Audio quality is not so good to follow the recording. thank you.",True
@saiphani3999,2024-03-08T04:54:28Z,0,"arr = [1, 2, 3, 4, 5, 6, 7, 8, 9] arr1 = arr.copy() arr1[3:] = 67  print(arr1) for this code i'm getting errory , i replaced it with [67] the out put is only [1,2,3,67] how can i get all the remaining values as 67",True
@JacklinSibiyal,2024-02-17T12:50:59Z,0,Day 2 - 17/02/2024,True
@styles4330,2024-02-09T14:19:25Z,0,"Here are the functions mentioned in the video with examples:  * Creating arrays:   * `np.array()`: This function is used to create arrays from various data types like lists, tuples, etc. For example, `np.array([1, 2, 3, 4, 5])` creates a one-dimensional array with elements 1, 2, 3, 4, and 5.   * `np.zeros()`: This function creates an array filled with zeros. For example, `np.zeros((3, 4))` creates a two-dimensional array with 3 rows and 4 columns, all filled with zeros.   * `np.ones()`: This function creates an array filled with ones. For example, `np.ones((2, 2))` creates a two-dimensional array with 2 rows and 2 columns, all filled with ones.   * `np.random.rand()`: This function creates an array filled with random floats between 0 and 1. For example, `np.random.rand(2, 3)` creates a two-dimensional array with 2 rows and 3 columns, filled with random floats between 0 and 1.   * `np.random.randn()`: This function creates an array filled with random samples from the standard normal distribution. For example, `np.random.randn(3, 3)` creates a two-dimensional array with 3 rows and 3 columns, filled with random samples from the standard normal distribution.  * Indexing and slicing:   * `[]`: This operator is used to access elements of an array. For example, `arr[0]` accesses the first element of the array `arr`.   * `[:, :]`: This is used to access all elements of an array. For example, `arr[:, :]` accesses all elements of the array `arr`.   * `[start:stop:step]`: This is used to slice an array. For example, `arr[1:4:2]` selects elements from index 1 to index 4 (excluding index 4) with a step of 2.  * Mathematical operations:   * `+`, `-`, `*`, `/`: These operators are used to perform basic arithmetic operations on arrays element-wise. For example, `arr1 + arr2` adds the corresponding elements of arrays `arr1` and `arr2`.   * `x * arr`: This multiplies each element of the array `arr` by the scalar `x`.   * `arr.shape`: This attribute returns the shape of the array as a tuple of integers. For example, `arr.shape` might return `(3, 4)`, indicating that the array has 3 rows and 4 columns.  * Reshaping:   * `np.reshape()`: This function is used to reshape an array into a new shape. For example, `np.reshape(arr, (2, 6))` reshapes the array `arr` into a two-dimensional array with 2 rows and 6 columns.  * Other functions:   * `np.dot()`: This function is used to perform dot product or matrix multiplication between arrays.   * `np.sum()`: This function is used to calculate the sum of all elements in an array.   * `np.mean()`: This function is used to calculate the mean of all elements in an array.  These are just a few of the many functions available in NumPy. I hope this helps!                                                                                                        -courtesy:GeminiAI",True
@csumanthreddy3112,2024-01-29T20:12:14Z,0,"arr[1:,2:4] arr[1,1:4]",True
@aartip20,2024-01-18T10:40:00Z,0,"--------------------------------------------------------------------------- Why am i getting this error? Any clues?  TypeError                                 Traceback (most recent call last) Cell In[86], line 38       37 arr1 = [1,2,3,4,5,6,7,8,9] ---> 38 arr1[3:6]=100      39 arr1  TypeError: can only assign an iterable",True
@manojkumaar8221,2023-11-27T19:19:31Z,0,"Arr[1:, 2:4] and arr[1,1:4]",True
@user-bf4ox2om6y,2023-09-14T05:36:40Z,0,can we copy or replace number with srting vaue,True
@theanonymous5268,2023-08-25T11:52:00Z,0,18:23,True
@user-pj8lk9ii6n,2023-07-24T12:05:28Z,0,"#slice operation to print only [3,4,5] in second row arr[1:2,1:4]",True
@hardikmehta140,2023-06-28T20:39:29Z,0,Completed 28 June 2023,True
@pragadesh4500,2023-04-25T16:39:41Z,0,"arr[1:,2:4]",True
@user-jr5do5mw3g,2023-04-14T20:50:46Z,0,"hi Krish, What's the difference between random.rand and random.random_sample ?  btw,  these lectures are super helpful!! Thank you so much for this",True
@HelloWorld40408,2023-04-11T04:20:08Z,0,Thank you,True
@omprakashacharya3810,2023-04-07T09:06:32Z,0,"print(arr[1:,3:]) print(""-----Asssiment Tasks 1----"") print(arr[1:,2:4]) print(""-----Asssiment Tasks 2----"") print(arr[1,1:4])",True
@hasibkazi1379,2023-02-16T17:09:21Z,1,"this is one of the best playlist for learning python for data science, can you please tell me how can I practice without anaconda environment? As my PC does not support the environment.",True
@hasibkazi1379,2023-02-16T17:07:08Z,0,"arr[1: ,2:4]",True
@jn9281,2023-02-16T05:20:14Z,1,"First of all thank u so much for amazing tutorials on python. I have a question. When I do this, my_lst=[1,2,3,4] arr=np.array([my_lst]) arr  The output comes as array([[1,2,34]]) Is it two dimensional then?",True
@54mu33le,2023-01-05T06:01:47Z,2,Absolutely great content being put here by this man. I wish there were more teachers like him across different domains. What a stupendous job he is doing here.,True
@Arceus948,2022-12-08T05:51:45Z,1,"Sir i have exam tomorrow, r these numpy functions sufficient for my exam???",True
@jnumaterial9641,2022-11-13T16:40:39Z,0,Thanks krish ,True
@simplyanup9658,2022-11-13T12:20:59Z,0,"But when I was trying to insert different data type into an array , it is accepting",True
@BHANU693,2022-10-25T04:40:32Z,7,"Following are taught in video: -Array definition - Numpy library import - Array Shape and Reshape - Array indexing - Array Range - Array linspace - Array copy and broadcasting - some functions in Array like np.ones, np.random.rand (random distribution), np.random.randn (normal distribution), np.random.randint etc.",True
@MrNazlouei,2022-09-27T20:45:04Z,0,"for 45 68 arr[1:,2:4]   ????????",True
@MrNazlouei,2022-09-27T20:42:45Z,0,"[1,1:4] ??????",True
@flyeagle320,2022-09-12T14:14:17Z,0,"arr[1:,2:4]  arr[1:2,1:4]",True
@bhushanmali7635,2022-08-27T15:12:43Z,0,"18.07 when we print ""arr"" the output array is comma seperated but when we print ""arr1"" output is space seperated..   why?  when we use linspace the array is of shape 10 rows and 5 columns .. why? and why not 25 rows and 2 column or other?",True
@learn_with_rudraa,2022-08-10T17:18:25Z,0,"time: 14:30 assigment asn: array[1:,2:4]",True
@journeyofengineerjoe7386,2022-08-09T18:21:40Z,0,"14:25 [1:,2:4]  [1:,1:4]",True
@shortsforall5687,2022-08-05T17:11:49Z,0,Bro are u teach in Tamil? My small recommend fo u,True
@sandeeppal1083,2022-08-04T10:24:30Z,0,"Hi Krish,  if the first list has 3 elements, 2nd has 4 elements and 3rd has 5 elements then still NumPy can create a multidimensional array?",True
@ajaysable2767,2022-07-18T06:22:58Z,0,"arr1[1:4,2:4]",True
@professorvlog7,2022-07-14T07:12:16Z,0,Could anyone suggest Data Analyst Course?,True
@arandomwho,2022-06-18T11:26:01Z,0,thank you again....i gonna finish your amazing course in a week,True
@hamzayarkhan3819,2022-06-13T11:46:30Z,0,"arr[1:,2:4] arr[1:2,1:4]",True
@bodhisattadas304,2022-06-09T13:37:22Z,0,"arr1[1:,2:4] arr1[1:2,2:]",True
@pranavsinha5700,2022-05-13T20:51:49Z,0,awesome,True
@divyapatnaik7492,2022-03-03T07:48:21Z,0,Is there any documents available for this particular playlist?,True
@indirajithkv7793,2022-01-30T11:30:08Z,0,❤,True
@tanmaydigraskar7156,2022-01-22T08:32:56Z,0,Hii Krish I am confused in .copy() concept,True
@subanis4232,2022-01-13T09:09:49Z,0,"arr[1:2,2:4] arr[1:2,1:4]",True
@shijithsasidharan8436,2022-01-12T13:49:18Z,0,"print(ar[1:,2:4]) print(ar[1:2,1:4])",True
@shraddhanemane,2021-12-11T18:40:18Z,0,"keys for funcation defination,can anybody tell ?",True
@manateluguabbaiinuk-mahanu761,2021-11-23T12:06:33Z,0,"arr[1:2, 1:4] output: array([[3, 4, 5]])",True
@manateluguabbaiinuk-mahanu761,2021-11-23T12:05:16Z,0,"arr[1:3, 2:4]  array([[4, 5],          [6, 8]])",True
@arijitsarkar2992,2021-09-10T21:40:21Z,0,"Sir, what is use of np.ones",True
@hometvfirestick,2021-09-03T15:20:24Z,0,thanks,True
@fouzanghiyas5643,2021-08-14T09:14:51Z,0,reshape after randint not working-after tab its not even popping in the list. can anyone help,True
@ramakant1963,2021-08-09T15:29:19Z,0,"solution for the excercise - arr[1:,2:4]",True
@archanaashok1980,2021-08-09T11:16:22Z,2,"Hi Krish, Python is made so simple to learn from you. Always had difficulty in understanding and remembering from other tutors. Never felt it so easy and enjoyable to learn. Thank you for your efforts.",True
@madhavimishra7943,2021-08-07T16:47:24Z,0,sir can u plz help me..mai Pychm use kr rhe hu bt use me numpy import error show kr rha..mai google kiya kuch nhi mila information ki kaise thik kru..bs yahi bol rhe h problem aati h so plz help,True
@NKATRUKUSUMANADH,2021-07-16T09:06:09Z,0,"hello,sir,,is this concept of numpy enough to go through machine learning",True
@louerleseigneur4532,2021-07-06T22:21:52Z,0,Thanks Krish,True
