author,updated_at,like_count,text,public
@YashSharm884,2021-06-08T14:27:50Z,0,"Actually, Your Hardwork is shown on your face Sir.",True
@peopleclickindia1733,2021-04-21T11:12:28Z,0,"Study data science training in Bangalore from certified experts. Our job-oriented data science training in Bangalore helps you to learn a range of Python, R, SAS, and Tableau techniques. Data Science Content is built for newbie and intermediate level experts in accordance with real-world requirements. Many real-world issues and case studies have been implemented and discussed in the classroom with a lot of practical practices. We include business qualifications, real-time assignments, and career reviews for data science positions to Tier 1 businesses and banks. Be an expert in Data Science with our exclusive data science courses in Bangalore. We offer a Data Science course with both R and Python, Machine Learning, and Deep Learning concepts. Our classroom sessions taken by 10+ years of experienced trainers are highly interactive. There is a 24 X 7 online doubt clearing facility as well to ensure thorough learning. This course is ideally adapted for all kinds of people looking for data science training in BTM in the classroom and begins their data science career. We are considered one of Bangalore's best institutes for data science courses and training. For More Details: +91 73384 97706 Visit:	https://www.hadooptrainingbangalore.com/data-science-training-bangalore.html",True
@rk-wy8pu,2021-02-06T02:26:46Z,0,I had to click on the video when I saw u talking to a toy in the thumbnail lol 🤣🤣🤣,True
@naveenkumarr6681,2020-11-15T21:03:20Z,0,It's my request,True
@naveenkumarr6681,2020-11-15T21:03:07Z,0,"Sir,please provide your WhatsApp number",True
@kushalappaca5324,2020-11-14T10:22:03Z,2,He says 'YES ' DSA is necessary. Thank me later,True
@varunsakunia8945,2020-11-12T08:16:46Z,0,Thanks a lot Sir...The much needed question for Freshers.. Awesome Sir.,True
@shubhambarge1977,2020-11-12T04:42:39Z,0,What would the correct career path to be a system administrator?,True
@crimsoncad3230,2020-11-11T19:29:57Z,1,Cool. Keep going.,True
@servno8573,2020-11-11T19:04:15Z,0,"Hi , I wonder if you can make an explaination about ' sliding window'  in objects detection .  And thanks for everything 😁😁😁",True
@tigerbhavesh6905,2020-11-11T18:43:23Z,0,Sir mene ineuron se ml course buy kara tha pr thode din baad meko samjh aagya pehle data structure jaruri hai phir ml karunga,True
@gangadharareddy6025,2020-11-10T19:39:42Z,0,"Since We are working mostly in python for DataScience, should we go for python for coding Data structers and Algorithms, or else any other language. Because even some top companies do not allow to code in python for Data structers and Algorithms",True
@pasupuletivinod8638,2020-11-10T15:37:35Z,0,"Hi Krish, can you please make a videos on Splunk API, Active Directory, Sparx Enterprise tool > all to python",True
@jayantdikshit4181,2020-11-10T11:30:47Z,0,Which programing language you used to learn Data Structure?,True
@43_sohailshaikh93,2020-11-10T10:05:35Z,0,sir i have completed watching all data science course on youtube and your playlist what to do next for geeting into this industry??,True
@akash_thing,2020-11-10T03:32:44Z,0,Can you share some good courses or program for learning DS&A,True
@saqlainpasha9297,2020-11-09T19:49:53Z,1,"I was looking for this from some time . Thank you for this vedio  Krish Sir . Can you please  make a vedio on projects, which have real world use case  use data structures and algorithms extensively  .",True
@rdsamleti10,2020-11-09T19:22:06Z,1,Sir also tell us outside campus placement for data science jobs,True
@anurag01a,2020-11-09T18:38:06Z,2,Great Explanation,True
@obulnaidu017,2020-11-09T18:12:24Z,1,Thank you so much sir 👍👍👍👍👍,True
@karthikvg3037,2020-11-09T17:12:56Z,6,(UG degree + pg diploma - low salary as fresher) Vs (PG degree - high salary as fresher)  Is the above statement true or a myth,True
@abhishekkaushik713,2020-11-09T17:11:18Z,1,Who need whitehat when we have you...,True
@shibu9902,2020-11-09T16:44:24Z,1,Sir your headphone is quiet good than this microphone,True
@govindgk9027,2020-11-09T16:27:00Z,1,sir  i am a mechanical  engg graduate  passed out this year. Is it recommended to get into data science  feild  now itself .,True
@kishmatbhattarai,2020-11-09T16:19:03Z,1,Yes they do,True
@karthickrajalearn,2020-11-09T15:32:28Z,3,I watched 5+ times More Motivation for me,True
@karthickrajalearn,2020-11-09T15:32:07Z,2,Last Words of you It is Powerful Words If We Learn data processing is enough for Getting job in any technology,True
@aryanpathela6539,2020-11-09T15:26:50Z,1,"Does data structures with c required in data science or not.?., I know data structures like numpy array and all those things required in data science..",True
@karthickrajalearn,2020-11-09T15:24:42Z,2,After 4 years of College Completion You gave me good confidence,True
@switches_slips_turnouts,2020-11-09T15:22:59Z,1,"Sir, can you please make a complete playlist of algo and Ds. I am refering to MIT OCW CS course and nptel. I would certainly prefer your teaching.",True
@karthickrajalearn,2020-11-09T15:18:27Z,1,In 6:38 Well Said,True
@devanshverma5395,2020-11-09T15:09:53Z,1,Is it also required for a data analyst role for a fresher?,True
@nivitus9037,2020-11-09T15:06:24Z,1,"Intro part was stunning krish 🤣🤣🤣🤷🏾‍♀️💙",True
@kartikeyrana3736,2020-11-09T14:43:05Z,2,i know c and c++ very well but as a data science enthusiast i have understood python upto some extent so now should i practice data structure and algo in python or should i practice it in c++ ?,True
@dheerendrasinghbhadauria9798,2020-11-09T14:36:55Z,4,What about someone who has 1.5 years of experience in electrical engineering field and wants to switch to data science field...??  Is it required to learn DSA to switch into data science field...??,True
@anshusingh536,2020-11-09T14:35:40Z,1,sir plz make a video on Machine Learning Engineering  in industry  work..what they do,True
@vamsinadh100,2020-11-09T14:31:40Z,6,"My Suggestion : Learn some basic data structures and algorithms try to implement with any programming language. solve some easy level problems in competitive coding! (leetcode,hackerrank,hackerearth,geeksforgeeks)",True
@socially_apt,2020-11-09T14:28:52Z,0,Data structures and algorithms is too over hyped.,True
@faisalrash99,2020-11-09T14:28:04Z,2,Thanks Krish Sir!! I was searching for such kind of videos. I was unable to crack some interviews just because only of data structures. Now I will learn it,True
@suneel8480,2020-11-09T14:15:57Z,1,We are curious to learn your algorithm!can you share it?😍,True
@rishikeshan0649,2020-11-09T14:11:44Z,1,Krish  sir please put the video for the roadmap for data structures as u do for our data science domain...pls kindly make the video sir.,True
@ShahnawazKhan-xl6ij,2020-11-09T13:56:03Z,1,Thanks a lot sir,True
@kartiksang2711,2020-11-09T13:30:54Z,1,Please can you complete the playlist of Ds algo which you have started. Please it is really needed.,True
@barathkumarg3461,2020-11-09T13:26:43Z,1,Groot super sir,True
@dhruvvavliya9155,2020-11-09T13:14:09Z,1,Thank you sir ! i always find right and certain answer from you,True
@saikat8samanta,2020-11-09T13:12:55Z,1,Thank you,True
@pechimuthu.j7953,2020-11-09T13:07:16Z,4,Nice video nowadays students underrate DS and Algo and everyone running behind new Technologies,True
@zidanesunesara8662,2020-11-09T13:04:22Z,1,plz make video from where to learn Data Structure A to Z,True
@anuragdhadse1426,2020-11-09T12:59:36Z,1,"Should I focus on CSA, Digital electronics and other stuff?",True
@animeshsharma7332,2020-11-09T12:51:19Z,11,I will let Groot give my Data Structure and Algo interview.,True
@nehasrivastava8927,2020-11-09T12:47:36Z,3,Thank you very much sir..i am big fan of yours..,True
@keshavbansal5148,2020-11-09T12:41:16Z,8,"""Everybody is Groot"" - Sheldon Lee Cooper",True
@Anujkumar-my1wi,2020-11-09T12:31:36Z,1,can you pls explain why neurons are all connected and neurons in the input layer and output layer are not interconnected ?,True
@akhouritushar,2020-11-09T12:27:49Z,4,Please bring spring angular react J's spring boot ......related certifications on Ineuron....I mean I love java..please help...,True
@rehithkrishna543,2020-11-09T12:26:52Z,4,Sir please create competitive programming in python playlist,True
@radhakrishnanrayaprolu,2020-11-09T12:22:05Z,16,"Agreed Krish, Learning Data Structures and Algorithms and solving Competitive programming questions can really improve problem solving skills which is really important in the Data Science field too . DS and Algo is compulsory and should be made base as you said.",True
