author,updated_at,like_count,text,public
@statquest,2024-02-19T15:38:03Z,0,To learn more about Lightning: https://lightning.ai/?utm_medium=social&utm_source=youtube&utm_campaign=podcast Or just get started with a cool Lightning Studio tutorial: https://lightning.ai/lightning-ai/studios/the-easiest-way-to-use-gpus-in-the-cloud?utm_medium=social&utm_source=youtube&utm_campaign=podcast  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@livr6071,2024-05-11T21:58:27Z,2,Amazing to see more people with linguistics background in AI! ❤,True
@codewithtj,2024-05-07T09:33:40Z,0,Project on who was captain can we have more detail with the code explanation.,True
@kartikchaturvedi7868,2024-05-04T13:21:27Z,2,Superrrb Awesome Fantastic video,True
@FlokiGuy,2024-05-03T19:40:43Z,1,"Josh, hello! Just recently, the ML community saw the emergence of revolutionary Kolmogorov-Arnold Networks (KANs). I would be very glad if you could make a video about them; I particularly enjoy your presentation style, thank you.",True
@tannergilliland6105,2024-05-02T00:22:10Z,3,"Hi StatQuest! Have you seen the mamba ssm paper? I would love a stat quest on training and using it. Thanks to your videos I now understand a lot of the basics of machine learning. However when I see all the notation in ML papers, and the mamba paper, I get super confused. So yea, I think it would be awesome if you did a StatQuest on mamba, and maybe you could do a StatQuest on how to understand all those pesky notations.",True
@godtegodte,2024-05-01T19:18:23Z,5,I'm from Denmark and I study Data Science!,True
@user-wm6rp7lm8c,2024-04-29T13:58:08Z,1,Hello from algeria,True
@VishalSachdev,2024-04-29T13:10:48Z,2,Amazing story!,True
@kaykwanu,2024-04-02T13:08:37Z,2,"Josh, I want you to know that you are making a big difference with these stories. God bless you and all the folks sharing their stories, making Data Science concrete and relatable. Gold mine!",True
@GonzoDark,2024-03-11T22:45:16Z,2,Very inspiring! Truly a human story - fearless indeed.,True
