author,updated_at,like_count,text,public
@krishnaik06,2022-09-12T14:17:13Z,137,Do You want me to make more videos on these kind of motivational transitional stories?,True
@dingding4898,2023-09-10T06:23:30Z,0,"Hey Krish, did you get a chance to record a video with him?",True
@Sam12524,2023-04-18T11:26:05Z,0,"Yes, hard work and proper guidance can lead to success, but as far as iNeuron is concerned, they themselves don't guarantee jobs for people with more than 2 years of career gap. For someone who is looking for a job guarantee with a gap of more than 2 years, what should they do?",True
@nitishtiwari4583,2023-03-05T14:01:07Z,0,Can you tell me sir is it right for me to do data science course to get a job as i have almost 6 years gap after graduation preparing for govt job in banking sector but couldnt able to get the final selection so i dnt have many option right now from almost 1month i am doing a job in ufaber as an education counselor so i will try to do the job for 4-5 months so that i get the financial need from the job to start my course in data science and apne career ko ek patri pe la saku...i am 29 right now..,True
@induchaudhary7639,2023-01-30T10:24:55Z,0,Same story bt wth 3year gap trying to make transition to data science can you give me an approx idea wht was his package,True
@karansuryawanshi6179,2023-01-24T08:32:46Z,0,Sir I had completed my 12th 2015 from science stream and from some reasons I didn't completed my graduation........ Sir still I have opportunities in IT industry?? (Guide me),True
@dhirajdabi2148,2023-01-13T10:55:58Z,0,Hey Hi Krish can we do the inuron internship while workingg. I am working as AI & Robotics Teacher learning thev sata science,True
@primsonrodrigues,2022-12-30T10:47:05Z,1,Hii sir this is primson Rodrigues here I have a doubt I am a hotel background student so if I do a transition into data analysis do I get a good position in future,True
@bibarishs3120,2022-11-06T17:06:30Z,0,Thank you,True
@ankitsoni7955,2022-11-04T18:12:37Z,0,"I want transition to data engineering,i have 6 years of gap, please help.",True
@Entertainment-lo4em,2022-10-29T14:11:32Z,0,@krish naik Which one is the best online platform for learn data science. And i wanna translation my career from Non-IT to IT. with 4 years bpo experience. And with best less fee.,True
@nzgualnam88,2022-10-05T10:02:41Z,1,I'm learning Data science without any IT or coding background. Now i'm trying to change and learn Devops. Will it be a good move? Please advise.,True
@tinkupanda9278,2022-09-20T07:09:33Z,0,Yes sir,True
@PushkarRajpandur_rangga,2022-09-17T11:45:26Z,0,sir please record a video with HIM... it  will be best.,True
@sathegdeep,2022-09-15T13:10:19Z,0,Thank you sir for this video...,True
@priteekadam9584,2022-09-14T11:36:28Z,0,plz sir help me to get job in data science field bz I have career gap plz plz help me I have certifications on data science and data analytics,True
@snehalraole422,2022-09-14T10:28:39Z,1,Hi Krish. I am a practicing CA by profession. I just did my 11 months course from great learning for data science and business analytics. Enjoyed a lot  now i wanna know if i should be applying for data analytics jobs for mid level positions with my experienced in financial background  or i should start with internships ?,True
@manickmax6818,2022-09-14T05:03:11Z,1,This is super important 🔥,True
@drprince8766,2022-09-14T04:55:58Z,0,Sent you email Krish. I am in same situation.,True
@jesuswords5814,2022-09-14T04:13:37Z,1,Super Kris u r motivation excellent 👍,True
