author,updated_at,like_count,text,public
@KenJee_ds,2020-05-08T13:08:57Z,215,"Thanks for watching everyone! Please leave some of your data science goals below so you can be held accountable by the community on this channel. Also, feel free to like and subscribe to help this channel grow! Watch this video on why I am starting data science over again next: https://www.youtube.com/watch?v=uXLnbdHMf8w&ab_channel=KenJee !  Video on my #66DaysOfData Challenge: https://www.youtube.com/watch?v=qV_AlRwhI3I&ab_channel=KenJee. Written version of this article: https://towardsdatascience.com/how-i-would-learn-data-science-if-i-had-to-start-over-f3bf0d27ca87  A few more links: My Favorite Free Data Science Courses: https://www.youtube.com/watch?v=Ip50cXvpWY4&ab_channel=KenJee 365 Data Science - Courses ( 57% Annual Discount): https://365datascience.pxf.io/P0jbBY (Affiliate Link)",True
@saisrimahalakshmikamuju6467,2024-03-01T04:44:56Z,0,Please tell me how to pass Google Tensorflow certification,True
@philippmuller2086,2023-07-30T22:19:53Z,1,"how important is it, to know complex maths like algebra? In social science, we do also ""data science"". we write code and analyse data with machine learding models and interpret staticical outputs. but we never did anykind of math. what is your opinion on this? is it so important to know math as a data scientist? why job postings ask for STEM graduates and never social science like sociology, political science or psychology?",True
@andreasgamer6805,2023-07-04T21:54:04Z,1,Do you think ai will replace data  scientists? I have applied to a master program of data science and im thinking about ai and data science.,True
@mohammadamingudarzi3361,2023-03-22T05:16:49Z,0,Is this video still reliable in 2023?,True
@wificannibal9704,2022-12-11T23:07:10Z,1,Hello! I am a complete beginner but one day I’d like to work with AI. Would this be a good path to get there?,True
@sandipbhattacharjee7819,2022-10-09T11:51:17Z,0,"hey Ken..I am beginner and this is my day 1...should i learn prob & stats and linear algebra before and then ML and DL...if, NO...then where to start..",True
@michealakinleye8791,2022-09-18T19:07:52Z,0,"I really want to learn data science, but I actually know about Python...like how to code in Python. But I actually want to know what to do to get started and be the best I data science.",True
@habibomoha9961,2022-09-14T08:30:17Z,0,Will C++ help ?  Our college they offer C++ as the only programming language is that something that might help me as a data scientist,True
@cheruiyotdaniel7631,2022-09-02T18:07:12Z,1,I told a friend of mine of my goals which are so impactful on our lives and he told me that he'll hold me accountable for it if I do not accomplish those goals in 21 days. This was my first day and I haven't made any move yet. Guys push me pursue it 🙏😵😟,True
@khamidullokh6056,2022-08-30T19:00:44Z,8,"I am currently on the verge of graduating with my bachelor's degree in computer engineering, and starting my masters degree in data science in the near future, this video really helped me out!!! Accept my endless gratitude ☺️",True
@parvatbhusal,2022-08-28T22:07:50Z,1,Hey 👋  I am starting Bsc Data science in Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 coming September 5th any tips senior?? Thankyou☺️,True
@divyakoshatwar,2022-08-25T14:47:30Z,6,My Goal for the weekend : Understand existing 3 Power BI Reports.  Learn 10 Excel functions and try it.  Complete one micro course of Python on Kaggle over the weekend.  Thank you it was a great piece of guidance.,True
