author,updated_at,like_count,text,public
@krishnaik06,2023-09-30T17:42:33Z,4,Announcing my new podcast channel where you will be seeing amazing successful transition stories :) https://www.youtube.com/@successstoriesbykrish5777,True
@mimmi9,2023-10-04T21:22:22Z,0,"It is showing "" Unable to render code block"" Whenever I am trying to open the statistics interview questions file, Complete Sql Basics to advance Guide, actions cheat sheet, git cheat sheet, Machine learning all files. So maximum files of yours are not opening and showing the above message that I mentioned. plz fix it. I am unable to see anything",True
@garimakaushik2849,2023-10-04T06:04:48Z,0,"Hello Sir, Thanks a lot for your contribution in data science community. would you please provide python interview questions too. Please sir",True
@NewDataTime,2023-10-02T08:23:40Z,0,Thank you,True
@VijayKumar-cf6ts,2023-10-02T07:32:00Z,0,"very useful content sir, thank you!!",True
@nandhinis4642,2023-10-01T11:40:29Z,0,"sir, when is the next ineuron mega job fare..please tell",True
@nandhinis4642,2023-10-01T10:46:33Z,0,"sir, when is the next ineuron mega job fare..please tell",True
@shiprasingh9541,2023-10-01T04:05:31Z,0,"Good morning sir My name is Shipra, i want to become data analytics but my graduation degree is B.A. So sir please tell me that after completing the course my resume will be short listed or not. It's my fear Thanks",True
@satishkumar-ko1bd,2023-10-01T02:51:08Z,0,Sir please do complete playlist on mlops..thank you sir,True
@user-95532,2023-10-01T02:03:56Z,0,"Sir, accepting the offer with 3LPA for junior data Scientist is okay, or should I have to wait for better. Please reply 🙏",True
@ganeprem4583,2023-10-01T00:30:30Z,0,Sir make playlist of maths @krishnaik,True
@itsMohak,2023-09-30T18:56:13Z,0,Very awesome.,True
@gopalakrishnapuvvada7736,2023-09-30T18:21:22Z,2,I am taking the full stack data science course in ineuron. Every weekend and sunday we have the class and zoom link receiving through mail. But please put the agenda of class along with same invite.please consider this. I am sending this mail from past 2 months. This will be helpful to our frnds which class can attend and which class can watch later. Sometimes we are missing some valuable info which is happened in live. Thank you krish sir. I hope u can understand,True
@kanavvasudeva1799,2023-09-30T17:46:54Z,1,Plz make one video on DAX function and important questions for interview also,True
@soumeshnayak4546,2023-09-30T17:46:34Z,9,Thank you sir for this video. Sir can you please make a playlist on Mlops tools for 2023,True
@KararaJawaab,2023-09-30T17:43:47Z,0,"*_Sir, Apke PwSkills Ka Course Ka EMI Based Subscription Ayega?_* *_Koi EMI Option Lao, Sir. Ek Sath Dher Sara Paisa Nhi Lga Sakte. EMI Option Laao, Please._* *_Please Have Some Option Open For Not So Rich People Too._*",True
@aidataverse,2023-09-30T17:43:13Z,1,Thanks,True
@RishiRajxtrim,2023-09-30T17:40:17Z,1,🙏💯,True
@fitnessreels1799,2023-09-30T17:38:57Z,1,Thnx sir,True
@satyabrata3654,2023-09-30T17:38:27Z,1,❤,True
