author,updated_at,like_count,text,public
@abhirajsinghrajpurohit2464,2023-01-06T16:40:28Z,0,But won't the unix time-25920 takes the time to past and repeating the same thing again and again?? Please explain I will be thankful,True
@chaitanyasharma6270,2021-09-15T10:42:08Z,0,"hey, quandl doesnt work how do i get this data now",True
@TragicMagid,2020-12-07T18:40:36Z,0,"Hey all,  Every time I merge the data, I keep getting a blank csv file with all of the titles of each column but no data. The issue seems to be with source.split as it doesn't output anything to the terminal (using VSCode on Windows 10).  I've followed every other piece of advice e.g. use pd.read_csv, sp500_value = float(row[""Adj Close""]) and row = sp500_df[sp500_df[""Date""] == sp500_date]. Any advice would be appreciated! Here's my code: https://pastebin.com/CcAs1ZV4",True
@ahlaamrafiq4477,2020-11-23T09:24:39Z,1,"pd.DataFrame.from_csv('...') might throw an error, try pd.read_csv('...') instead  :)",True
@carlosoliverhernandezmonte8686,2020-10-04T18:06:29Z,0,"What does the stock_price mean? I know it is a value that he takes from the file but, What is the meaning of that value?",True
@butoyighyslain171,2020-09-05T04:58:01Z,0,Awesome video! keep it up mate,True
@jordivanveen150,2020-08-11T22:40:16Z,0,"I think there is a small typo in my code. Can anyone link the source code, I can't find it with the link he provided. Thanks !! (AWESOME TEACHING AND TUTORIAL!!!!!!!!!!!!!!!!!!!!!)",True
@yusufmohammad3138,2020-07-05T13:33:50Z,1,"@sentdex Hi when running the code I have at the end of this video my TotadlDebtEquitymrq.csv comes up empty, prior to adding the code in this video when running the program the csv file would be appended to with no issue",True
@abeninhoo,2020-05-30T17:38:39Z,1,"sp500_df = pd.DataFrame.from_csv(""YAHOO-INDEX_GSPC.csv"") should be sp500_df = pd.read_csv(""YAHOO-INDEX_GSPC.csv"")",True
@MohamedAshraf-zs6nv,2020-05-27T19:37:57Z,0,"here is another way which i created to get D/E value directly from the website:  import requests import re  def url(company_name):     url = 'https://uk.finance.yahoo.com/quote/{}/key-statistics?p={}'.format(company_name, company_name)     source = requests.get(url).text     formula_DE = r'""raw"":([\d\.]+),""fmt"":""[\d\.]+""},""returnOnEquity'# worked perfectly     result = re.findall(formula_DE, source, re.MULTILINE)     return result name = input('Put the exact company name as in Yahoo:') url(name)  but the only problem that i don't know where can i find the D/E for all the years",True
