author,updated_at,like_count,text,public
@LukeBarousse,2022-08-30T15:11:25Z,51,"DATA NERDS, I'M BACK!!!!! 🤓 🙌🏼 Thank y'all so much for your kind words and support during my time away; I felt beyond loved by the data nerd community! Although I had to take off due to a family emergency, I am now more recharged than ever to get back on the YouTube grind! More nerd content to come; stay awesome, my friends 🐼",True
@ac3inlondon531,2024-05-01T16:04:30Z,0,"Hey man great videos . but please just a request make the video more detailed like how you got the data from linkdlin, How  you load and get libraries, show a proper process of what you are doing .",True
@MichelleLe-om3fv,2023-05-03T04:30:49Z,0,This was SO informative! Thank you!,True
@hedgedozzdozzhedge4021,2023-03-17T16:22:20Z,0,Sick,True
@Nih1lu5,2023-02-04T02:26:21Z,1,"Hey Luke, as always thank you for your insightful videos. They've been very helpful during my journey with Data Analytics.   Do you happen to have any videos or content regarding ChatGPT and open AI? With things like ""Prompt Engineering"" and the potential growing need for what prompt engineering will allow us to do with Open AI.",True
@davidkoh7097,2023-01-29T01:50:18Z,0,"If you keep adding variables to the linear regression, the R-squared should tend to decrease, right?",True
@logofios,2023-01-16T20:59:23Z,0,Is knowledge of statistics or machine learning required for your job as a data analytic?,True
@nationhlohlomi9333,2023-01-16T20:19:53Z,0,What a way to simplify,True
@innocentiuslacrim2290,2022-12-09T21:51:59Z,0,Linear regression is extremely important in business and multiple linear regression solves a LOT of the issues where linear regression is not good enough. Forming a solid basis with those is great.,True
@ThisisDikky,2022-11-11T17:12:31Z,1,There is a non-native Excel add-in called RegressIt or RegressItLogistic that can handle more machine learning models beyond the Data Analysis tool pack in Excel. It's quite awesome as you can do EDA and also plot a confusion matrix.,True
@realmheart3751,2022-10-01T11:30:25Z,0,"Please, how long do you think one should focus on excel and sql if they just learned python?",True
@johnchen5386,2022-10-01T08:55:06Z,0,MAN your light set up is awesome.,True
@commonguy7,2022-09-30T12:06:06Z,0,"I see you read the comments. So i want to ask you, which model is better and can be used most? Lightbgm or SKLEARN models?",True
@Kath0di0n,2022-09-28T13:26:12Z,0,@Luke possible to get the code and data you used here?,True
@Robertocarlos-ej5ne,2022-09-26T16:39:32Z,0,Just make money,True
@GREK643,2022-09-23T13:40:55Z,0,It's great however i'm sad that you don't mention about statistics significance. The model means nothing if r^2 is up to the roof but variables are insignificant,True
@OutOfWorldEdit,2022-09-18T14:59:42Z,0,Hey luke i want to know your opinion  I want to learn Machine data and data science about Ai  Is it good to buy MacBook air m1 256g 8gb or buy another windows laptops in this range  of macbook air m1 basic model price?,True
@Hybridders,2022-09-18T14:59:39Z,0,How i use ML as a data analyst: i dont,True
