author,updated_at,like_count,text,public
@krishnaik06,2022-06-01T11:30:17Z,11,Requesting you all to subscribe and press bell notification icon Krish Naik Hindi :https://m.youtube.com/channel/UCjWY5hREA6FFYrthD0rZNIw Sabko data scientist banayega tera Krish😇😇😇Love you all infinity,True
@raj_patel_43,2022-06-03T11:57:08Z,0,"great Krish Sir, there are a lot of students who wants to learn data science in Hindi now they can understand deeper concept easily in native language Hindi",True
@mainlykanchan8740,2022-06-03T06:28:11Z,0,Thank you so much sir SQL interview questions answers sheet ke liye . Bht help mil gyi 🙏🏼 Wish me luck for my relevel Data analyst exam 🥰,True
@Naveenkumar-dq8ez,2022-06-02T11:29:43Z,0,request you to kirsh Sir.....please sir is industry ka communication factor khatm kariye sir . ..knowlege jis student ko h wo kam krna chahiye ...it industry me maximum log English ki wajah se ignore ho jate h. ...industry walon ko ye ni smjh ata sir english is only a language not a intelligence. ...please do some work sir .........sir my sincere request you to jaisa sir aap kam kr rhe aur apki company grow kr ri h ....aap bs communication factor khatam kr do is industry se .... India ki bht sari MNC Company apki company se jhuk jayengi,True
@kameshyuvraj7969,2022-06-02T08:37:46Z,0,Thanks a lot sir,True
@kameshyuvraj7969,2022-06-02T08:35:31Z,0,No one explain Deep learning like you sir it's ultimate,True
@Prashant_Kumar_Srivastav,2022-06-02T04:00:17Z,0,Can you suggest me.. Best courses of data analytics .. I want to enter in IT field as a data analytics..,True
@amitjajoo9510,2022-06-01T17:32:54Z,0,Please create a course on one neuron in hindi,True
@learner8053,2022-06-01T16:32:32Z,1,Very good initiative by krish  Thank you so much Krish for the hindi channel 😊,True
@bilalhassankhan221,2022-06-01T15:28:55Z,0,"Please upload stats video and also, it's implementation. Please quick",True
@karthickraman4306,2022-06-01T15:11:46Z,0,Bohot bohot Shukriya,True
@shivayshakti6575,2022-06-01T14:55:26Z,0,This was much needed :),True
@maukaladka4100,2022-06-01T14:50:31Z,0,amazing.,True
@shubhambarange3758,2022-06-01T14:49:25Z,0,This is a great step,True
@sivakrishnamanne2962,2022-06-01T14:01:16Z,0,"Sir, what's the need for Hindi, reason ur telling "" more clarity, understanding etc etc"" not valid, have these people done their under graduation in Hindi medium, mostly none of them.. comfortable completed their 4 years of BTech in English only naa.what about rest of the languages, student of other languages don't want more clarity and understanding ?, don't show bias to a pirticular language.if able to treat all languages equal otherwise please.......",True
@usmanayaz4617,2022-06-01T13:57:59Z,0,Great. I have already subscribed. Amazing work. Thank you,True
@muhammadusmanakram406,2022-06-01T13:52:13Z,0,I'm very thankful to your videos of NLP that help me to clear my FYP. Thank you so much,True
@DjikstraAlg_S.I,2022-06-01T13:49:00Z,1,"Hello, Please how long is the full stack data science boot camp program ($240)? How many hours of lecture videos is provided on program? Thank you",True
@ShivamSharma-if1oh,2022-06-01T12:23:15Z,1,Sir sk learn ki playlist bnao,True
@akashbhullar,2022-06-01T12:13:21Z,3,"Thanks, Bhai! Just bought Data Analytics full-stack course, and even completed some of the Stats vids, pretty good so far! Excited for this one as well, हिंदी का अपना ही मज़ा है, और ज्यादा आसान हो जाता है सबकुछ!",True
@Sanjay-xq5xr,2022-06-01T11:44:28Z,1,what about non hindi speakers?😢,True
@mishralucky,2022-06-01T11:42:07Z,3,i always come back to your videos to start understanding any concept in data science world.  you are setting a perfect example of how to contribute to the community by sharing knowledge,True
@mohana4179,2022-06-01T11:38:36Z,1,Please make a video for lgbm algorithm snir,True
@santoshhonnungar5543,2022-06-01T11:31:22Z,1,"Krish, do it in Kannada..",True
@shrikrishna4803,2022-06-01T11:31:20Z,1,Eagerly waiting Krish i watched you all ML videos,True
@chitrranshia7765,2022-06-01T11:30:48Z,1,@krish: sir let's start interviews series again !! How to describe projects ..some live projects....,True
@AKSHAYVAYAK,2022-06-01T11:26:02Z,3,sir please make videos for statics and maths in data science,True
@madanpalsingh41,2022-06-01T11:23:45Z,3,Eagerly waiting sir launch as soon as possible,True
@ibraralam856,2022-06-01T11:22:29Z,1,hello Sir i need your guidance regarding data science,True
