author,updated_at,like_count,text,public
@statquest,2022-05-09T19:43:38Z,8,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@ja1211,2024-05-23T02:09:27Z,1,Omg thank you so much,True
@user-by8sn4km5q,2024-05-16T22:06:03Z,1,WOWW! This was super helpful!  Thanks Josh!,True
@proggenius2024,2024-04-14T20:27:08Z,1,awesome again,True
@user-pn3vw9sp5f,2024-03-27T23:56:38Z,2,This channel is salt of the Earth,True
@pedroalabart8179,2024-03-18T16:37:57Z,1,te amo,True
@aashidm,2024-03-15T12:40:20Z,0,00:10 K-nearest neighbors is a simple algorithm for classifying data. 00:50 Clustering data using PCA and classifying new cell type 01:29 K-nearest neighbors classifies new data based on nearest annotated cells. 02:12 K-nearest neighbors algorithm assigns a category based on the majority of nearest neighbors' votes. 02:59 K-nearest neighbors algorithm classifies unknown points based on nearest neighbors 03:40 K-nearest neighbors can avoid ties by using an odd K value. 04:22 Choosing the best value for K is crucial for K-nearest neighbors. 05:01 Categories with few samples are outvoted,True
@shawteex3,2024-03-02T21:50:37Z,1,thank you so much for this video! i have my midterm tomorrow and im so scared :(,True
@gooo1762,2024-02-24T19:15:40Z,1,thanks a lot bro,True
@user-ox9rw7ec6w,2024-02-22T12:25:03Z,0,"I don't understand the purpose of using PCA. Since we have a dataset of known categories, why can't we directly calculate the Euclidean distance between samples of unknown categories and samples of known categories and determine the category to which they belong, like K-means. This sounds stupid but I'm actually a little confused.",True
@Guinhulol,2024-01-24T19:39:26Z,1,I am brushing up on my ML terminology and StatQuest always comes to the rescue!! BAM!,True
@devolopeagae5411,2024-01-18T19:51:03Z,0,what exactly does the model store after being trained? Does it store all the features and labels in our training data? So that while predicting it can compare with all distances?,True
@bezelyesevenordek,2024-01-07T22:43:34Z,1,statquest,True
@tanguyvranckx1134,2024-01-07T20:34:57Z,1,"Where would I be without StatQuest? Luckily, I now have the statistical tool to estimate this!",True
@maryamzirak6291,2023-11-08T08:52:16Z,0,"That is awsom how you explain this topics. One suggestion, you could show how the 7 nearest ist red, 3 nearest ist orange and 1 nearest is green for the point in the middle. By my eyes, the 1 nearest neigbour ist still red! and it makes me confuse what does nearest means actually :)",True
@DrEhrfurchtgebietend,2023-10-31T23:23:29Z,0,You sort of undermine yourself right away by saying PCA is a clustering algorithm,True
@sanaali3069,2023-09-17T11:23:21Z,1,My 10 year old hums statquest song made me realise I my new obsession with this,True
@ShafniSide,2023-08-12T10:28:29Z,1,Thank you so much for saving our time sir❤ love from Srilanka 🇱🇰,True
@SuperBlackHurricane,2023-07-31T16:35:39Z,1,Another exciting episode of statquest!,True
@AshishKumar-sj1ys,2023-07-31T03:03:57Z,0,"Hii Josh, how I know this category is Nearest?",True
@sabindawadi741,2023-06-27T17:45:05Z,1,Simple and Clear explanation. Thank you!,True
@ratnakaramsravanti2042,2023-06-20T18:45:37Z,1,Good job ! I loved the videooo :),True
@qicai3682,2023-06-04T03:43:50Z,2,This channel is GOD SENT. Period.,True
@suparnaroy2829,2023-05-22T10:58:10Z,1,"Hey Josh! This is just a thank you note saying if I pass the upcoming exam, then it would be all because of you! ❤",True
@danny89620,2023-05-21T05:13:52Z,1,Nice video well done,True
@ItsAllRelative,2023-05-12T02:31:14Z,0,"Thanks for the very informative info ! Though I have a question , if my dataset is filled with just categorical string data. So no numerical data . Is there a way I can still use knn to predict ? I heard about encoding the string to numerical value but that seems very complex with big dataset .",True
@bealynor,2023-05-05T00:34:48Z,1,awesome explanation ! thank you so much!,True
@taetaereporter,2023-04-07T04:01:50Z,1,lifesaver! thank you!,True
@bachphantat,2023-03-21T02:15:42Z,0,I have read somewhere that you take the k nearest points then take their average? So which one is correct? or in which situation?,True
@m0tivati0n71,2023-02-23T09:20:18Z,1,Wow! such a great explainer,True
@noamgaizman,2023-02-05T09:22:44Z,1,GREAT !,True
@TheTessatje123,2023-01-25T08:40:33Z,0,"Really great video(s) :-) One question about the heatmap 4:00: On the x-axis you have datapoints (width?), and the y-axis are elements (squares) with values (colors). What is the meaning of a color? And how do you plot a sample? Sample is something like x_i = [v1, v2, ..., vn] where n is the number of squares in the diagonal?",True
@eroliva,2022-12-27T19:20:16Z,0,"I really like the video, but I didn't get how to read the heat map 🥲",True
@nidhidey6758,2022-12-20T11:11:26Z,0,Your videos are brilliant! Would you also do a series of videos on scRNAseq/spatial transcriptomics analysis?,True
@pixie_laluna,2022-12-05T07:58:24Z,1,"Bruhh.. seriously I really appreciate your channel ! Helps me so much with my study, I might owe you my degree.",True
@aminah363,2022-12-04T16:56:18Z,1,Please do a video on K-Medoid,True
