author,updated_at,like_count,text,public
@AAnnapureddySirisha,2024-04-09T14:24:54Z,0,How are   u finding the distance ?,True
@vatsalshingala3225,2023-03-21T17:35:58Z,0,❤❤❤❤❤❤❤❤❤❤,True
@nivednambiar6845,2022-02-16T07:10:43Z,0,Nice explaination,True
@rohitpant6473,2021-11-18T17:21:34Z,0,"I find all of the clustering methods be it, k means,kmeans++,hierarchichal all same can anyone give the best differentiating def fot them.",True
@ankitlakum1,2021-02-28T21:01:01Z,0,"Buy book of no hands on .. I'm interested in idea of different topic this always forcing toward non usefull,  from last 10 years I didn't not reads any books",True
@Mockingbird416,2020-12-30T21:10:17Z,0,"Thank you so much.  After watching so many of your videos, now i think i may pass the exams.",True
@sandipansarkar9211,2020-09-27T17:03:34Z,1,Thanks Krish .Once again great explanation,True
@manusingh9007,2020-07-17T20:26:23Z,0,"I found it good,   here is one more article on hierarchical clustering awesome explanation  https://www.analyticsvidhya.com/blog/2019/05/beginners-guide-hierarchical-clustering/",True
@gulabmeetyou,2020-07-04T14:26:30Z,3,"Hello Krish,  Here i have a question that, after finding the P1 and P2 is the nearest pair you are grouping that then you have to make that as one cluster and again you have to find which is the nearest pair.... But here you did not mention instead you just focusing on ther pairs... Correct me if am wrong... Thanks in Advance...",True
@garvitjain4106,2020-05-23T17:36:26Z,0,Nicely explained..I was having doubt in this particular topic but no one can explain me with that easiness .. Thank you. Can you pin your linkedin account?,True
@tejassutar4198,2020-04-18T11:43:23Z,0,Hello SIr Can you please make the video in python of H-Clustering,True
@AmitYadav-ig8yt,2019-10-23T08:23:55Z,1,"Thank you very much, Sir, for the explanation. It understood very well to me. But how will we implement this Hack of finding the best cluster in Hierarchical in clustering?",True
@diveshkumar.98,2019-04-19T08:17:49Z,0,sir can you add DBScan clustering algorithm and Apriori Algorithm.,True
@navdeepsidana3006,2019-02-24T11:02:23Z,0,Thanks!,True
