author,updated_at,like_count,text,public
@onlineshoppingpoint8890,2022-07-07T12:27:31Z,0,Sir aap ka office Bengaluru me kaha hai,True
@nemeziz_prime,2021-10-06T06:45:54Z,0,Congratulations 👏🎈,True
@sameerpandey5561,2021-10-05T20:05:41Z,0,Congratulations for your new office.... And best wishes for the future... You both motivated me a lot....👏👏,True
@OmkarAshrit,2021-10-03T10:21:32Z,0,Going Ahead!!,True
@OmkarAshrit,2021-10-03T10:20:51Z,0,Going Ahead!!,True
@ALLINONETV1,2021-10-03T04:09:13Z,0,nice,True
@bhagyeshthakur2541,2021-10-02T17:48:16Z,0,All the Best !!!,True
@harshitmittal8037,2021-10-01T11:39:25Z,0,"Hlo sir Sir I need your help regarding my twitter account, pls pls sir reply to this comment pls atleast listen to my query",True
@ssshukla26,2021-10-01T02:59:05Z,1,Yes we can't just trust employees and treat them as kids attending schools...  In India companies grows but never changes...  One need attendance machine and control no. of hours put by an employee... That leads to demotivation soon and then they just wait for clock to tick...,True
@mattworld8752,2021-10-01T02:27:49Z,1,"Even if I am still learning machine learning, this feels like my own office where I work with passionate ML Engineers and a boss like Krish. A boss not bossy, but who motivates us to grow together and become good citizens. Thanks Krish.",True
@smriteenarain5760,2021-09-30T17:42:45Z,0,Congrats Team! Good to see y’all,True
@vishalrai2859,2021-09-30T14:24:07Z,0,Sir please provide some job opportunities,True
@nagavelliumarani2598,2021-09-30T13:35:25Z,0,Congratulations to the practitioner 👍,True
@ajaykumar-rh2gz,2021-09-30T08:37:50Z,0,Amazing team,True
@diosmorbodiosmorbo9547,2021-09-29T19:44:41Z,0,"Hey , do you have a video about catboost??",True
@ZodiacaLyt,2021-09-29T16:20:30Z,0,Hey  I am planning to join data science upcoming batch. Can anybody help me and tell me about the course and how to work on internship and make team for that internship? What are the criteria to get job?,True
@kiranangarai2872,2021-09-29T15:18:33Z,0,Can I visit the office address please,True
@sumit9765,2021-09-29T14:43:05Z,0,Make video on entrepreneur journey of yours ...,True
@naveenreddy7268,2021-09-29T13:10:06Z,0,All the best Krish,True
@mohammaddanish9713,2021-09-29T12:31:53Z,1,Babu bhaiya paisa hi Paise hoga dialog from Phir hera Pheri.. Jokes apart  You and your team work  paid off. Superb,True
@tsudhakarpatra9561,2021-09-29T11:09:05Z,0,Inception. Vlog of vlog! 🥳 congratulations.,True
@pankajjoshi9418,2021-09-29T09:18:09Z,0,Congrats,True
@sunildhakad5219,2021-09-29T06:57:14Z,0,Sunny sir running chalu kro,True
@ExitoMediaConceptsPvtLtd,2021-09-29T05:35:04Z,0,"Hi sir, I just want to know can we apply machine learning in digital marketing.",True
@montysingh288,2021-09-29T04:14:15Z,0,"You guys are really doing hard work & very excellent work, keep it up",True
@bhaskarg8438,2021-09-29T03:07:07Z,0,Wonderful .. wish you all success,True
@kumarajay7th,2021-09-29T00:59:07Z,0,What is address of new office of iNeuron,True
@swiiph,2021-09-29T00:38:53Z,1,"""and you have everything here with respect to water.....""  man I thought I was learning how to fit a model for a second",True
@kane4690,2021-09-28T20:13:58Z,0,Mind blowing,True
@VikramSingh-fl4qe,2021-09-28T18:43:27Z,0,"Hey Krish, I am not able to sign up on ineuron website, I want to join Business Analytics course",True
@sramarao9946,2021-09-28T18:18:02Z,0,Congrats and good luck Krish and Team,True
@rahulkumarsingh8206,2021-09-28T18:08:15Z,0,Amazing Office,True
@manavshah2119,2021-09-28T17:39:24Z,0,Congratulation Sir for New Office one day we are part of your team we have doing great project into this office,True
@shubhammourya1771,2021-09-28T17:17:08Z,0,Great Work Man. Its all because of your hard work.,True
@VijayKumar-lj4fj,2021-09-28T16:21:01Z,0,great and amazing office sir i feel very exciting,True
@shanaebrown1563,2021-09-28T15:50:23Z,10,Love the look trust me I’m a Jamaican and I have already taken one course from ineuron n I am on my second one the courses are really affordable I couldn’t ask for anything else and they are so understandable they deserve this,True
@devidpani2694,2021-09-28T15:16:19Z,0,great great great !! hats off!!,True
@mohammadadilkhan2589,2021-09-28T15:11:39Z,0,Hi sir  Where is the location of your office in Bangalore city,True
@abhi739,2021-09-28T14:41:09Z,1,"hard work and dedication result, Well done Krish Naik, may your company have IPO one day",True
@KommalapatiNaveenkumar,2021-09-28T14:23:08Z,0,Congrats..💐👏👏,True
@tripshower2all,2021-09-28T13:39:35Z,0,"Wish you all success brother, this is my first comment though",True
@1bitmultiverse,2021-09-28T13:34:20Z,0,All in all place is good but its a bit congested 😍,True
@naveenreddy2132,2021-09-28T11:59:58Z,0,Congrats Krish sir!!,True
@rachappatambake1312,2021-09-28T11:52:01Z,2,I feel it's a so early to open office. You guys could running online for couple of years.  You guys took the chance.  Good luck.,True
@rahulraj3855,2021-09-28T11:15:52Z,1,Is there any option to meet you Krish I would love to meet you in person at ur office,True
@sumeet2ful,2021-09-28T10:37:15Z,1,Good to see that.. Soon I will have one!!!!! thanks thanks,True
@akhiltalashi7193,2021-09-28T09:10:27Z,0,Congratulations guys,True
@arunnandam4636,2021-09-28T09:07:12Z,0,"Great Office, Congratulation sir",True
@amanshivhare2076,2021-09-28T08:47:11Z,1,A big big Congratulation <3,True
@priyaupadhyay7402,2021-09-28T08:27:14Z,0,congratulations 🎉,True
@RiteshKumar-xc9zb,2021-09-28T08:07:56Z,0,Shaandar .,True
@vishalnasre1251,2021-09-28T06:52:16Z,0,Wonderful 😊,True
@rhevathivijay71,2021-09-28T06:48:44Z,4,The first thing I like in the infrastructure is transparency (visibility)between all hierarchy designated position areas.. It's a great thing to be more appreciated... Everyone are equal.. Only the responsibilities are different.. I like it.,True
@manisehgar166,2021-09-28T06:21:13Z,0,Congrats,True
@karmindersinghbhatia7780,2021-09-28T06:13:54Z,0,Great 👍 hardwork n dedication pays off,True
@heavyDriver320,2021-09-28T06:08:57Z,0,Awesome! Congrats sir 😃,True
@2Borah,2021-09-28T06:02:26Z,0,Congrats! Krishna Sir and teams,True
@shoaibalauddin8087,2021-09-28T05:50:07Z,4,"Congratulations, Simple, superb, and amazing. Hats off 👍",True
@bhargavikoti4208,2021-09-28T05:44:14Z,0,Congratulations 🎉🎉,True
@LokeshUpdates,2021-09-28T05:43:01Z,0,Good luck Krish nice to see the things,True
@signify8197,2021-09-28T05:14:59Z,1,Best of luck.....Krish sir.... learning so much from you... secrately 😉,True
@henrystevens3993,2021-09-28T05:14:19Z,0,Congratulations Krish 🙏🙏😘😘😘,True
@urvishfree0314,2021-09-28T04:57:51Z,1,Hi sir can you send the address so we could  send some small gifts,True
