author,updated_at,like_count,text,public
@KenJee_ds,2021-04-06T18:17:05Z,141,"The recipes are all different variations on ""beef""",True
@keifer7813,2022-06-14T16:47:29Z,0,Ngl I love how candid you are lol,True
@asmaabdulrheem7646,2022-02-01T16:43:46Z,0,Question do they pay you well?,True
@LLuckyy,2021-10-20T17:30:05Z,1,I love coding so much more than math But I chose the wrong degree  And now I have a bachelors in mathematics  I am so lost rn,True
@ahmed007Jaber,2021-09-24T11:53:28Z,0,are their r communities on R? such as?,True
@danielegant,2021-08-18T15:25:30Z,0,My last company gave us subscriptions to Coursera (we had to apply). I was able to learn how to code through it which helped me in my then job. My current company gives each manager a training budget so I could take courses as long as they make sense for my job/job prospects within the company.,True
@indexplus,2021-07-27T05:23:01Z,0,"He said learn on employer's time, not dime. Actually, employers love to pay for certificates, they will probably not pay for a degree even if you could attend in the evenings",True
@indexplus,2021-07-27T05:16:59Z,0,"He s right, a typical data analyst will have a business degree and experience in less technical and more business/finance areas.",True
@Jefferson-ly5qe,2021-05-26T12:38:17Z,0,"Hey Alex, very informative video. I'm interested in data science and am currently choosing between online DS master degrees in Australia (coming from a bachelor degree in agribusiness). One is a year longer to complete but seems very thorough. The other is a bit light on for stats and python but is shorter and cheaper. I could use the extra time/money to learn more advanced stats/get online certs/work on GitHub projects. If I'm willing to put in the effort in my own time do you think a weaker degree is likely to prove a drawback? I'm imagining I would start out in analytics either way",True
@binksterb,2021-05-20T05:44:31Z,1,Love it!!,True
@resourceress7,2021-05-19T20:29:05Z,1,"I love that Ken is wearing a houseplant hat throughout the video. That's a nice juxtaposition of foreground and background in Alex's frame. And actually, more visually pleasing than Ken's weird off-topic clips within his own video.",True
@gptlemony,2021-04-30T01:42:14Z,0,"Hey Alex, I love your video! Can I connect with you on Link_edIn? I'm a cs junior at UIUC and I am currently exploring both data analyst and scientists roles. If you are convenient, It would be great If I can occasionally ask you a few short questions!",True
