author,updated_at,like_count,text,public
@mohammedkaifmirza7585,2022-04-09T09:48:17Z,0,you explained very much better than the other videos that are available.,True
@mayurdongare707,2022-02-28T05:16:17Z,0,Sir.i am totally new in data science.what should I do,True
@chenya6875,2022-02-14T18:58:30Z,1,"Working with python for almost 2 years, still feeling a lot to learn. One thing I like python most is the diversity of choices. Basically you will have a variety of choices to solve the same problems, quite flexible and versatile.",True
@atulsingh7539,2021-12-27T08:45:03Z,0,"Sir make videos on data science with respect to trading... how data science is playing role in solving the trading problem and in beating the market returns? How to make this type of application, please also mention the respective API's needed for data gathering in this type of market related projects?",True
@jyothim6662,2021-12-08T12:57:41Z,0,How a bsc graduate can become data scientist,True
@ramanateja2193,2021-11-12T12:48:28Z,0,"@Krish Naik, Bhai do we need to learn DSA & be extremely good at programming start Data Science Journey ??",True
@pratyushmaity8728,2021-10-29T17:41:05Z,0,I'm from B.A stream Can I learn Data Science How can I start over Sir !!,True
@amykardiason2583,2021-09-12T09:54:35Z,0,Please create a similar video for data analysis,True
@amoldapke1793,2021-09-12T09:18:13Z,0,"Hey Krish, Should I go for Data science? I am a working currently as Customer support executive, I have 4.5years of experience of working. Earlier I was working as Senior data Research Executive. I also had try to learn python but didn't succeed. What do you suggest, how to make career transition from this.?",True
@TonyMontana-pe6vf,2021-09-10T17:20:26Z,1,"Great video, good information. I have a question, I am from non-technical background, and I am trying to get into business analytics jobs. I am just finishing doing the Google data analytics professional  certificate. What other certificate should I study next to get into a business analytics job? Please help.",True
@priyashreedubey5844,2021-09-07T21:50:04Z,0,Sir should I do bsc data science from Jain University?,True
@yogaramachandran2815,2021-09-07T17:24:52Z,0,"Hello Krish, When is your next ML/DL course coming up on ineuron?",True
@neerajmishra3724,2021-09-06T03:50:25Z,0,Very informative. I have been following your channel and it has very detailed and useful information.,True
@priyanshumishra3107,2021-09-03T11:59:41Z,2,Love your videos. Thanks Krish. 👍🏻,True
@sathishdakani9163,2021-09-03T09:12:59Z,3,Hi Krish Naik & All Can you please suggest best institute for data scientist training (I'm planning for 1 year).,True
@meparabdarshan,2021-09-03T08:17:37Z,2,Great that you made this video,True
@syedshamsakhtar8014,2021-09-03T07:55:07Z,3,Hi Krish  I am looking for career transition. I am looking forward to get into Data Science. Need your help.,True
@FindYourStrengthS,2021-09-03T07:14:40Z,2,Very well explained.....your way of explaning is marvelous.....thanks,True
@curshgaming2002,2021-09-03T06:08:42Z,2,Hello sir i want to join your institution or tuition for data science  I am Fraser in this field but i learn python,True
@shahalamshaikh6085,2021-09-03T05:53:14Z,2,Data Science Guru..😍😍,True
@adityasatyam6300,2021-09-03T05:33:22Z,4,"KRISH many people start with PYTHON , is it a bad way to start with SQL ?",True
@techstack2765,2021-09-03T02:40:47Z,2,Is data analyst jobs in India completely remote ( work from home) now? Please reply.,True
@bhaskargarai8371,2021-09-02T19:27:40Z,2,please give some sources to start from for a beginner,True
@aravinds6305,2021-09-02T18:16:14Z,4,Saw this video while revising statistics from your playlist....Thank you for helping us....Keep going..😍😍,True
@jatinparmar1234,2021-09-02T18:03:01Z,3,"Hii krish sir,    Mene abhi 12th pass ki he aur me abhi bsc it kar raha ho to muje kaise data science ke liye tayari karne cahiye yaa konsi video recommend karoge iske liye?",True
@Talktech101,2021-09-02T17:45:49Z,2,thanks a lot for your invaluable tips!,True
