author,updated_at,like_count,text,public
@krishnaik06,2023-01-15T12:12:02Z,3,"Data Science Roadmap: https://www.youtube.com/watch?v=NWzbdWf7Yts Data Analyst Roadmap: https://www.youtube.com/watch?v=xSCeY4dg17Y",True
@kishorefoundationkf2826,2024-05-15T21:35:29Z,0,Plz provide lec on to make own api for live data updating,True
@MyFurz123,2024-05-08T23:12:02Z,0,im sorry but your english is rough,True
@sheershsaxena9357,2024-03-02T15:08:01Z,0,"what next, how to get this data in the form of pandas dataframe?",True
@dksjahnavi,2024-02-26T04:16:01Z,0,How to create and publish private apis on rapidapi,True
@codingwithsatyam,2023-12-10T08:32:28Z,1,"Can you make a video on ""how to deploy ml models on rapidapi using GitHub Actions""",True
@sawravyadav402,2023-08-03T17:35:10Z,1,Sir can we tranform this into dataset ?,True
@anitechie1671,2023-08-03T14:27:41Z,0,Sir can you please make a vis=deo on how can i convert this API  called data into a proper dataset and use it for my project.,True
@DaaniaKhalith,2023-06-05T09:20:04Z,0,"could you please do a end to end project in  ineuron,which is difficult for fresher,since it has so may steps..please",True
@philtoa334,2023-01-25T13:28:43Z,0,Thanks.,True
@sidhvlogs6111,2023-01-20T09:09:38Z,2,Sir could you please do a complete video on rapid api,True
@bd9249,2023-01-17T17:35:39Z,1,It would be helpful as how to manage provate API using Rapid API,True
@soumyakantarath4551,2023-01-17T05:26:25Z,2,"Thanks for the information, I will go through it . One quick questions is there continuous data /streaming data that I want to  use for my streaming project(Flink + kafka) paid also ok. Thanks in advance :)",True
@sandipansarkar9211,2023-01-16T21:12:45Z,0,"hello.I want to upload datasets in Kaggle from rapid api. Please do provide some guidance. In this way, I can earn too and this will also attract recruiters",True
@shraddharamteke8407,2023-01-16T10:01:21Z,1,Thank you sir for sharing this.. can you please share how to create private api?,True
@kaverichowdary6637,2023-01-16T08:58:40Z,1,You really assume tq so much for your efforts..  Please share some project for data analyst also,True
@MrRobo930,2023-01-16T02:55:58Z,5,Yes sir please update that Vedio also how to create our own API and one more question now a days everyone is looking for knowledge of Apache Spark in the field of data science how to deal with that situation,True
@karthikputchala2279,2023-01-15T22:26:12Z,0,Make a video on creating a private api,True
@prithwishchakraborty2286,2023-01-15T17:07:08Z,0,Yes sir plz show how to make money with it.TIA,True
@monishostwal8255,2023-01-15T15:19:00Z,1,can we get images data as well from rapidapi?,True
@gauravpaithane,2023-01-15T15:15:24Z,1,How to create rapid api and upload it into rapidapi?,True
@1murali5teja,2023-01-15T13:34:10Z,1,Thank you sir please provide the creating private api,True
@gourabguha3167,2023-01-15T13:20:12Z,8,"Thank you for the video Sir, it would be very helpful if you can show how can we create a private API using any data in Rapid API..",True
@raph8240,2023-01-15T12:43:36Z,0,Pls. teach on how to create the API and make money from it,True
@MamunKhan-px2vb,2023-01-15T12:41:57Z,0,Awesome,True
@vthenge,2023-01-15T12:25:24Z,0,How to create API,True
@saiprasanth3668,2023-01-15T12:10:35Z,0,Pls help us how create the API sir and explain us how to deploy,True
@pawanthakur3299,2023-01-15T12:09:43Z,0,Sir I am from btech second year I know languages c++  Html css javascript I want to learn ai and ml  Can you please suggest me form where I should start learning from your channel?,True
@rishiraj2548,2023-01-15T12:07:46Z,0,🙏👍👍,True
@Umariqbal-kp1nz,2023-01-15T12:06:14Z,0,Great sir,True
