author,updated_at,like_count,text,public
@greenfalcon6968,2020-11-10T17:18:50Z,3,"So the website has been updated and it no longer has the copy and paste script, and I really am struggling with the other ways so could you put the copy and paste script somewhere so we can copy and paste",True
@BlankStare7326,2017-12-24T16:32:07Z,0,"my subl2 doesnt go right to the package choices after install. I've repeated it a few times, and reopened sublime, nothing shows as choices for packages..",True
@hamidabdanan7795,2017-05-26T03:33:27Z,0,I get the following when I try to run my code.  C:\Users\abdanan\AppData\Local\Programs\Python\Python35-32\python.exe: can't find '__main__' module in '' [Finished in 0.3s],True
@lisiFR007,2017-04-08T18:45:39Z,0,predawn wont work,True
@anshitasharma2953,2017-02-25T16:25:42Z,0,Wow .. everything defined very clear and step by step !! very helpful. :),True
@sdfasdfsdfklsdfjklsdflsdkl377,2016-10-10T14:28:06Z,0,Monokai theme,True
@adrianovidoretto4429,2016-09-14T17:43:30Z,0,Thanks Corey!!!,True
@matt167698,2016-06-21T19:54:06Z,0,From a sublime newb... thanks so much for this!,True
@mathssoso4261,2016-06-06T17:41:12Z,0,"hi bro.i would like to use c programming language, should i install something ,how can i compil with sublime text is it in this video or on another one ?",True
@stevemullen7560,2015-12-29T13:23:10Z,0,this is great thanks! looks like i'll be moving over Sublime Text 2 from TextMate after seeing this..,True
@ralucab3555,2015-12-18T08:34:37Z,0,What do i need to have automatic comments once i close the tags/id/class?,True
@AhmedBalfaqih,2015-11-21T10:50:57Z,0,Another cool tutorial. Thank you.,True
@benedictuwazie9667,2015-10-14T10:25:40Z,0,"Nice tips bro, but I need to change the theme of my sublime text to white, do u know a pluggin I can use for that??",True
@evansu1000,2015-09-11T01:58:28Z,0,Really helpful. Many thanks,True
@johnramsey3724,2015-06-29T00:18:34Z,0,Great tutorial.  Most of what I will be using Sublime text for is editing of landing page templates for webpages and mobile usage.  Where can I find more info on those applications?,True
@IanLewisdorganickey,2015-06-28T01:05:44Z,0,thanks,True
@hjfhgjgjhg,2015-05-28T23:06:28Z,0,Great tutorial ... thumb up,True
@JeffersonMurphy84,2015-05-25T04:05:06Z,0,Amazing. Thank You.,True
@prabhakarbattula,2015-04-23T14:37:00Z,0,Thanks a ton.  Very useful.,True
@GusTheWolfgang,2015-02-28T08:53:53Z,0,"Corey Schafer How do I add programms to ST2????? Like, I want to add C# and HTML5 to iy, but I don't know how",True
@janagap3538,2014-10-26T05:50:18Z,0,"hey Corey, thanks a lot for this video. nice tutorial.",True
@RABWA333,2014-10-11T23:22:04Z,0,"thanks alot, very useful ",True
@christianpena8139,2014-10-05T22:16:38Z,1,"Hey I'm getting this error while starting my sublime text 2.0.2 app... I do not know what to do, any pointers?  Error trying to parse settings: No data in ~/Library/Application Support/Sublime Text 2/Packages/User/Python.sublime-settings:1:1",True
@Guitarsmasha,2014-08-12T11:21:00Z,0,"Thanks a lot, this was a great help.",True
