author,updated_at,like_count,text,public
@ahmaddayuob5507,2022-10-15T14:42:42Z,1,i made all steps but when i try to install requirements it gives couldnt find a version that satisfies the requirements numpy==1.13.3mkl,True
@surajpatil3247,2021-10-24T13:47:53Z,0,why i am getting this error -->cannot import name 'BatchNormalization' from 'keras.layers.normalization' (C:\Users\91800\anaconda3\lib\site-packages\keras\layers\normalization\__init__.py),True
@SpellboundHaven,2020-08-23T23:10:10Z,0,"Guys, Please do a video on the Story of a person without a degree become Data Scientist. I don't care whether it is a Successful one or not.",True
@sjatin1842,2020-08-23T07:58:39Z,0,"Awesome project sir 2. Thank you so much. I am getting an error of module 'tensorflow.python.framework.ops' has no attribute '_TensorLike', It is showing me some error line of 703 and it is from tensorflow_backend.py it seems, Please help me out",True
@raghavmehta2207,2020-08-22T14:02:59Z,0,"HELLO KRISH SIR, Sir i have bought the 299 plan, Can you please Suggest Me a Complete project till deployment for my MAJOR in final year",True
@sajidchoudhary1165,2020-08-22T09:14:54Z,0,"Sir Please makes video on Mathematics behind on  SVM Regression, AdaBoost Regression, Gradient Boost Classification",True
@mitsumehta600,2020-08-19T04:48:59Z,0,"Hello Sir.I came across your channel recently. I want to ask a question that there are many visulisation tools are now giving connection to jupyter notebooks ,python ,R. Can you tell how to build AI application within the visualization tool.",True
@akash_a_desai,2020-08-18T05:14:08Z,0,How to deploy this project on cloud ??? Not single video is available on YouTube to deploy webcam projects on cloud/ heroku . please make video sir,True
@arjyabasu1311,2020-08-18T04:21:33Z,0,Its awesome!!!,True
@amarnathdhinakaran9522,2020-08-17T18:49:37Z,1,"Hi Krish. I would like to train my own models without using any pre trained models or weights. So, could you pls assist me how to do?",True
@somalishant,2020-08-17T17:52:54Z,0,Great work krish,True
@amoghht5655,2020-08-17T17:10:07Z,0,"Sir if we do it using cpu ,will it work ??? I mean do we get satisfactory speed in predicting age and gender ?????",True
@shivangsharma1,2020-08-17T15:22:54Z,1,Great project sir 👍,True
