author,updated_at,like_count,text,public
@KenJee_ds,2020-07-28T21:23:04Z,2,"Listen to Ken's Nearest Neighbors on all the main podcast platforms!  On Apple Podcasts: https://podcasts.apple.com/us/podcast/kens-nearest-neighbors/id1538368692 (Please rate if you enjoy it!) On Spotify: https://open.spotify.com/show/7fJsuxiZl4TS1hqPUmDFbl On Google: https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5idXp6c3Byb3V0LmNvbS8xNDMwMDQxLnJzcw?sa=X&ved=0CAMQ4aUDahcKEwjQ2bGBhfbsAhUAAAAAHQAAAAAQAQ On YouTube: https://www.youtube.com/channel/UCpEJMMRoTIHJ8vG8q_EwqCg (Trying to get to 1k so I can start tagging YouTube Guests!)  It was awesome speaking with Danny this week! Learn more about him on his YouTube: https://www.youtube.com/DannyMa and his LInkedin: https://www.linkedin.com/in/dannykcma/ Community: https://signup.datawithdanny.com/youtube-ken",True
@felipeoyarce8288,2020-09-14T02:45:59Z,2,Wonderful conversation :) Danny showed first as very kind and tender person and then showed as a wise sensei master. This conversation gave me a lot of insights for using social media. Thanks for the content!,True
@machinelearningid3931,2020-07-31T12:54:12Z,1,"Thanks, a lot of insight from this",True
@muhammadhashir7949,2020-07-31T06:50:48Z,1,sir is competitive programming and hackathons necessary for data science,True
@larigiba,2020-07-30T19:08:48Z,1,"Having a mentor seems like a very cool idea, just having someone you can connect with and learn from while of course making a great new friend.  I think it can be very difficult to find a mentor, especially if you're starting out or data science is not really as established in your country. I look forward to meeting more awesome people on my way and I am super grateful for everyone I have met so far.  These longer videos are really in-depth and I quite enjoy that!",True
@srikanthrachakulla5488,2020-07-30T17:29:43Z,1,"Hi Ken... I am looking for mentorship in ml ops side activities like production model deployment pipeline, monitoring, audit, model auto retraining etc... Plz guide pathway or may be can i reach out to Dan...",True
@harishkumar-zx6vg,2020-07-30T14:41:44Z,1,Hey Ken! is it really important to complete all micro courses like intermediate machine learning and like that is kaggle to do our first project,True
@MarshallDTeach-yr2ig,2020-07-30T11:40:53Z,0,How long does it take to become data scientist?,True
@fahadreda3060,2020-07-30T07:51:50Z,2,"Thanks for the video Ken, and Congratulations on your course with 365 , wish you more success, keep up the good work",True
@neemamv,2020-07-30T06:57:03Z,1,Wow wonderful video!! I am a data analytics professional trying to set pitch into data science role and working with data science teams within my current organization is what I am trying to do as well. Hope I succeed in that. Thanks for this video 😃,True
@rachcastellino,2020-07-30T05:32:53Z,1,This was a great video Ken!,True
@urshema,2020-07-30T03:56:02Z,1,I am switching into data science after 13 years of experience . I was an IT Quality analyst for 8 years but I am not into IT for the past 5 years. I am planning to join full time Masters in Data Science in UK and switch my career. Will this be a good idea? Some universities focus on statistics and deep learning more and some are focusing on computer courses. Which one will be better to choose?,True
@nan4061,2020-07-30T03:25:41Z,1,Thanks for sharing! Hearing someone else made it the way I'm trying to get through it really helped me to know I'm on the right path.,True
@ImportData1,2020-07-30T02:04:15Z,8,What's cool about the data science world is that everyone has different backgrounds and stories. I Really enjoyed the podcast and I'm looking forward to the future ones as well!,True
@marcelrochanascimento7384,2020-07-30T01:05:05Z,1,"Greetings from Brazil, I am migrating to the field and your channel has been helping me a lot !",True
@MarshallDTeach-yr2ig,2020-07-29T22:32:10Z,2,Gogoogoggo,True
