author,updated_at,like_count,text,public
@balochx,2021-09-28T04:03:50Z,0,"Hey Ken, please recommend me a budget laptop configuration for data science as a starter. my laptop is freezing and taking a lot of time to process data. Thank you!!!  and your content is AMAZING!!",True
@PhiNguyen-iz9go,2021-09-12T13:33:11Z,1,Sir I'm doing just like you in the command data.type but it returns me a error saying: AttributeError: 'DataFrame' object has no attribute 'type'. Could you please explain why this happen? Thank you in advance.,True
@123XanderS,2021-09-08T08:54:17Z,1,Great content! Your videos helps me with studying a lot.,True
@piyushthakur2386,2021-04-08T07:08:14Z,1,code along. :),True
@piyushzope10,2021-03-28T19:58:24Z,3,"Thank you Ken for the video this is really helpful and it works really cool... Excited to go ahead and explore more...  Just a quick update-   If your ctrl + alt is not working in spyder then use F9 or edit your settings. You can refer to this video- https://youtu.be/8r2gMyt8BS8   Also during plotting graphs if it shows this- Figures now render in the Plots pane by default. To make them also appear inline in the Console, uncheck ""Mute Inline Plotting"" under the Plots pane options menu.   Refer to this video- https://youtu.be/MNkJT-5g8fU",True
@a_vickyp8360,2021-02-02T17:15:18Z,1,"#29: First time using Spyder - I always use Jupyter - a great time to learn something new, was fun 🤓 I do like to see the variables on one side of the screen & was like a crash course on pandas 🐼 and spyder! #66daysofdata",True
@tahirmanel1455,2020-09-03T17:52:34Z,1,"I started learning Python language four days ago, I found your videos by coincidence on you tube. I'm really enjoying the content you're offering us ... thanks a lot! and keep going",True
@kelline1979,2020-08-23T02:14:09Z,0,"great intro exploration, easy for first timers, nice recap for beginners. thanks",True
@jideraheem3813,2020-08-22T15:25:05Z,0,"Hi Ken. I hope you are well. Thank you for the great deal of work you are doing to help here. I was trying to replicate this video on my own on Spyder.  When I tried ""7"" and ""x= 7"". I got  ""runcell(0, 'C:/Users/jider/untitled0.py')"" in my console. What would you advise I do to get through this please",True
@nardsmath3511,2020-08-10T22:16:22Z,1,"Great video, really helping me with my mini project :)",True
@suhelalatekar3410,2020-06-28T08:39:37Z,1,"Ken would really appreciate  if you put some videos of different alogirthms such as logistic reg,decision tree,random forest,etc",True
@BarneyMyBoy,2020-06-21T13:47:26Z,1,"Hi Ken, i am beginner here, how to display the methods and properties list of pd. like you did at 6:30 in the video?",True
@kohxiangming,2020-06-08T15:12:43Z,2,"Great video for newbie like myself. Finally able to relate the self-help python course with the actual production on a dataset.  Trying to brush up more exploration, although had some difficulty when hit the 'Graph' section.   Unable to form histogram as it depends on the data type (seems like data type object is not possible) or maybe need to import 'matplotlib' or 'seaborn' (knowing the difference after Googling it)",True
@nesivapama,2020-05-26T21:28:37Z,1,"Ken. Thank you so much for these videos.  I have an issue, when plotting the hist, the x axis takes from year 0 to 2020. How can I fix that?",True
@furqanhaq3121,2020-04-19T12:38:12Z,7,"Hello Ken, You are doing great job. I just want to suggest you 2 things. (1) - Zoom on the coding part, bcuz its very hard to read code when you are on mobile. (2) - Use jupyter notebook instead of this... As the interface is very clear and friendly...",True
@alexisjaymes4179,2020-04-05T00:38:13Z,1,Thanks man. I really aprreciate the video. Am havign error with matplotlib . I have it installed already but it not showing the graph. and saying no module named matplotlib.pyplot. please help,True
@mariorashad1859,2020-03-16T14:49:38Z,3,"Hello Ken!   I'm a beginner and need some help. Whenever I run code, on my ""Console 1/A"" window on the bottom right of the Spyder IDE it doesn't show the output of the code.   Instead it spits out:  runcell(0, 'file path location of current file code is being type in')    For example, if I type in a 7 like you did and try to run it . this is what I get for the output on the console.   ln [2]: runcell(0, 'C:/Users/James/.spyder-py3/temp.py')   How do I fix this so I can see the output of my code ? This is mainly annoying because I can't even see the first few rows of the dataframe when you called  .head() because this is the output I keep getting, help :(",True
@Lucas-SoJesusSalva,2020-01-30T20:18:02Z,0,"Ken, I'm struggling (beginner) with the first lines of code. How do I make the lines appear in the Console 1/A and execute them?",True
@Lucas-SoJesusSalva,2020-01-29T14:55:47Z,1,"Your channel is what I've been looking for at a long time, really appreciate these Fundamentals series",True
@toshb1384,2019-12-17T03:29:49Z,0,why not use jupyter lab? this looks painful!,True
@patriotsecular6631,2019-12-15T19:00:10Z,0,nice and simple explanation.. thanks,True
@simonstenroos9805,2019-07-17T08:52:30Z,10,"Hey man, just wanted to let you know that these are greatly appreciated.",True
@kowsalya1291,2019-07-17T03:54:06Z,0,Hi I am doing MCA now I am interested in data science I am think to do courses in data science . U can plz tell some tips,True
@GusMD84,2019-07-10T10:37:39Z,0,This is awesome! So helpful,True
