author,updated_at,like_count,text,public
@ishasingh9702,2024-03-21T14:35:12Z,18,Krish ...i have seen lot of videos of urs i transitioned into data analytics as a data analyst but now i want to be a data engineer....do you think it would be a good career choice. I dont have an IT background. can you take up this question? I have 2.5 years of experience,True
@vikramkumar-xo2xd,2024-03-26T11:51:52Z,0,Nice it's very Motivational Even I am inspired by you,True
@mahdiaspanani8004,2024-03-25T11:24:13Z,0,"You are not just a teacher, but an Angel❤",True
@joybandopadhyay2557,2024-03-23T12:35:28Z,0,"Hey krish, big fan of urs i have 10 years of teaching experience and 1.3 yrs experience in industry, i recently shifted to bangalore and doing phd (renewable energy optimization through novel optimization soft computing techniques) n plus doing a data science masters also from an institute as i have decided to shift into industry, i have some publications also, is it a good choice? Since in data science domain i am a fresher",True
@gtalpc59,2024-03-23T08:39:01Z,0,Hi krish. Let me know how can we incorporate learning data science while working at the same time. Finding it difficult to keep up with AI being a full time working mom.,True
@reemaaggarwal2497,2024-03-22T16:56:49Z,0,Sir mein 9 yr banking exp hu to agar me data analyst k liye prepare karungi to kya mujhe fresher jana hoga,True
@ashishmehra5143,2024-03-22T09:45:39Z,0,Nothing is easy but one has to make a choice. There has to be a plan-B. Experienced data scientists are finding it hard to switch jobs and no one is hiring freshers. YouTubers and cheap institutes like Coding Invaders are selling the data science courses and making buckets of money abusing the dreams of freshers and professionals who want to switch to a better job.,True
@rdprasad2225,2024-03-22T04:30:37Z,0,Hi Krish I am 50 + yrs old and have around 18 plus yrs of Total IT experience.... can I hope for Data Science career going forward or age is going to be restriction in Indian IT market.... please advise.... thank you,True
@rahul2506,2024-03-22T03:50:42Z,0,"Krish Sir, You're a just few miles away for 1 M subscriber 👏",True
@vetrivelr5708,2024-03-22T01:29:52Z,0,Thank you Krish❤  I have started DS 4 years back. Am non tech background with 13 Years of experience. I learned python so far with some automation projects in my company.   Due to inconsistency was not able to achieve DS. Also I don't know any maths concepts. However I didn't quit. Is that still possible to achieve it? As lots of things eveloved now.   Because I don't know how much in an area should learn. Like in maths and statistics how's much I should learn. Especially from ML I can't move further or start either. That is where I am still facing issue. I am still fighting for it  Can you please guide me if this message reaches you.,True
@shreemapattanaik468,2024-03-21T18:35:47Z,1,Sir I have 9 years experience in financial reporting profile currently I have done the data analytics course & I have completed my internship projects so now I have started searching for job in my resume I have shown as it it 9 years in finance profile & currently transitioning my career into DA. So when I am getting call from the HR they are asking me relevant experience about DA & I am telling them like previously  into finance now transitioning into DA but they are not agreeing I don't want to go as a fresher as I have experience could you please help me in this case how to convince them your guidance will be helpful for me🙏,True
