author,updated_at,like_count,text,public
@mattbilliot7627,2023-10-21T23:09:46Z,0,Great video! I have a question. What are the courses I should take on free code camp to become a data analyst? Thank you and have a great day!,True
@kitakamidesign3186,2023-01-09T11:01:02Z,0,"Hi, as a someone who just wanted to start learning python, which one should I go through first?",True
@nadirsahak1001,2022-11-20T17:53:43Z,0,Hi Alex thank you very for sharing all the information. Do you have any class teaching data analysis? I’m following you and very interested to start a class with you. Please let me know. Best,True
@soumyajitbiswas8932,2022-10-29T14:36:31Z,0,Thank you so much sir lots of love to you,True
@romanvasiura6705,2022-08-31T20:40:04Z,0,Thank you for this video.,True
@MohamedAhmed-iy7du,2022-06-14T15:07:27Z,0,Thanks,True
@madakambauwa6048,2022-03-03T11:06:16Z,0,Appreciate this video Alex. Starting my journey on becoming a data analyst,True
@luisenriquehernandezlezama7934,2022-02-16T06:21:18Z,0,"If I finish these courses, could I find an entry-level job?",True
@kiranvrao9714,2021-08-05T15:01:19Z,0,Thanks a lot for sharing! This has definitely saved my time. You are a savior,True
@kalmkrew,2021-07-27T02:22:00Z,0,I have an issue where idk what to start with because I don't have a course outline. So should I just go SQL>tableau>python/r?,True
@JJ_TheGreat,2021-06-28T03:14:11Z,0,"4:20 You can use their free videos, but how much time are you going to have for that before your trial expires?",True
@JJ_TheGreat,2021-06-28T03:12:29Z,0,"4:01 Sorry Alex, but I am going to have to disagree with you here. Power BI has Power BI Desktop, which is free. You can fool around with it, along with Power Query - a powerful (pun intended) tool to manipulate: clean/wrangle your data before creating your visualizations. Tableau, on the other hand, costs to get into. Yes, you can get a 7-day trial, but realistically, how many Tableau courses can you finish in 1 week?  Therefore, I find Power BI to be more accessible to get into.",True
@michaelsabatino8763,2021-05-29T18:15:11Z,0,"Alex, or anyone else. I made a big mistake on my application. I was looking at my documents I had when I was applying for a data analyst position. I graduated with a bachelors degree in general studies, but decided to go back for my computer science degree and my masters in data analytics.  So the thing is I used the computer science program when I should have used the degree I was actually conferred. This honestly was a mistake. I have the skills to become DA and my on boarding for the job is next Monday. Do you think the HR team will understand the mistake or will they simply just fire me. I really don’t know how to correct the error.",True
@ry7031,2021-04-23T01:12:43Z,1,thank you 🙏🏻 🤍,True
@learningtimewithjoy,2021-04-20T04:30:44Z,0,Thank you for the wonderful videos.,True
@jdixon63,2021-04-11T13:20:04Z,29,"I also give my highest recommendation to the free Khan Academy ""Statistics & Probability"" or ""AP-Statistics"" curriculum.  (Fyi, there's substantial overlap of topics between the two.)  These are incredible, and every data analyst/scientist needs a solid statistics foundation.",True
@aronichakraborty5192,2021-04-04T12:56:29Z,2,What about excel? How can I learn excel for data analyst???,True
@estebangodoy773,2021-04-01T20:33:23Z,2,The one video I needed in 2021,True
@jeremywheeler8417,2021-02-23T21:20:24Z,1,"I'm only watching this because I saw an advertisement about taking 6 months' worth of schooling to learn data analytics. Unfortunately the price tag is 10,000 bucks.... I like free better.",True
@financialed1847,2021-02-16T14:58:50Z,2,Which is more popular/ used in the DA world? Mysql or Sql server? Which do you suggest learning first ?,True
@amitca22,2021-02-03T05:50:47Z,0,new channel where i can learn new version.,True
@amitca22,2021-02-03T05:50:01Z,0,please suggest new classes of sql,True
@rashmidubey495,2020-12-20T05:22:52Z,1,thankyou ....love from India..,True
@natealvarado7631,2020-12-08T17:33:58Z,0,Hey Alex how are you ? Hey can you tell me or someone what is the difference between taking a professional certification from Harvard and IBM ? It’s just that I want to take a Data Science certificate but in Harvard is expensive for me! And IBM offered same but cheaper is there something apart the prestigious? Or what should I do? Help me please with this I’ll appreciate it.,True
@sanjaymahapatra9685,2020-12-03T04:59:07Z,1,Hey Alex.. Thanks for this information.  Can you please guide which is the best course for SAP certification?,True
@Indy_rawr,2020-11-09T13:29:00Z,1,"I always thought because w3 references world wide web it was pronounced as ""w three schools""",True
@BonyonQveen,2020-10-24T15:01:30Z,2,Could you use the projects you do on Khan Academy in your portfolio? Just curious,True
@jaamiurahman1601,2020-10-04T23:43:13Z,2,Can one become a great Data  Analyst by using ONLY free resources?,True
@nickpolidura8105,2020-09-30T20:31:42Z,1,Saved thank you kindly,True
@saleemmohammad8986,2020-09-27T11:09:05Z,1,"Dear Sir,  Firstly, Thank you so much for your YouTube videos. Would you please let us know best data scientist course online from scratch. Thank you",True
@Cevicheconcoca,2020-08-30T04:40:00Z,1,"Hi Alex, thank you so much for your videos. I recently made the decision to change my career into a Data analyst. I enjoyed your video on how you went from $20k to $100k. It seems very doable, keep up the great content!",True
@josephc28,2020-08-25T07:29:43Z,15,"Would you recommend learning SQL and Python at the same time, or is it better to concentrate on one or the other?",True
@Genojurzedd,2020-08-23T07:26:40Z,2,"Hi, do you have any recommended books for Python for beginner?",True
@Genojurzedd,2020-08-23T07:26:33Z,1,"Hi, do you have any recommended books for Python for beginner?",True
@ezel909,2020-08-12T01:39:40Z,3,"Hi Alex. First, i want to thank you for your videos. I came across your channel a few days ago, and instantly subscribed. I wanted to ask about the your other video 'Best online courses for data analyst' you mention Tableau in both videos. Would you suggest the Coursera course offered by UC Davis or the free course in this video? Thank you in advance and great work!",True
@MrLionfox,2020-08-07T20:22:06Z,3,Is Power BI recommended for Data Analysis because it appears more affordable when compared with Tableau?,True
@bernardchongo2860,2020-07-17T12:44:09Z,2,thanks for the information. Where can i go to know what to start with like a syllabus? I would like to start studying.,True
@explorides,2020-07-10T06:08:44Z,1,"I have done intro to ML, statistics for data science courses which are theoretical, but done titanic surival prediction, iris data classification, bank customer churn prediction, bigmart sales prediction, projects These projects seems like very basic. Can I go to interview with this work??",True
@RedTiger27891,2020-07-08T02:29:54Z,2,what combo do u think would be better to learn simultaneously..SQL+Tableau  or SQL+Python ?   I have some experience with SQL and programming took a couple college classes for PHP and Visual basic.,True
@charlygsr1,2020-06-30T19:40:24Z,1,Thank you Alex very useful.,True
@wh.n,2020-06-25T11:56:42Z,6,"Hi Alex, i'm so glad I found your videos to feel better and be more motivated, especially your how-did-you-switch-career video. I have a question about that if you know and able to help, I work in a lab that test samples for hospitals and health centers. Do you know what options I have if I'm looking for a related job that works with data, like you worked in health care and then later your data jobs are related to what you did so you made a connection there. I just don't know how to look for something like that for me.",True
