author,updated_at,like_count,text,public
@krishnaik06,2023-12-19T16:02:31Z,24,Just trying new things...I hope you like it :),True
@salimsikder2364,2024-05-10T13:59:32Z,0,I dont know how to thank you Sir! You save me every single time!!!,True
@Arkantosi,2024-04-19T16:38:26Z,0,So assume I have 30 000 customer reviews for one product. How can I ask the LLM to summarize all the reviews into one master review?,True
@vishnujangid7811,2024-04-04T08:39:32Z,0,"Hi Krish Sir,  can we do some question answer based on a repository as well, like i gave the full github repo and asking the question like what is the data flow, how many flow present in this repository. what is the agenda of the repo, etc... is yes how we can do it any guidance ?",True
@heetha4281,2024-03-20T14:26:04Z,0,"Hi Krish, I have doubts about Refine chain type if we are combining chunks for every chunk for the last chunk it will get the whole documentation again right then why does the need to divide the document into chunks",True
@vagheeshmk3156,2024-03-18T16:55:20Z,0,Krish and his tutorials rocking as always. And Krish's makeover is an added bonus,True
@k.k.gayansanjeewa7432,2024-03-17T08:38:45Z,0,"you pretty much go though the langchain  summarize document page  . but have to admit , this is faster and on to the point . So Thank you!",True
@parmoksha,2024-03-16T08:26:53Z,1,"Krish bhai Mote ho gaye ho.  AI , ML , NLP sab chalta rahega. health is more important",True
@bhavinparmar4991,2024-03-05T13:44:12Z,2,"This video is as usual very informative. Regarding the setup - I vote for the old setup. In this new setup, around 30%-40% screen is getting covered by your movement and we are not able to see the screen entirely which was not the case in earlier setup. If you want to adept to this new setup then keep some space between the code screen and yourself.",True
@user-vk7mw4po4n,2024-02-26T06:12:41Z,0,The token size is 8192 precisely,True
@ethanfrost2708,2024-02-19T23:37:16Z,0,thank you!,True
@ItsCloudHub,2024-02-06T02:50:32Z,0,Can we do analysis of incident dump and find out opportunities for improvements,True
@neverfailify,2024-01-12T08:44:02Z,0,Is it possible  to control the lengh of the summary? like summarize in about 200 words or summarize in 50 words,True
@chinnibngrm272,2023-12-26T17:13:15Z,0,Waiting for End To End project with good UI sir....,True
@sujithreddym5166,2023-12-21T21:08:26Z,3,"You were wrong about Refine method It doesn't use chunk 1, 12, 123, 1234.n It takes the summary of the first chunk and combines with the next chunk saying ""till now this is the summary, can we refine it by this additional text""",True
@Coff03,2023-12-21T17:12:22Z,0,How to increase the length of summary in StuffDocumentChain Text summarization,True
@arbindchoubey9698,2023-12-20T18:28:48Z,0,how did you validate the result? What metric did you use?,True
@sathyag2608,2023-12-20T14:19:34Z,0,Hi can you share gen ai playlist,True
@user-oi6rs3fp2b,2023-12-20T09:40:55Z,0,"except ImportError: --> 302             raise ImportError(     303                 ""Could not import openai python package. ""     304                 ""Please install it with `pip install openai`."" getting this error sir",True
@izainonline,2023-12-20T09:04:44Z,0,"Great video just a suggestion sir whatever you mention to go to your referred video,plz include that link in your detail part. Thanks",True
@ShahZ,2023-12-20T01:08:48Z,0,"Great stuff Krish, love the new setup.  Btw, can you do a text summarization where the conversation is taking place between a customer and support agent.",True
@avixek,2023-12-19T20:30:35Z,0,I liked your old setup earlier where there was the visibility of the code and we can get the walk through.. this is just talking so I prefer the previous setup even if it was just copy paste from any different notebook. The previous setup would allow us to see where the code could go wrong. This seems more like a lecture format which everyone is doing. TLDR; liked your old setup. Also you look uncomfortable!!,True
@Andrewtopg786,2023-12-19T20:23:59Z,0,"Sir, how can we save whole chat sessions using langchain and make it appear just like chatgpt chat history>",True
@kartik_exe_,2023-12-19T17:26:53Z,0,Sir its a very informative video but do make sure to hide your api key aur maybe after the video delete that ai api key <3,True
@The845548,2023-12-19T17:17:19Z,0,"Great video. Thankyou for sharing. Btw, I liked yourearlier setup more.",True
@faheemkhan9786,2023-12-19T17:17:14Z,0,Very Good Setup . I am waiting for real business dataset Project,True
@zahirajahannawabjan6185,2023-12-19T17:08:59Z,0,Very useful and nice sir,True
@manjitbaishya3996,2023-12-19T16:57:03Z,0,Love this setup sir! Amazing🔥🔥🔥🔥🔥🔥🔥🔥,True
@arslanabid2245,2023-12-19T16:16:38Z,1,omg! love the setup,True
@priyabratashee4975,2023-12-19T16:06:37Z,1,Very nice new one but your old setup will forever gold ❤ loved that,True
@adriandominiquearante3197,2023-12-19T15:49:00Z,4,I've read many comments from the internet that langchain is not a production grade framework.  Meaning it is not advisable to use langchain in the production. Is it true Krish??,True
@rishiraj2548,2023-12-19T15:34:14Z,1,Namaste,True
@CodeWonders_,2023-12-19T15:26:38Z,3,Do more video like this,True
@SumanAmara,2023-12-19T15:26:22Z,1,nice enviroment like stack market back ground screen graph 🙂,True
@palashh9,2023-12-19T15:25:41Z,3,Loved this new setup feel more grasping,True
@user-tb9co5ll2i,2023-12-19T15:21:25Z,2,Sir please teach azure with ML.,True
@abinayakamaraj2697,2023-12-19T15:10:05Z,1,Sir please teach block chain,True
@vitalikbutarin6580,2023-12-19T15:08:40Z,4,I think the old view was good because here things are getting covered behind your movement,True
@drjodyannjones,2023-12-19T15:04:38Z,2,love the new video format Krish!,True
