author,updated_at,like_count,text,public
@siddharthsvnit,2022-10-27T03:05:59Z,0,any suggestions for reducing false positives other than better data set ?,True
@ashithshyam1842,2022-02-07T00:17:14Z,0,How does cascade fare against deep learning models like YOLO or the R-CNNs?,True
@ashithshyam1842,2022-02-07T00:16:21Z,0,"Thank you very much for the video. Quite new to this and just wondering if I want to detect person, bike and car, should I do training separately for each of these to generate the xml files or just add the three types of images in the positive folder?",True
@jadavpur4,2020-12-08T04:26:04Z,0,"Hi, From a video of flowing water, how can we extract images of some time intervals say at 5 seconds intervals?  Please help me to do the study.",True
@nourmessikh8783,2020-08-02T21:52:04Z,0,Hello Can you help me please ? For  Haw tout segment image medical on python with algorithm K-MEANS,True
@Joshua-kr5fq,2020-04-24T09:53:03Z,0,Great series thanks a lot,True
@coop4476,2019-12-23T22:00:08Z,0,"He did this whole tutorial in one day, didn't he",True
@vidumini23,2019-12-20T04:41:29Z,0,Really appreciate your every effort. It's really helpful. Thank you.,True
@sandeeptripathi4352,2019-12-13T01:16:10Z,0,"Hi, I tried for eye to do lable instead of rectangle. But it is not showing any text:         font = cv2.FONT_HERSHEY_SIMPLEX         cv2.putText(img,'Eye',(x-w,y-h), font, 0.5, (11,255,255), 2, cv2.LINE_AA)",True
@vishaldhayalan2974,2019-12-01T13:22:08Z,0,"I've trained a detector and it works great! I would like to visualise how the haar features are being applied to the image, so I tried using opencv_visualisation but the results were nothing like the ones shown here: https://www.youtube.com/watch?v=hPCTwxF0qf4 or in the opencv docs (i.e im not getting any bounding rectangles during visualisation). How should I go about doing this?",True
@nareshsawale8669,2019-11-10T07:54:55Z,0,"I am getting an error at URL.   unknown url type: '' }catch(e){_._DumpException(e)} unknown url type: '}catch(e){_._DumpException(e)}' })(this.gbar_); unknown url type: '})(this.gbar_);' // Google Inc. unknown url type: '// Google Inc.' </script></body></html> unknown url type: '/script></body></html'   please may I know that what can be its solution  I will send url link of my folder https://drive.google.com/drive/folders/11XfAPOgFv7qJbdUdPpHKy8pt6aItGvyg?usp=sharing",True
@disraeli8032,2019-08-29T06:29:27Z,0,"Hello everyone! Does anybody know an alternative site of ""Image-Net""? I need to create my own cascade filter and I found this tutorial really useful. However, when I go for adress image-net.org it gives me ""Error 404 - server under maintenance"". I would be very happy if you could find a solution :)",True
@perfectbohara4075,2019-08-14T05:04:34Z,0,Very good job,True
@aliffdanial7924,2019-08-02T14:10:51Z,0,"can anyone help me? i follow this tutorial exactly but at the end,  it couldnt detect my watch. I follow all the steps exactly but i use my watch as a positive picture. There are no errors while im training it but it cannot detect my watch. Someone pls help mee",True
@arefazizpour9217,2019-06-27T17:21:51Z,1,"Thanks for the tutorial, it was really helpful. I ran this entire process on Windows 10 just like you did on Linux server and I didn't encounter any problems btw.",True
@priyankthakkar7849,2019-05-30T07:45:36Z,0,one of the best tutorial i have  attain.......now next part i want to learn is to recognize the person from the face......just a suggestions thank you so much again.,True
@pavankale8034,2019-05-26T08:06:59Z,4,Thanks a lot for this awesome tutorial series!!! Really Really helpful!,True
@YOUUYA-,2019-03-20T09:09:33Z,0,image는 어떻게 해요?,True
@abhishekdhandare1775,2019-02-15T14:44:24Z,0,I've created haar cascade file for detection of crop but how we will get to know the accuracy of detected image? please help ASAP :),True
@idioticking4249,2019-02-12T11:36:36Z,0,will it be able to identify distorted images of watches?,True
@amanjain8861,2019-02-10T18:06:34Z,0,"@sentdex you have added wrong video in this step, whis is last step video, as per link https://pythonprogramming.net/haar-cascade-object-detection-python-opencv-tutorial/ pls correct the video in last-step-1",True
@lancekraakman1427,2019-02-08T04:11:12Z,1,Thanks for the tutorial series! worked better than i expected for detecting a leaf of a plant! awesome.,True
@kumareshrajendiran5697,2019-01-28T15:06:35Z,0,Hi sentdex How to use winscp in AWS for Haar cascade Generation please let me Know bro,True
@starzar7297,2019-01-22T04:44:22Z,0,"Really informative, how could OpenCV-face detection could be used for windows 10 login?",True
@samshanmukh,2018-12-28T12:30:19Z,2,Thanks alot buddy for this tutorial. I trained a model that detects heart symbol.,True
@Treedboxcom,2018-12-08T02:50:06Z,0,"Thank you again, Harrison Kinsley (sentdex), I did all the exercises and indeed did each one with image and video from a webcam. Soon I will publish in my GitHub all my exercises with a link to your OpenCV Python Tutorial. I was playing with OpenCV for some time but your tutorial clarifies many things for me. Keep going brother, you rule python!",True
@mr.roboter,2018-11-26T02:21:07Z,0,Hello Mr sendex can I get some text of windows program using opencv in specific area?,True
@MultiToblo,2018-11-20T19:30:27Z,0,"Dear Sentedex, What if I would like to do resizable rectangle for my object,  so it will recognize the object from far with decreased rectangle?",True
@abulbasar4179,2018-11-01T10:33:08Z,0,"Hello sir, can you make a video tutorial on image classification using SVM, actually I am not getting any idea from anywhere, and my last hope is you. I will be very thankful if you help me out, Thank You.",True
@md.farhanhossan7193,2018-10-27T19:22:37Z,0,plz can you give me the watch xml file ..,True
@ragabmagdy2570,2018-10-21T19:18:24Z,0,Thanks for all this .,True
@TheJaniable,2018-10-20T21:02:18Z,0,Is it possible to GPU accelerate this thing?,True
@vonmutinda4888,2018-10-08T07:21:26Z,0,Thanks for all this .,True
@xcolaco999,2018-09-09T17:03:31Z,0,Thank you.,True
@shoebmoin10,2018-09-05T18:52:46Z,2,"Your channel is an Ocean of knowledge no matter which playlist I go to, I just wanna learn everything in it. I have learned a lot from you, I can't thank you enough for what you have done for students like me and now its time for me to give it back to the community so I am helping my classmates and friends to learn machine learning, computer vision and will keep doing it.",True
@ricardo130695,2018-08-12T08:18:48Z,0,"Great job, thank you so much :D",True
@Aegilops,2018-08-07T06:22:48Z,0,"Great series Sentdex and much appreciated.  I wonder if you could comment on some use cases where colour is an important aspect of feature recognition (e.g. identifying rust on metal).  Your example Haar cascade with your watch converts both positive and negative images to greyscale, but am wondering if you could create a classifier that retains colour as an identifying characteristic?",True
