author,updated_at,like_count,text,public
@mohammedfahadkhan,2024-05-30T01:44:19Z,0,Sir w dash and w one are same?,True
@rafipatel5020,2024-05-15T21:14:43Z,0,"You are a blessing,  I usually come here, when my highly talented professors in London, could not make me understand this simply.",True
@usmanyousaaf,2024-01-21T10:05:43Z,0,Their is little bit confusion in w-1 and w dash,True
@katyhessni,2024-01-14T16:19:06Z,0,Thanks,True
@deepknowledge2505,2024-01-10T19:09:52Z,0,"Backprobagation with example, very simple  https://youtu.be/EQPjZwyBa1g",True
@dipayanghosh1159,2024-01-10T04:46:45Z,0,Wrong concept,True
@aj_actuarial_ca,2023-10-28T11:00:36Z,0,Thank you so much for the very wonderful explanation!! It is only now that I understood.,True
@AbrarKh1,2023-09-21T23:47:38Z,0,"Dude you're love, the way you made it so simple. Respect",True
@xXmayank.kumarXx,2023-09-17T17:42:30Z,0,why w1 and w' are different?,True
@manujkumarjoshi9342,2023-09-16T07:28:33Z,0,I love the energy,True
@pratiksha5748,2023-07-12T12:37:54Z,0,so basically the number of neurons in RNN is always the same right????,True
@shreya6107,2023-03-21T12:00:10Z,0,very detailed explanation! Awesome,True
@sandhyaranidash2429,2023-02-05T16:59:52Z,0,"This is the best explanation for how RNN architecture works. I have read multiple blogs and watched animations, but I was not clear on how the feedback on the RNN block works. Thank you so much for such a passionate presentation.",True
@bhanukarthik1803,2023-01-10T10:04:43Z,0,Why is Loss calculated as yhat-y instead of y-yhat?,True
@sanyuktabaluni4608,2022-12-13T04:30:02Z,0,"""Pretty much simple""",True
@adelmahfooz4041,2022-10-08T17:30:17Z,1,I feel so motivated when watching his videos. God Bless you and you have huge respect Sir.,True
@Andrew-fz8fb,2022-09-10T19:27:15Z,0,Thanks a lot for the video. Looking forward to seeing “logic behind CRNN for text recognition” video someday :),True
@jayasreechaganti9382,2022-08-26T16:54:08Z,0,Sir can you do a video of Rnn example by giving numerical values,True
@noumanahmad562,2022-05-31T05:44:23Z,0,"Why we are using softmax activation function, because it is use in multiclass classification. Should we use sigmoid activation function.",True
@omi_naik,2022-05-19T07:21:52Z,0,07:58 sigmoid at the last layer,True
@durrotunnashihin5480,2022-04-28T10:55:45Z,1,"Question please, why do you differently pronounce the W1 of the hidden state? Do they have different number? You call W1 (W one) at O1 & O3, but you call W1(W dash)  at O2",True
@tawfikborgi1339,2022-04-19T03:21:49Z,0,Merci !,True
@i_amanrajput,2022-03-26T16:59:32Z,0,Awesome,True
@jackshaak,2022-03-15T07:10:03Z,0,"Thanks for this great video, Krish. You''re awesome! I've liked and subscribed.",True
