author,updated_at,like_count,text,public
@rgoudie,2022-05-10T16:49:12Z,2,I am so disappointed that Quantopian closed up shop a few years ago.,True
@yifanzhang8430,2021-08-10T09:36:23Z,1,"Hi @sentdex, do you plan to do the series for other platforms?",True
@toddroloff265,2021-03-05T20:41:31Z,3,I must say the passion you show for this subject is motivating me to learn more about programming ie. python. I have learned so much from your tutorials it amazes me. I certainly appreciatte the time and effort you put in to further educate us beginners  and look forward to continued learning. Keep up the good work...,True
@withpikachu2402,2021-02-15T09:58:00Z,1,What happened with them? Stock market was rocking,True
@meomkarchavan,2021-01-31T16:27:23Z,4,So Quantopian was shut down in 2020 :(,True
@smaackythefrog5437,2021-01-27T03:37:26Z,1,Hi sentdex. Really enjoying your Python tutorials on finance! This is my first serious venture into the language and am glad I ran into your series. Bumping the comment before me. I hope you have time in the future to update the Quantopian series!,True
@not4644,2021-01-24T10:41:24Z,1,Do you have any other platforms than Quantopian since it is defunct?,True
@dompatrick8114,2021-01-13T16:07:21Z,1,"Hello sentdex, I've been a fan for a while now. Watching this to pay respects to Quantopian. BTW, do you think you can make a video on backtesting on QuantConnect.",True
@Hahmzuh,2020-12-25T02:03:49Z,0,Can we do a version of this on QuantConnect since Quantopian no longer is?,True
@AlcidesMurilloSEO_PPC,2020-12-21T21:43:54Z,0,"Hi! does anyone know what will be the replacement for Quantopian? Since they closed their site this year, like 2020 did not bring bad things enough",True
@MrLikon7,2020-12-20T12:16:23Z,3,RIP Quantopian,True
@WayTooUnderated,2020-12-15T06:23:44Z,0,Now that quantopian is dead what do I do :(,True
@AlterEgo77763,2020-11-28T10:08:31Z,0,Quantopian's community platform is shutting down,True
@GoredGored,2020-10-30T00:44:32Z,4,"Hi Sentdex, Quantopian is shutting down...I wish you could do another videos using Quantconnect. In any case thanks for the help, but Quantopian is closing in two weeks time.",True
@ashleyadrias,2020-10-19T22:44:55Z,0,is the history data close or adj close? Thanks for an awesome tut!,True
@GoredGored,2020-10-14T15:35:51Z,0,"Hi sentdex, Any reason why you choose the last 20?    sma_20 = hist[-20:].mean() why not    sma_20 = hist[0:21].mean() ? or    any 20 in between? Thank you.",True
@amirarsalan8440,2020-09-23T01:32:50Z,0,"Hey, any idea why the window for tool tips is not popping? (i.e. @11:32 ""history(asset, field, bar_count, frequency)",True
@prod.kashkari3075,2020-09-20T04:13:07Z,0,Do I need to read into stuff about finance if I only know python and data science skills? Or can I do quant finance stuff without reading into it and pick it up along the way,True
@bobgrueneberg8590,2020-08-16T18:36:16Z,0,"I think you mean beta of 1.0, not 0. A beta of zero would have a zero std deviation right?",True
@toavinaratololojanahary8201,2020-08-07T02:13:00Z,0,Is this Bucky ?,True
@madam_im_adam,2020-08-05T13:15:15Z,2,Had to check my playback speed was normal...dudes mind works so fast!,True
@jiekunliu9342,2020-07-06T12:28:36Z,0,"I’m only 18, and I’m from China, I’ve mastered machine learning and deep learning algorithms!",True
@swiftlyexplained703,2020-05-24T18:20:24Z,0,Super informative and clear. Thanks!,True
@jaydnsmiley,2020-05-18T04:58:49Z,0,"why is it ""sma_50 = hist.mean()"" instead of ""sma_50 = hist[-50].mean()"" just like the 20sma since they are both the same indicator but just reading different amounts of the candles.",True
@1234567890gundam1,2020-05-08T00:16:40Z,0,Like the racing gear you have at the bk!,True
@ivanov568,2020-04-23T14:33:20Z,0,"I wouldn't be surprised if meril lynch, jp morgan, or a big company owns or will own quantovian",True
@ivanov568,2020-04-23T14:32:30Z,1,"Dude its common sense, if you come up with an algorithm that makes a 30%ROI everyday who wouldn't steal your algorithm. You're naive af.",True
@lookakid504,2020-04-22T03:57:04Z,0,"Hey Sentdex! I'm starting to become very interested in learning about quant finance, at the very least as a strong hobby. I'm wondering if you could recommend a good place to start building a solid foundation.    For reference, I have a technical background -- I'm in my second year of a pure math PhD (doing algebra/geometry/topology, ie. probably nothing that will help me directly) and I've taken a few very basic Python and C++ classes.    Your video has given me hope that I can find an outlet to start learning, practicing, and messing around with different models! It'd be great to hear what you think.    Cheers, Talon",True
@batuhanbayraktar337,2020-04-21T19:49:59Z,0,"I am new in this area. I have a few questions for you, please answer? 1. Is it possible to make money with quantopian? Or is it just a place for education? 2. I am writing boots with binance api. Do you think this works with the quantopian library? thanks",True
@krishshah5844,2020-04-12T16:18:12Z,0,dudeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee  wait a sec for moving average u did . mean() method applied on the dataframe which will give u a scaler [mean of all values of the price column] u need to do like avg of first 50 and applying next or something like that..its only avg here not moving avg,True
@TRADINGARMOUR,2020-04-05T19:54:47Z,0,Hi do you build custom Crypto Trading bots??? i will pay you. email me on gursharans34@gmail.com,True
@fifimurphy517,2020-04-02T20:19:18Z,0,My name is William Murphy. This is my daughter's channel so don't let the name throw you,True
@fifimurphy517,2020-04-02T20:18:36Z,0,hi and thanks for a great video. I am looking for someone who can write an algorithm for me.  it's not a very complicated algorithm but  more than I want to dig into myself. Are you available for that or do you know someone who is,True
@anjali7778,2020-03-26T12:44:38Z,0,"sid is actually a common term in cyber security, its security_id",True
@aliakay8568,2020-03-24T20:03:27Z,4,you re my idol since ı was an engineer student. pyhton rasperry image process now trading analyzer . .  everything ı know that was teached by you man.you re the best😍,True
@elliotnyberg9332,2020-03-07T12:43:06Z,0,Wait so sma_50 is the current and sma_20 is the last 20 days?,True
@danumichael4864,2020-02-17T04:19:50Z,0,thanks a lot,True
@ramdoula506,2020-02-12T10:59:20Z,0,20 years profitable EA @,True
@stewiegriffin8384,2020-01-22T13:20:13Z,0,great video sir,True
@evagorasgeorgiou5309,2020-01-11T20:50:09Z,0,"Except from the known used indicators, is it possible to code ex TMA indicator using algorithm coding?",True
@Robert-me2iz,2019-12-24T22:06:01Z,0,Can you also do something like that with web Scrapping ?,True
@ritwikyadav9124,2019-12-24T11:04:02Z,0,thanks for the 4min unskipable ad,True
@doddgarger6806,2019-12-24T04:01:53Z,0,Yeah you'll still lose your money,True
@anshul3376,2019-12-20T14:56:15Z,2,"The moment you remove all the code, that's when I hit the subscribe button. So better than fake siraj raval who just copies every shit and claims it to be his",True
@lifeofatraderforex7181,2019-12-17T06:20:17Z,1,I have create a strategy which give me average of 20% return per month and i have back tested it from 2018(i end at 2018 cause it trade on a 1hour chart and charts end at year 2018 for 1 hour chart).  I need help to automate it into algorithm to trade for me.. Lifeofatraderforex@gmail..com,True
@CoffeeWithRony,2019-12-16T18:48:46Z,0,I'm from India is it possible to use traid in India?  Please whatsapp me +919037960005,True
@GuilleAcosta124,2019-12-14T03:55:53Z,1,"do you only can run quantopian inside a cell? There isn't such a thing like ""pip install quantopian"" and run it locally?",True
@s.jdigitalgyan2601,2019-12-09T04:01:57Z,5,can we use quontopain zipline for live trading,True
@boonhonggoh9516,2019-09-02T13:20:43Z,0,"thanks for you help , bro !",True
@MrPsychfrog,2019-08-24T18:45:10Z,4,if you are the same person that taught OpenCV/Augmented Reality and python you are a python god and you have all my respect,True
@titopangga8532,2019-08-17T12:14:32Z,0,Nicely put video man! Very helpful to people like me with so much interest in Algorithmic trading but still wanting of a lot of knowledge.  If anything which might be of help here's also a live 12 hour course about Advanced Algorithmic Trading Workshop https://www.experfy.com/training/courses/advanced-algorithmic-trading-workshop-strategies-signals-and-pipelines hope it helps!,True
@k.alipardhan6957,2019-08-11T01:42:03Z,1,quantopian light theme + 'dark reader' (chrome ext) is much better than quantopian dark theme,True
@Doomer6969,2019-08-06T22:19:47Z,0,quantiopian is for US stocks only which makes this series pretty worthless for most of your viewers but thanks anyway,True
@tejapolisetty3806,2019-07-13T07:14:21Z,0,where is context and data coming from? thank you,True
@user-qy8pn6zt3i,2019-07-07T21:17:03Z,1,Bro? Ur amazing thx for your work subscribe and like 😊👍,True
@waynefilkins8394,2019-06-30T19:08:52Z,2,"By the way, don't do the quantopian contest it's a 100% scam.  I just found it a couple days ago and was researching it, and found a forum post on their site where a guy was talking about them ripping him off and they closed the thread.  I was somehow able to comment and I asked some questions and apparently they were the wrong questions as I was IP banned within an hour.  They said it was because of my ""tone"" but I just asked some questions about the contest...there was no negative tone.  I made another account on separate IP just saying what happened and they banned that one lmao if you ask them something they don't want to answer, they ban you and they always say it's because of your ""tone"".  That site is extremely shady and i'm pretty sure they can see your algorithm and they are just using it to farm ideas.  There are a few shady articles about ""students trading from dorm"" etc. talking up quantopian saying it actually invested all this money in college kids...it sounds like those clickbait scams ""local college kids make millions blah blah"".  Other than that I have never heard of a person actually winning any of the contests.  They also say your intellectual property is yours until you sign some agreement, but there's nothing stopping them from seeing your code when you submit it into the contest.  Be very careful with that site.",True
@goldensnitch1614,2019-05-09T23:06:58Z,1,can you actually make money with this?,True
@michaelg4334,2019-05-02T19:04:33Z,7,Omg this is so cool!!!,True
@hernanebatistaz996,2019-02-25T16:37:08Z,0,This is a great video. I am using it in my own website about this topic here:  https://binbitforex.club/automated-forex-trading-technology,True
@nukkafluffs1610,2019-01-17T18:08:22Z,0,Im getting a team together to learn and work on projects together. If you are interested send me a message on here and we can talk more about it.,True
@ONEMANUNITX,2019-01-01T10:37:34Z,1,"Jesus christ, All I want to do is setup a programe or series of accounts and a client in order to through 50£ in with basic settings to see if a programe can trade for me, really tightly to begin with to limit risk, so Obv settings would be buy in when RSI is at max or whatever. thats all i want , why is it so hard to find such info, wading through all the rip off scams",True
@josephfoltz2423,2018-11-30T00:16:54Z,1,"I am new to programming. Would it be possible to gather all stock data from the think or seim software, take that data, put it into a program you make in python, and have the program make the trades for you, all while having AI in there somewhere learning what it's doing best by each trade? I have been trading for 2 years and have profitable strategies, I just dont know how to put them into automation.",True
@zes7215,2018-09-05T04:28:07Z,0,"no such thing as interesx or not, except those, post/can post any no matter what and any can be perfx",True
@raselbio,2018-08-30T05:54:13Z,0,"hello, How you input forex data.",True
@EchoDreamer,2018-08-23T01:48:58Z,1,Hello-- Is it possible to actually trade stocks with Quantopian? It seems you can only license your algorithms there. Is there another tool that makes this possible?,True
@erickaparicio6118,2018-08-22T17:30:11Z,224,This guy reminds me of Edward Snowden lol,True
@wangyucong1,2018-08-13T05:46:58Z,0,Quantopian's data quite expensive,True
@jarkow,2018-08-07T10:08:50Z,0,"I know, I'm a bit late to the party, but I'm wondering if this course can also apply to cryptocurrencies?",True
@simeongill8552,2018-07-18T16:41:15Z,2,How much coding experience do you  need ?,True
@joenapoe,2018-07-17T14:56:05Z,5,"Hey, any idea why the window for tool tips is not popping? (i.e. @11:32 ""history(asset, field, bar_count, frequency)",True
@Cruzin7,2018-04-29T20:40:49Z,6,Great video!!  What is a good alternative now that Quantopian got rid of live trading with brokers?,True
@exitparadise2244,2018-04-25T02:26:44Z,0,t=7:38,True
@SF-fb6lv,2018-04-01T17:15:40Z,11,"I wonder if 'good' algos actually prey on 'bad' algos, so that unless your algo is good enough, you will do WORSE than buy-and-hold.",True
@mmhh8668,2018-03-10T19:58:31Z,2,8 lines in 15 minutes.,True
@jeanpaulg1037,2018-01-06T05:34:03Z,0,"anyone else getting errors building the algorithm? getting the error: Algorithm must implement handle_data(context, data) method.  this is referencing line 5. can anyone help? thanks!!",True
@VladTN1977,2017-11-26T18:54:36Z,0,Quantopian needs your idea while paying to you only 10 % percent of profits as per recent terms of their agreement.,True
@greis790,2017-11-13T21:45:36Z,5,could you tell us the right order to see your playlists (that concern python and finance) from easiest to most complicated?,True
@jsx0328,2017-10-07T15:12:13Z,2,Can you please delete or at least change titles of your old quantopian series? Watched like half of it until I saw the comment that it was outdated and then lead here :(,True
@MrGarv08,2017-10-04T18:34:02Z,0,"Thanks for uploading. I have watched most of your videos. On various topics. Have one question, Can we get stock fundamentals for Indian market? Like PE, PB EPS..",True
@blackprinze,2017-08-24T21:52:31Z,0,"Have been trying  Auto trading using Oanda  with python,  Systems based on Q learning / DQN,  program would automatically analyze   and trade check here    https://github.com/Henry-bee/gym_trading  Trying out on the Forex market but can work on any market anytime frame  Let me know what you think   Peter",True
@22utoo,2017-07-30T19:26:58Z,0,Anyone here actually profiting from Algo trading?,True
@BR0_B0T,2017-07-19T21:45:21Z,1,Just got a broadcast email from quantopian that links to your tutorial series. Interweb_fame beckons!,True
@Cmatsoukis,2017-07-18T20:05:03Z,1,"if you're new to python and start here, you'll have a bad time...  LMAO",True
@adimilstein7042,2017-06-28T21:29:14Z,0,How did you add the autocomplete? I dont seem to have it,True
@prophetting1245,2017-06-13T23:59:07Z,1,this is so awesome. thank you,True
@fffppp8762,2017-06-08T11:19:19Z,1,Is Quantopian  free for user?,True
@sh.ku3,2017-05-20T09:19:48Z,29,"First of all - thanks a lot for everything. I want to ask what is the difference between the quantopian tutorial you've made in your ""Python for Finance with Zipline and Quantopian"" and this series? and if one wants to learn quantopian - which would be better to learn from?",True
@briananyanwu101,2017-05-07T04:59:50Z,1,How would I define multiple securities or would I  have to define them individually?,True
@sdr224,2017-03-31T15:13:15Z,0,"Sorry for the stupid question, but what does the .head actually do? Iv been trying to find it but cant.   Thanks for a wonderful series.",True
@basilfettuccinesandoval9937,2017-03-21T08:02:22Z,0,Thanks man!,True
@Dino-bp2tz,2017-03-13T05:46:29Z,0,Is this with python 3?,True
@mraayron2820,2017-03-02T03:52:37Z,0,Thanks for this series! Really appreciate it! :),True
@looch4694,2017-02-28T10:19:15Z,16,Does anyone know if I can program my own style of trading through Python and then use that as an API in a trading program?,True
@mainkim,2017-02-20T19:03:47Z,0,your example shows how to def and grab history on a single stock. However if I wanted to def and work with multiple stocks how do i go about that? Do i make a list of? and if so how to i go about the next step of hist =?:  def initialize(context):      context.gdx = sid(25426)     context.nugt = sid(40553)     context.dust = sid(40554)          context.gdxj = sid(38926)     context.jnug = sid(45570)     context.jdst = sid(45571),True
@varunkhanna5469,2017-02-20T07:16:56Z,1,Hi your videos are great but can't you provide a link to the source code through ipython notebooks so that we could spend more time understanding rather than doing both simultaneously. Thanks!,True
@user-me9nj6dj8t,2017-02-15T15:47:21Z,1,"Hi Sentdex and everyone,  Is this series useful when investing non-US equities with zipline? I am wondering should I kick start to learn it, many thanks.",True
@cyl5207,2017-02-09T14:31:34Z,0,awesome!,True
@infectedmethod,2017-02-08T13:29:41Z,4,You see that 1 dislike? That is me. No one uses Python. Can you use SQL Java and C+ instead? Thanks,True
@jeffreylylemason,2017-02-08T05:16:18Z,0,"Awesome video, thank you for making.",True
@ricebastard,2017-02-07T01:22:09Z,4,I think SID stands for Security ID.,True
@davidnovosardian6848,2017-02-06T19:38:20Z,0,"Dude, your videos are so helpful, thank you, definitely subscribed.",True
@CEBS13,2017-02-06T18:01:28Z,0,"Hey nice series, i'm studying CS and want to know more about finances and trading, got any books or other resources i can learn about? Thanks in advance.",True
@leu2304,2017-02-02T19:12:41Z,1,"Thanks for your work, you tutorials is briliant!",True
@skmn07,2017-01-31T04:05:12Z,2,Can you please cover how to use quantopian to pull data from quandl for european markets/ indian markets..,True
@rightwingtrollslayer,2017-01-30T21:28:09Z,2,Thank you Thank you Thank you!!!,True
@limpopo171,2017-01-30T19:34:49Z,0,it is indeed very interesting.   i am interestind in binary options would you think it can work with it?  so this platform is used for testing past data?  or can it work with live data and send you alirt maby? like mt4,True
@sdmit2000,2017-01-30T19:26:02Z,1,"Hi! I'm new to python, but something's looks strange already.Context.aapl looks like a aapl method applied to contex object, but that doesn't make much sense to me. Can you explain this please?",True
@Channel4NewsIsGay,2017-01-30T19:16:48Z,43,Thank you for sharing your knowledge and expertise. It's greatly appreciated.,True
@sikamikan,2017-01-30T18:58:48Z,13,"great content, thanks for sharing!",True
@juanpanca4388,2017-01-30T18:51:17Z,2,"Harrison! thanks for the new videos. I have a question for you...  On your experience so far...would you say is impossible to achieve a good algorithm/method relying only on technical data and statistics (Volume, trends,trailing stops,std... etc...?  i.e. forget about fundamental data, sentiment...etc  Keep on doing what you do!! Thanks",True
@callmebymyname643,2017-01-30T18:04:11Z,0,Am first!!,True
