author,updated_at,like_count,text,public
@fka.climate,2020-12-12T03:18:09Z,0,You’re an exceptional instructor dude.,True
@user-wi4sk8ne8e,2020-05-09T09:32:09Z,0,7:01 Why are apple stocks worth $ 300 in 2011 as the history log shows?,True
@pushkarubale,2020-05-09T03:16:17Z,0,"while your quantopian backtesting was showing all the data . like daily returns, volatality and all. my quantopian was showing only the performance graph. How to change what quantopian is showing? I am getting all results once test is completed.",True
@russellacanilao7998,2020-05-04T00:19:53Z,0,"Im in the philippines, and i want to backtest my stocks here, can i do that in quatopian?",True
@batuhanbayraktar337,2020-04-21T19:50:39Z,0,"I am new in this area. I have a few questions for you, please answer? 1. Is it possible to make money with quantopian? Or is it just a place for education? 2. I am writing boots with binance api. Do you think this works with the quantopian library? thanks",True
@ahmedabdussalam3476,2020-04-20T14:46:30Z,1,my UI of quantopian displays much less info on full backtest any idea why??,True
@steve905,2020-03-17T22:57:00Z,4,Receiving an error running the code today...  TypeError: unsupported operand type(s) for &: 'function' and 'AfterOpen',True
@NoToBusinessCasual,2020-01-11T23:22:13Z,0,"It seems like Quantopian's layout has changed and set_benchmark does not work. At least in my case, I don't see any additional benchmark showing up. In fact, the benchmark legend has a ""non applicable"" icon next to it.",True
@robomanrobo6777,2019-06-08T08:05:43Z,1,"300th like! . Great video , Thanks! :)",True
@mohammadkhan5430,2019-03-25T15:18:02Z,0,Cool-go to word for sentdex,True
@bradengee5093,2018-12-28T18:00:24Z,3,"Still loving the series, made it this far, only a couple left to go. Love your sense of humour. For someone who knows very very little about coding, this has been easy to follow along and learn from, Thank you!",True
@7346908,2018-12-28T01:20:12Z,0,You are awesome.,True
@cwayne4,2018-11-03T17:03:55Z,1,sma_20 < sma_50 can be fulfilled for multiple days in a row without an actual crossover of the MA's happening. So how does the program know only to send an order at the actual crossover point of the moving averages?,True
@guilhermesantossantos3040,2018-10-31T23:48:38Z,0,Can i program to follow the stock price by the second?,True
@jayharan3822,2018-04-12T15:09:14Z,7,Might seem like a silly question but how are you getting the auto fill suggestions? I have tried tab which occasionally works but often doesn't.,True
@bigsortvids,2017-08-18T11:04:55Z,1,Haha at 0:54 if you soon out the video look at what happens with the = after context.aapl,True
@Gonthor1000,2017-08-07T17:20:28Z,0,I tried this myself but I keep getting this error - Algorithm must implement initialize(context) method.,True
@Ninja-iq2xt,2017-08-06T16:51:52Z,0,You still Didn't show us how to fix the transaction amplification which you promised you will teach in the next(This) video :/,True
@joseluisalvarezescontrela9679,2017-07-28T21:07:52Z,0,"Hello I am a big fan of your channel, I was wondering if you know a way to put 'stop loss' orders based on the amount of loss instead of targeting a specific price to close the position. For example putting a stop loss when Im down 2% to close that position. Im trying to control my losses and the beta of the algo. Greetings from Caracas.",True
@tongbogeng7348,2017-07-06T19:34:17Z,1,"Question: you basically just changed the name of function to ma_crossover_handling, why did it speed up so much? You changed nothing of the trading function. First I didn't add a new function, I just put the old one into schedule func, it was running slowly. However when I used the new name, with the same content, the backtesting ran so fast. What's the idea?",True
@fffppp8762,2017-06-09T03:08:10Z,0,"I got same code as instructed , but it showed me run time error and ask me to use debugger.",True
@sdr224,2017-03-31T19:01:56Z,0,"I made the algo that you showcased here, but in my results, it is doing multiple transactions each day with a very small amount of the money available. I looked through the code and cant figure out why its doing those additional small transactions. Any ideas? Edit*** After further review, i believe the algo is re balancing the portfolio after the fluctuation of the day. So it buys a few more shares if it goes up, and sells a few if it goes down. I dont see your results as having that problem. How are you avoiding it?",True
@MorganPettersson,2017-03-17T15:10:10Z,1,Great tutorial! Thanks,True
@kevink3180,2017-02-10T04:37:19Z,6,"I have been watching a bunch of your videos, you have been doing a really great job! One minor request I would like to ask is that when you make a change in code on the screen keep it in view for about 1.5 seconds before scrolling away. A few times, you have had to jump around in code between different sections, and have moved so fast it is hard to pause the video at that spot to trouble shoot my code. (I am typing the code into another screen, and comparing my code to yours to make sure it is right. (or find our my typo.)  You normally do a good job of keeping all the code on the screen, all on one screen at the same time, but leaving it there a couple of extra seconds for us newbees -who are both trying to mentally process or understand it is useful)",True
@ryanshrott9622,2017-01-31T15:39:01Z,0,great vid harrison!,True
@NoBSFX,2017-01-31T12:03:28Z,0,"hi and thanks for your amazing work! , is the value 50 in data.history(context.aaple, 'price, 50, '1d') ,, the equivalent of 50 single days ? so if i have these (context.aapl, 'price' 60, '1min') == 60 mins ? ty",True
@goldengold8568,2017-01-30T18:27:44Z,0,Awesome. Thanks.,True
