author,updated_at,like_count,text,public
@Siddharth-rs1ge,2021-10-21T19:37:00Z,0,Love your content and your courage to take this type of projects. We learn a lot of imp deep stuff basically for free. Thanks a lot friend. 🙏,True
@XwitterEye,2021-10-21T02:02:57Z,0,me building my desktop with anti static bands- sentdex building sitting on carpet,True
@Powercube7,2021-07-22T18:56:08Z,0,Last live: 2 years ago :(,True
@Oisinkelly308,2020-07-20T19:30:05Z,0,Drives better than me,True
@grandtheftauto1233,2020-05-01T03:21:22Z,0,This is amazing great work dude!,True
@0x00Fyou,2020-04-20T15:17:27Z,0,HE BUILT A PC ON CARPET,True
@johnmarshallyt,2020-01-19T10:11:53Z,1,Just imagine Tesla trying out their AI like that for the first time itd be brutal😂😂,True
@bhairajagautam3505,2019-05-01T16:43:41Z,0,"""Sentdex made Self Driving Car, What's your excuse? ""  ""I dont have NVIDIA TITAN X""",True
@rumertally3398,2019-03-05T10:20:23Z,0,i cant watch the twich stream for some reason any clues on why?,True
@EchoMirage72,2019-01-29T00:15:27Z,0,"It seems like you'd have to put in historical data if it runs one frame at a time. That way it should know if it's stuck and needs to reverse, as well as where are vehicles are in relation to it so they can be avoided. Maybe I am wrong in this?",True
@m3n4lyf,2018-06-07T00:37:37Z,0,"I just found this and need to go back and watch, but does this avoid interpreting the mini-map as part of the landscape in anyway?  Further:  Does it use the mini-map to it's advantage, and is that within scope?",True
@hm149,2018-05-16T04:48:12Z,0,machine drives better than I do,True
@igorrtkd,2018-05-11T02:56:59Z,0,just imagine an AI completing a final fantasy game,True
@acur665,2018-05-08T06:36:17Z,0,Im so glad this is a thing!,True
@skagoo6473,2018-05-08T00:12:57Z,0,This is a great series! Looking forward to upcoming episodes!,True
@upperarmhumor,2018-04-14T13:00:24Z,0,"If you spawn the car in the exact same position as before, does it do the exact same thing, at least before random cars come in to play?",True
@lolcopter97,2018-04-12T12:01:04Z,0,Is it possible both maxwell and pascal Titans did roughly the same training due to the time complexity of the software you built?,True
@skierpage,2018-03-22T02:49:45Z,10,"4:20 ""overall, I'm super impressed with this AI"" ... 6 seconds later slams into the back of a car for no reason. 😆 J/k, amazing.",True
