author,updated_at,like_count,text,public
@KenJee_ds,2020-10-02T16:36:46Z,3,"Thanks for watching everyone! Let me know what you think of the (bonus) 6th tip!   Try watching these videos next!  SharpestMinds Co-Founder Interview: https://www.youtube.com/watch?v=7VcdvSyoxnc&t=15s&ab_channel=KenJee How She Dominated the FAANG Data Science Interview: https://www.youtube.com/watch?v=vfV4nm004VQ&ab_channel=KenJee How He landed a Data Analyst Job: https://www.youtube.com/watch?v=SsGKZe4dVyk&ab_channel=KenJee How I got my first contracting job: https://www.youtube.com/watch?v=6tQtwqthUMI&ab_channel=KenJee",True
@stanlukash33,2021-10-06T17:00:19Z,0,"Hey Ken, This is like your 5th video I watched in a row right now, and I have to leave a comment full of gratitude. Thank you so much! You deserve many more likes and views.",True
@Ibraheem_ElAnsari,2021-05-28T11:38:23Z,1,"I came back to this video just to tell you that my first ever DS interview will be on Monday :) And for everyone reading this I totally confirm what Ken said ! The only option I have for the moment is applying through job boards and cold emails .. After sending my resume to over a 100 job postings, I finally got one interview .. I hope I get it :)",True
@piyushzope10,2021-02-06T11:34:13Z,3,Thank you for this video. This is the next most important step after putting lots of our time and effort to learn and explore data science.,True
@BudiIskandar_KN,2021-01-12T03:40:03Z,1,I'm very heading 😁,True
@bianchialex,2021-01-01T02:00:27Z,3,Do you think a software engineering internship looks good for data scientist?,True
@TechAddictGuy,2020-12-13T06:20:21Z,2,Thanks A Lot! Was in a 1% till now...And I need to search topics directly from your channel about the topics I want videos on..I think you have covered everything.. thanks,True
@renatodias7126,2020-12-12T14:01:43Z,1,"Ken, This is an extremely valuable insight. Thank you so much.👍🏻",True
@harryayce11,2020-10-29T22:53:09Z,1,more videos like this please!,True
@donnelly5757,2020-10-07T01:06:57Z,1,"Hi Ken, tell me what you think of my idea. Given my age and current educational background and the fact that we are in a pandemic and many companies are probably mitigating risks in regards to hiring, trying to find myself an entry-level data analyst job will probably be next to impossible. I have decided that I am going to be starting a master's program this fall. I am deciding on Colorado State University Global's AI and Machine Learning master's degree or going with Eastern University's Master's in Data Science. Eastern's  program is brand new, so it probably does not have many reviews yet. It seem like it is a program for all ability levels, so I'm not sure of the robustness of the program. I am thinking of going for a double master's in this field. I could go the PhD route if I'm going to have a master's already by the end of next year, but I do not feel like setting myself back several tens of thousands of dollars more in debt for doctorate school. I figure the job market is not going to get any where near normal until at least 2023. With so many people out of work and looking for new jobs, I feel it is going to get super competitive. With the rock bottom tuition for some of these programs helping to minimize student loan debt, I might as well use this time to rack up a master's degree or two in this field.",True
@danielsilva3383,2020-10-05T14:30:02Z,1,"Hello Ken, thanks for the video. I've been following you since you were 5000 subs, but I had never seen your resume and I didn't know you started on data science because you were a golfer. I am a tennis player and I have been searching a lot about data science and I would like to start applying it on my tennis game. I saw an app called SwingVision that does the statistic by its own, but unfortunately is just for Ios and I just have android. I would like to get a free software or build one. Do you know any? If not, what would I have to learn to build a software like that? Thanks for your help",True
@Techfitlab,2020-10-05T09:35:15Z,1,Good Work Mate!,True
@israelbayode6888,2020-10-05T06:08:18Z,1,"Thanks, Ken, for this!",True
@larigiba,2020-10-04T18:49:01Z,1,This was a helpful video! This really shows that having a strong network is incredibly valuable.,True
@justinhuang8034,2020-10-04T07:38:41Z,1,👏👏👏 Always  making the best videos Ken Sensei.,True
@FirstnameLastname-ys1up,2020-10-04T03:15:21Z,1,"I am headed for #4! Ken Jee, thank you for your great content!",True
@leanwoodworks,2020-10-03T15:12:31Z,1,Ive worked in Data Science for three years now. When you go to that interview my best advice is to be studied up and give good examples of practical experience. It is quite rewarding I went from 58k starting now at 72K three years I pay 0 dollars and 0 cents for health care that is a Cadillac Plan I get 10 sick days a year and 3 weeks Vacation Time. I do not pay for food when I am at work they cater in meals. Heres some personal advice to prepare yourself. Kick all bullshit people and situations out of your life. This includes All Social Media you need to focus and be prepared. You need to really be strong in systems and troubleshooting skills of those systems. DO NOT TAKE YOUR PHONE IN THE INTERVIEW. TAKE A NOTEPAD AND HAVE YOUR OWN PEN SUGGEST A FISHER SPACE PEN IT WILL WRITE AND NOT MAKE YOU BE IN A PEN BEGGING SITUATION>. My interview was five people that you need to convince you are worth a shit.  I do remember a remarkable moment in the interview where I was asked about Social Media I stated that I had closed all my Social Media Years prior.   These systems are complex and use many inter relationship application features to communicate data  to one another. You need to be able to show this understanding. You need to be able to find and isolate issues in that system. You need to be able to answer questions about particular data points and features. This is not for everybody. I'm just going to lay it all out here if you fuck off at  work and arent truly focused dont apply. If you are the type of person who just wants a check who thinks showing up is good enough dont apply. This is why they have so many people at the interviews for these jobs. They are trying to see if you have what it takes and are disciplined. I used number four applied with in the company. Yes they paid for the training after selection. By the way the criteria was stiff 90% weighted grades required or you would be let go. There was 19 people in the class 15 made it.  When I was hired 5 people were hired at the same time 4 of those have been fired. Theres good money to be made here if you show you are serious they will keep raising your pay. Reasons for firing one was on FaceBook all the time. One was a Narcissitic Drama Queen. One had tons of excuses for not completing Tasks. One got fired for Sexual Harrassment.  These people have good money to pay and they know it. PACK YER POOP TIGHT thats Marine speak for SHIT together.,True
@TinaHuang1,2020-10-03T14:21:59Z,1,This is great advice!! 💪💪,True
@nicklovesdata9546,2020-10-03T12:08:09Z,1,🔥,True
@deathwing3710,2020-10-03T07:29:04Z,1,"Hi Ken, been following  you for quite some time now and I'm amazed to see the content quality in your videos. No matter what video I watch, I learn something. Awesome job!! Would you consider posting a Data Science tutorial from the scratch on your channel? May be a paid subscription? There are so many courses out there, when I try to find one that'll help me I always get confused. Basically I don't trust them and I think it'll help a lot of people if you start teaching data science. Either way, your AWESOME!",True
@DataProfessor,2020-10-03T03:55:41Z,1,"Awesome, Probably the best video on landing a data science job!  P.S. The new mechanical keyboard looks great, I'll find something similar, like the pounding feel while smashing the space bar or enter buttons 😃",True
