author,updated_at,like_count,text,public
@ankk98,2024-02-20T19:27:49Z,0,My heart wants to buy the best gpu for gaming and ml but my mind is not allowing it 😭,True
@CaleMcCollough,2023-09-22T14:39:08Z,1,"I ended up with one 3090 24gb and two 3060 12gb cards. I'm going to upgrade to a dual 3090 with water cooling. If I had the money I would be an H100 or A6000 and I would upgrade my 3060 to a 4060 TI 16GB. You're way better off making a monolith webserver with a 128-core Threadripper or Sapphire Rapids dual CPU with 2TB RAM and six A6000 or H100 with water-cooling than paying for cloud resources. You can spend $millions on something like that. Do you really want to fund the free tier? No. You want to save $millions on your server bill and pocket the money. For most people, this scale doesn't make sense. They would never be able to use that much computer power, but I can chew through it.",True
@botlifegamer7026,2023-09-09T03:03:08Z,0,Is there and Update to this video?? If not can you make one if you still rent out gpu power.,True
@prabhavkaula9697,2023-09-07T06:50:39Z,0,Quick question would you recommend getting MBP 14/16 M1 Pro for decent local computational resources and great battery + Cloud vs Chunky big boi windows machine with smol 3080/4080 etc.,True
@prabhavkaula9697,2023-09-07T06:49:08Z,0,My king you speak 📠📠📠📠📠,True
@Doggieluv25,2023-09-05T01:18:03Z,0,Thank you - really helpful!!,True
@hewhointheearthlydomainsee1272,2023-06-22T15:33:25Z,0,Amazon G5 seems the best performance per cost.,True
@j.k.ravshanovich,2023-03-05T13:32:35Z,0,Can I use cloud GPU to play games locally?,True
@100timezcooler,2023-01-18T23:27:13Z,0,what if you also play video games?,True
@joxa6119,2022-12-05T07:45:29Z,0,"I don't know, but you look glowed up.",True
@nemonomen3340,2022-10-02T01:56:42Z,0,YouTube saw that I was considering blowing 3 weeks worth of income on a nice pc setup to train ai as a hobby. Now it specifically put this in my recommendations feed to stop me. Excellent video. Now excuse me while I silently cry in a corner.,True
@rauhan_sheikh,2022-07-20T08:08:28Z,0,"I've just gotten into AI and ML, I'm complete beginner so I was thinking of buying an expensive laptop for that and now I'm just going to buy m1 MacBook Air 😅, and when i need I'll just use cloud 😅.",True
@bralis2,2021-11-06T16:43:03Z,0,"One should not aim for RTX immediately , one can always buy cheaper GPU for learning purposes - Nvidia Quadro T600 with 4GB GDDR6 memory let's say.",True
@varunjain8981,2021-09-20T16:10:30Z,1,"With AWS the moment I start the notebook, it start to charge on hourly basis. Even though we are only writing the code and not using GPU to its capacity. In my case, I take probably 50% to 60% of time to write code. If I am on could I will paying for this time as well. Whereas if I do most of the work on local then I don't pay for it. Do you think it makes sense to do development locally and perform final training on cloud?",True
@rendermanpro,2021-08-16T03:31:37Z,0,"Cheaper in the cloud, it's like with some software and services, at the beginning they offers you much lower cost with no profit at all, and after you used to use it, hooked, they will up price.",True
@rendermanpro,2021-08-16T03:04:25Z,0,"GPUs that you buy, later you can sell it. With current market even have profit from selling old GPUs or sell at the same price like 2-3 years ago. The main issue with local GPUs on scale is power delivery and powerline at your place, but for most cases it suppose to be ok'ish. This is like subscribtion based licensing, you paid a little bit less but do not own anything, just giving away money.",True
@MrTapan1994,2021-07-01T08:32:57Z,0,"I do work on DS/ML on daily basis... and was planning to go for a high-end physical machine. and I see what you have referred to.. we will get a time, where the cloud will get cheap... So if anyone can recommend .. that will helpful.. it is fine to go with Mac m1 mini.. where we can do some decent ml/dl work, and can switch to cloud if will get a big project or client comes up.. Any suggestion will be helpful.",True
@minma02262,2021-06-11T08:12:13Z,1,I like your sharing. Do you think this advice still stands for 2021? Anything you would change your mind on?,True
@gopalakrishnankothandam6091,2021-02-22T02:13:51Z,0,I have seen a 7980xe with two 2080ti-nvlink. Is it worth for 4000$. Thannks. Please help.,True
@bennguyen1313,2021-02-07T04:46:25Z,3,"Since a bit of time has passed since this video.. does it still make sense to buy one of older GPUs mentioned (Titan RTX, 1080 TI , 970 TI),  or would the cost/performance be worth starting with the newer RTX 3080, 3070, 3060 Ti and 3090 , AMD RX 6800 and 6800 XT?    I'd like to practice locally before doing the cloud.. linode , aws, digitalocean,etc.",True
@karangadgil9847,2021-01-17T09:51:36Z,1,"Hello,   I have a laptop with pretty good specs ( i7 , 16 gb ram, 4.2 ghz, 2 gb nvidia mx 350 - entry level 256ssd , 1 tb hdd) . i think the only drawback is less graphics and the fact that its a lower end MX series. Would you say  it'd be easier to fill that gap easily with cloud gpu? How practical is it to use cloud gpu against local?  I am particularly thinking from Data Science perspective.",True
@hekun830930,2021-01-06T20:03:49Z,0,"I learnt a lot from it, thank you very much for sharing! ^_^",True
@TheKrazzyStudios,2020-11-15T00:29:17Z,0,Recently found Q Blocks: They are like the Airbnb of computing. Got a dedicated 2080Ti for less than 30 cents/hour.,True
@uh6537,2020-11-14T18:20:38Z,8,I am happy that Sentdex is sharing his brainpower in the Youtube cloud.,True
@gameplaying9099,2020-10-17T21:29:52Z,0,what about rtx 3090?,True
@m.talibsameerkhan8369,2020-10-08T18:53:23Z,0,Hi Snowden,True
@amarnamarpan,2020-08-23T08:44:51Z,0,There's just so much inconvenience of using cloud GPUs with a slow/unreliable internet connection.,True
@cyan_aura,2020-08-21T06:59:13Z,0,"Nice informative video. I'd like to mention one point in favor of cloud, aws to be specific. If you choose a spot block instance, you can define the duration for which you're going to reserve the machine. The duration can be 1 to 6 hrs. These are quite a bit cheaper than on-demand instances. E.g. a g4dn.2xlarge instance when reserved for 6 hrs. costs you about $0.58 per Hour, while the on-demand instance cost is $0.828 per Hour. If you choose to reserve for a lesser duration, costs are even lower. Google colab is another good alternative where you get access to gpu instances for free. I think the notebook can run uninterrupted for 12 hours max, but that's still a great option.",True
@Ehabmxd,2020-06-22T12:50:38Z,1,"Hi, I am very beginner I have an inquiry if I purchase a server to support my main computer Do I install programs that require a lot of effort on the server system, or do I install them on my main device In other words, can you take advantage of the power of the server processor on the programs on the primary computer?",True
@seenbefore1560,2020-06-18T10:18:54Z,0,Jesse Pinkman!,True
@stetsonb7915,2020-06-09T21:28:13Z,0,"Excuse me if this has already been asked but, I am curious if you have ever talked with other YouTubers (Linus Tech Tips comes to mind specifically) about creating a collaboration video or testing benchmark system for GPU testing with Neural Networks?   I feel like there could be tremendous value for individuals or organizations to be able to compare their compute needs with many possible computer specs. Clearly, the more VRAM and Higher clock speeds will perform better. But finding the marginal cost to marginal output could be helpful and very interesting. While your video makes it clear cloud computing is super great and likely to be the best option for most individuals, for people like me who are really excited about Neural Networks & also enjoy playing games on PC/streaming/video editing, it could prove to be quite valuable in terms of choosing our own upgrade path.",True
@ironmantooltime,2020-01-15T13:34:31Z,0,"Like most people don't need a 64 core threadripper, 8 core is nice, I don't need a £1000 card but for dev £150 is fine 🙂",True
@ialimijororakotoniaina3274,2020-01-04T06:22:05Z,10,"I have to be honest with myself like you said, I just wanted to game hahaha",True
@MalaiischeIntelligez,2020-01-01T20:05:00Z,0,basically I don't understand but I sub on your channel so I can learn more....good VD anyway,True
@GNARGNARHEAD,2019-12-28T00:34:16Z,0,$2 an hour for $4000 of GPU... *a math teacher somewhere cries*,True
@burakwise,2019-12-26T21:03:32Z,0,"For those who will use cloud for long trainings, renting a GPU dedicated server with consumer cards can save you a lot of bucks. Some providers: https://www.thoplam.com/gpu-dedicated-servers/ https://www.leadergpu.com/cloud_gpu",True
@cargouvu,2019-12-25T10:30:23Z,0,Is that a gun over your right shoulder? Never seen anything like it. Is it a paintball gun?,True
@YouTubeFunHandle,2019-11-21T22:46:56Z,0,You accidentally reveal your money stash by your t shirt lol,True
@mattizzle81,2019-11-12T11:05:23Z,12,"I play around as a hobby and I went all in and built an expensive PC with a RTX-2080 ti, as well as a high end gaming laptop with a GTX1060. I barely use it enough to justify the cost of the GPU at all. Should have stuck with Paperspace. ;) Just the psychological factor of 'paying $2 per hour' on the cloud for something I don't own makes me nervous every time though, and is less convenient than having your own physical machine.  Just the cost of a gaming GPU these days is a little painful for me. Like you say though, it's useful to have something local just to work on and go to cloud when you need. I just won't upgrade my local GPU in the future, if I need an upgrade, cloud it is.",True
@sagicarmel5988,2019-11-02T16:24:35Z,0,Damnn... :D So helpful :),True
@ericsonnen5248,2019-10-19T10:13:11Z,0,Awesome advice!,True
@ryanpunamiya,2019-09-28T06:08:03Z,0,"sentdex, when are you making a computer rig update?",True
@joseortiz_io,2019-09-27T16:44:57Z,0,"Great insight Sentdex. Thank you for sharing. Anyone, what has your experience been working with hosted services? 🤔",True
@esysss,2019-09-21T10:10:52Z,0,it's time to deep learning tutorial!!!!,True
