author,updated_at,like_count,text,public
@syedishrathullah,2024-04-17T23:50:15Z,0,I work in cyber security and am going to be usin gen ai for solving use cases,True
@syedishrathullah,2024-04-17T23:49:05Z,0,But not everyone has the time to invest .. so long as one can jump into code,True
@masterpiyush666,2024-01-05T06:13:13Z,0,@Krish -  I would like to know if individuals without a background in Mathematics can pursue a course in Generative AI?,True
@RITOBANBHAT,2023-12-31T03:11:01Z,1,"I personally differ slightly on this point. It doesn’t make sense to spend a lot of time to learn the basics of data science, AI/ML theories and algorithms if you are not in the core of AI. Rest will mostly end up building business applications by calling APIs, let’s accept that. I had the same dilemma when I moved from c to VB many years ago until I accepted I didn’t need to know the implementation details of button, textbox, checkbox methods and properties. They exist, why to reinvent the wheel (unless you are the chosen one)?",True
@ahsanurrehmansiddiqui1506,2023-12-21T12:45:38Z,0,people always underestimate the basics. and the magic always lies there.,True
@armaanzshaikh1958,2023-12-20T03:28:09Z,0,Totally agree sharing my experience i completed statisitcs and there was a community session started on generative ai which i watched on the first day in that after discussion of syllabus it started with deep learning algo where somethings were bouncer and some were understandable so that made me rethink that if i would know ML And DL this would be just done easily so got back to start the foundation in Ml yes you can build the LLM using python but at the end what Krish said is totally true,True
@teja789,2023-12-14T16:13:32Z,0,Agree with you krish,True
@sheshram2347,2023-12-13T14:46:00Z,0,Settle in set as&followers will on kind of what as script✓,True
@kumargaurav2170,2023-12-13T10:13:44Z,1,While it's easier to work with close source models without learning basics but if one wants to work with Open source models for custom data then you might get stuck on your use case,True
@gpgyanp,2023-12-12T14:06:11Z,0,Can you please provide some light on courses for Business leaders / Pre sales leaders / Business Consulting for Generative AI? As they are more focus on the business use cases.,True
@piyushtalele3594,2023-12-12T13:21:35Z,1,"So what are the bare minimum topics that need to be covered required for LLM models. I am asking this because companies are really impatient with regards to the implementation of use cases using LLM. Actually it has become a statement popular like ""LLM has made AI easy to use and implement. Even for non ML developers""",True
@sgatea74,2023-12-11T21:51:30Z,1,"No you can not ""Learn GenAI"" without knowing the rules governing to its implementation. Coding is enabling the learning of the rules. For regular users experimenting Chat GPT it is Ok-ish (considering hallucinations)",True
@Scripts2022,2023-12-11T07:19:14Z,1,Hi sir ur website not working sir,True
@Ballistic_Bytes,2023-12-11T04:58:21Z,1,Please improve your audio. It's a constant cacophony.,True
@girishksahu,2023-12-11T04:17:18Z,2,"Very well said, both options has pros and cons which depends upon level of work, business use case etc. and my view is that having the foundation in data science, ML, DL, helps to go into details as required, which is good for long-term career growth 👍",True
@technicalcodify,2023-12-11T00:43:15Z,1,sir plz create maths for ml & data science playList.. much much needed playlist plz .. plz reply sir.. guys hit like for maths playList..,True
@akhileshsharma0145,2023-12-10T20:23:55Z,9,00:01 Learning generative AI without machine learning or deep learning 01:19 Learning the basics before jumping into generative AI is important. 02:33 Python is a prerequisite for directly using generative AI APIs. 03:41 It's good to learn machine learning basics before diving into generative AI. 04:47 Deep learning basics are crucial for interviews 05:54 Basic knowledge of statistics and machine learning concepts is essential for working on LLM projects. 07:07 Learning generative AI alone may not be sufficient for interviews. 08:19 Basics in machine learning and deep learning are essential before diving into generative AI.,True
@ayadavofficial,2023-12-10T16:41:06Z,1,Agreed sir❤,True
@technicalcodify,2023-12-10T16:04:02Z,2,sir plz create maths for ml & data science playList.. much much needed playlist plz .. plz reply sir.. guys hit like for maths playList..,True
@Mani_Ratnam,2023-12-10T14:29:52Z,2,"Good at maths and good in coding.For coding part,ML,DL & NLP ,credit goes to you.I'll build some projects related to problems in real world scenario. I am working on it.",True
@sagarsathawane2655,2023-12-10T12:40:59Z,1,In one line for beginners like me learn basics and then use api,True
@zzo73,2023-12-10T12:13:37Z,4,Plz come with gen AI bootcamp,True
@mohammedismail6872,2023-12-10T11:11:44Z,3,"5:40 brrroooo I have never been able to relate to a youtuber more than this, actually i don't even comment on youtube videos, but you are different you spit facts based on your experience rather than coming up and grabbing likes and subs. i can relate because i am in my 3rd year of Engg. I have applied to a full time role of a Prompt Engineer. I made through 3 rounds was the youngest among all the applicants. But in the final interview the scenerio was exactly how you described, though I am good at python i was unable to tell concepts relating to ML ,  Prompt Engineering..",True
@debaprasannbhoi230,2023-12-10T10:49:21Z,1,"Agree, I am feeling easy in ur llm , gen ai project but math, coding holding me back as I m from notch background",True
@user-sz2mi4bk4l,2023-12-10T10:33:36Z,2,Hey sir I have been following your content since recently and found your content very much amazing. Finding such an unbiased creator in tech space and doing so much educational videos  for your younger generation that is for us you are an inspiration thank u so much . I am currently in my 3rd semester and want to get into machine learning and grab an internship in ml/ data science I am very much ready with python and mathematics I just need a very clear path / roadmap from you for the year 2024 HOW WOULD YOU LEARN MACHINE LEARNING if you were me thank you so much for doing such wonderful things among student and tech community Regards Student Community,True
@DrGKumar-me7bx,2023-12-10T10:20:55Z,1,"Krish.... Your efforts...Awesome and real teacher...i have seen, who share knowledge...with great effort",True
@Tech_Enthusiasts_Shubham,2023-12-10T09:48:45Z,1,please make a video on for those who have started learning data science 6 months before like me sir it really needed to learn generative ai sir in right way according to you,True
@NITINPRATAPSINGH-hl3ht,2023-12-10T09:45:31Z,1,Love You Krish ❤❤,True
@Tech_Enthusiasts_Shubham,2023-12-10T09:37:10Z,1,hats off to your efforts for bringing ai revolution in india and also making  ai education affordable  for student like me thanks a lot really by heart keep providing userful videos like this always sir,True
@bp2807,2023-12-10T09:33:13Z,1,Krish Do you have Full stack data science new batch on ineuron. Please answer,True
@YuvrajSingh-jz8fs,2023-12-10T09:27:20Z,1,"Meaning that if you want to build a electric car , learn how to make a wheel?  : |",True
@soumeshnayak4546,2023-12-10T09:17:13Z,2,Agree sir one should start from basic because without having deep learning knowledge it's not fine to start learn about llms and other end to end projects,True
@aarizmobin4487,2023-12-10T09:13:21Z,2,you are absolutely right krish... thak you for making this informative video,True
@hasnainalam1898,2023-12-10T09:10:11Z,2,"Sir, you told about two categories of people who want to learn AI , sir PL make roadmap video for both these categories.",True
@sunilrskanda1588,2023-12-10T09:05:08Z,35,"what I  can say about this person.  He is the ""Encyclopedia"" of data science & AI domain. If you want to learn data science  & AI   please follow his channel you can get everything at a single stop. kee rocking krish Sir.",True
@sarangag,2023-12-10T08:58:27Z,2,Please make that video ASAP🎉😊,True
@avinashbhardwaz5717,2023-12-10T08:47:42Z,5,"Why you ask,  agree or not? As usual there is nothing in your videos which have sense of disagree.",True
@gunasekhar8440,2023-12-10T08:42:48Z,3,Great suggestion sir,True
@lifeisbeautiful1111,2023-12-10T08:34:44Z,2,Thanks for this video krish sir. You cleared my doubts.,True
@royalgun8735,2023-12-10T08:31:20Z,4,We are learning Generative AI because of you.Thank you for your videos,True
@Nothing_but_NavEEEn_Official,2023-12-10T08:27:22Z,5,"Please suggest the Learning Pathway... from your End For Gen-AI ???  Since, I'm one of the student of Ineuron and Invested on Industry ready project Course and elsewhere almost 1 Lakh already for the Career Transition.",True
@kevinshah2702,2023-12-10T08:25:41Z,9,Truly appreciate your efforts in making videos like these consistently with such a high frequency in short span of time ✨,True
@Nothing_but_NavEEEn_Official,2023-12-10T08:24:45Z,3,Just joined the Community Membership Sir!  Right way with the support and Synchronisation you're bringing forward to the Data&AI Community ❤,True
@Manjeetkumar_wef1223,2023-12-10T08:16:20Z,5,Had this question knocking me day and night. Would love to know it's scope over Data Science as well,True
@Nothing_but_NavEEEn_Official,2023-12-10T08:16:00Z,3,Truly relevant Sir... 🥳 First comment again ✨,True
