author,updated_at,like_count,text,public
@deeprajdas6641,2024-02-19T17:05:31Z,0,Amazing!,True
@bigdave6952,2023-12-17T02:07:18Z,0,thanks,True
@rfrancoi,2023-08-24T07:25:07Z,1,Man.... That was AWESOME.  Very well presented.  Thank you.  Sub+1,True
@abdiafrah4907,2023-03-03T15:17:06Z,0,"thank you, really appreciated",True
@hodor1978,2022-12-23T19:18:38Z,0,"Thank you, Corey, for a great tutorial. How to get rid of -bash: type: python: not found when I am trying to use python or pytest through linux commands on windows? I have installed bash and Ubuntu on Windows so now I can run all linux commands on Windows cmd and PyCharm terminal BUT I can't run python or pytest in cmd or PyCharm terminal when I use bash and I have to exit it to original Windows cmd and only then I can run python or pytest commands.  python --version doesn't return python version when I am in bash and which python doesn't return anything etc. Please advice how to fix",True
@amirnazari7928,2022-11-15T17:31:52Z,0,perfecte,True
@Franchyze923,2022-08-24T01:04:12Z,0,Very helpful!,True
@oluwaseunsorinola7039,2022-06-20T21:57:39Z,0,No one does this better! Thank you Corey.,True
@datascientistproject5280,2022-06-11T05:56:15Z,0,"when I enter : subl .bash_profile, the result is : zsh: command not found : subl Can you help me ?",True
@obrien8228,2022-03-05T15:10:27Z,1,Is there an updated version of this with the default now being bin/zsh?,True
@haydenwilsonx,2022-02-28T20:31:51Z,0,Do you have a video on how you get sublime to open using 'subl' prompt?,True
@portfedh,2022-02-09T16:03:19Z,0,Thank you! Very clear. This really helped me.,True
@iSpider82,2022-01-05T13:12:04Z,0,"If you run bash scripts in cron tasks, then all these decorations are useless to you, they can even create problems, so it is better to add them to the .bashrc file at a minimum. On the other hand, for working in the console, all sorts of decorations and shorthand commands can come in handy and can be added to .bash_profile.",True
@yash1152,2021-12-15T20:16:33Z,0,3:58 echoing from the file for better investigation,True
@mostafagharbawi3607,2021-12-08T16:29:20Z,0,"I followed the exact steps, still can't customise my prompt. what could be the issue?",True
@mostafagharbawi3607,2021-12-08T14:42:11Z,0,"I thoroughly looked at the dot-files on HomeDirectory, I don't get .bashrc. Though I can see .bash_profile. Not sure what seems to be the problem. Can someone help? (And I'm looking to permanently customise the header name)",True
@harshal.rathore,2021-11-22T16:28:55Z,0,I think in Linux .bash_profile file is only loaded once at the time of logging in like to start/ready some services for the user to use so he don't have to fiddle in command line to start these services and .bashrc file is loaded when ever you opens  a new interactive shell or terminal emulator. Correct me if I am wrong,True
@Gollumfili,2021-11-08T16:12:58Z,0,"I have been searching the web most of the day trying to figure this out, and all of the sites / videos I have come across have been useless and don't explain anything. Thanks for this video, it explained everything and was really simple to follow along.",True
@andrewusvat4579,2021-10-15T20:47:16Z,1,Very unclear.,True
@0x007A,2021-09-05T02:43:12Z,4,For GNU/Linux when a user logs into the computer the .bash_profile is loaded and executed. The .bashrc file is loaded by .bash_profile using the same technique that you demonstrated although it only loads if the session is interactive.,True
@rubempacelli6815,2021-09-02T05:20:35Z,1,"thank you very much! It would be amazing to take through  login shell session, non-login shell session, interactive shell session, and non-interactive shell session",True
@aliwaseem5990,2021-07-28T17:46:20Z,1,"Very useful thanks a lot , I learned a lot from watching your videos.",True
@akifarslan6022,2021-07-25T22:04:15Z,0,Do I should have bash_profile at Big Sur?,True
@Johna41223,2021-07-24T18:18:34Z,0,legend,True
@whenthethebeansstrikeback6728,2021-07-12T22:52:24Z,0,What theme were you using for Sublime? It looks clean,True
@mansinayak10100,2021-06-26T16:30:07Z,0,No such file ni directory when i write bash profile,True
@antondjayzakov4776,2021-06-19T14:38:46Z,0,"Could not  find  the .bash_profile in  Home directory, but was interesting thank you  =)))",True
@maxkroon3136,2021-06-09T12:49:51Z,0,How can I delete something I didn’t want in it I can’t delete it anymore pls someone answer,True
@ScreenPrintR,2021-05-31T03:48:40Z,0,"Yup, just worked in my Cygwin Linux Server and Terminal. Wahoooooo!",True
@theinstigatorr,2021-04-11T08:31:44Z,1,The tutorial is out of date now it is called zsh in the same folder,True
@justray510,2021-04-06T10:36:37Z,0,"My .bashrc has 1 line = source .bash_profile. My .bash_profile sources different files to make any changes easy, it sources .aliases, .functions, .exports, .bash_prompt. This way when a login shell is ran or I sudo -s nothing changes and checking for root user always works for me. Also I noticed when Corey started a new login shell the same info was at the top of the window ""last login blank blank blank. This can be made to go away by creating an empty file named .hushlogin. This idea came from GitHub.",True
@bxr5xrk,2021-03-26T19:30:04Z,0,Thank u very much!!!,True
@gonzaloalarcon5353,2021-03-15T19:11:21Z,0,What if I want to open in visual studio code instead of sublime?,True
@deanrose5676,2021-02-19T18:56:22Z,0,"I tried this, and in Linux (Linux-mint_20) there are .bashrc and .profile. following your example, .bashrc comes up in the terminal (xterm) whereas .profile comes up in textmode ( Ctrl-Alt-F2)",True
@z_xpro3942,2021-02-02T22:32:32Z,0,Help W: Ignoring Provides line with DepCompareOp for package python-cffi-backend-api-max W: Ignoring Provides line with DepCompareOp for package python-cffi-backend-api-min W: Ignoring Provides line with DepCompareOp for package python3-cffi-backend-api-max W: Ignoring Provides line with DepCompareOp for package python3-cffi-backend-api-min W: You may want to run apt-get update to correct,True
@ygcjayalal,2021-01-30T20:43:21Z,0,these commands are not working with iMac high sierra,True
@raymond-andrade,2021-01-30T03:00:15Z,0,"Awesome dude, thanks so much. Not use to using Mac, and was doing some programming things on one, and this helped me make sense of so many things.",True
@UnniKrishnan-rp8yn,2021-01-26T16:15:42Z,0,Your video not clear,True
@Drastisolution,2021-01-23T03:51:06Z,0,Atliat increase font size and terminal size so we can see and follows you,True
@josephloyd2176,2021-01-11T23:03:16Z,0,"Thank you, I also try to explain complex ideas in beginner language on my channel, I would appreciate your support https://www.youtube.com/channel/UC6N4i972Z7F-ozmUWDakS1Q",True
@MrBogusXD,2020-11-13T20:48:38Z,0,What to change in .bashrc files to display or receive a new message?,True
@eduardoPicazzo,2020-10-18T06:32:23Z,0,when I type and save the if statement in .bashprofile.. I get    - bash: [: missing `]'   when reopening the terminal,True
@chborger185,2020-10-13T03:39:51Z,0,thx Htop  why not lowRES  SEEy  >> AUDIOdiscription | SUBTITLE <  &>  ;)  it's a VIDEOsequenz with all the BEAuTY why lowRES ??,True
@Pink634,2020-08-28T10:48:45Z,0,"For the first command it says Permission denied, the 2nd one is ok but for the  3rd one it says Command not found sbl.  What can I do?",True
@espressoshot21,2020-08-23T04:32:18Z,0,Please a tutorial like this for zsh shell. I tried following this tutorial for it and it didn't work (unsurprisingly...lol I just wanted to make sure),True
@ankitagupta8397,2020-08-23T00:28:02Z,0,I loose all customization when i use ssh. How can I fix that?,True
@groove_kidman,2020-07-21T09:38:21Z,0,How can we echo the .bash file by not using Sublime text?,True
@alexneville7194,2020-07-11T06:19:29Z,1,my terminal says that subl isnt a recognized command wtf,True
@alexnev4253,2020-07-09T08:18:05Z,0,my mac says that subl isn't a command,True
@simonlauer9379,2020-07-04T16:13:47Z,14,Could you do a series on zsh (on Mac) specifically?,True
@tushar.b,2020-06-29T10:46:52Z,0,I have put echo statements in both .bashrc and .bash_profile files.   But I dont hear from both of them on starting my terminal.  Any idea what could be wrong?,True
@PoeLemic,2020-06-25T04:52:17Z,3,"Thank you for sharing this.  I am switching to Linux from Windows, so I am trying to come up to speed.  This really helps me understand how to setup the profile file.  Also, can I ask ... Do you have videos that cover more of these ""magic"" files like .bashrc and .bash_profile.  I totally understand how those work, but what are other files that it would be good to understand how they work.",True
@ashleypursell9702,2020-06-23T12:20:01Z,0,great video thanks so much <3,True
@minhajsixbyte,2020-06-10T18:16:18Z,2,"my man! Thanks corey, you make great tutorials. Keep them coming",True
