author,updated_at,like_count,text,public
@rahultiwari55,2020-03-24T12:13:21Z,0,mdates.strpdate2num has been deprecated it's mdates.datestr2num. But mine issue is different I have milliseconds too. %Y-%M-%D %H:%M:%S.%? I don't know what to put for millisecond.,True
@marcohaefner1644,2019-12-16T10:52:02Z,0,"Hi, I love your videos, especially because it doesn't get boring! It's great! Quick question though and I see that this question has been an issue for others as well. When I use the converters part where you use strpdate2num I get of course the comment that this function was deprecated but I cannot figure out an alternative way. I've tried to use datestr2num but also I don't find a way to use it. any hint would be much appreciated!",True
@syuhaidasafaai2644,2018-03-07T03:05:30Z,0,"hye, I got an error which is  failed main loop [Errno 2] No such file or directory: 'A.txt'  my file name is AEOM but it only read the first letter only.",True
@fredbaker1255,2016-02-13T08:11:51Z,0,"//START_HELP_QUESTION I am having trouble, please help. (yes I have already looked at the other comments, but I am a programming noob and I don't understand how to fix this.)  //ERROR  failed main loop unconverted data remains: 7241  //CODE  import time import datetime import numpy as np import matplotlib.pyplot as plt import matplotlib.ticker as mticker import matplotlib.dates as mdates  eachStock = 'AAPL','SPY'  def graphData(stock):     try:         stockFile = stock+'.txt'          date, closep, highp, lowp, openp, volume = np.loadtxt(stockFile,delimiter=',',unpack=True,                                                               converters={0: mdates.strpdate2num('%Y%m%d')})         fig = plt.figure()         ax1 = plt.subplot(1,1,1)         ax1.plot(date, openp)         ax1.plot(date, highp)         ax1.plot(date, lowp)         ax1.plot(date, closep)          ax1.xaxis.set_major_locator(mticker.MaxNLocator(10))         ax1.xaxis.set_major_formatter(mdates.DateFormatter('%Y-%m-%d'))          for label in ax1.xaxis.get_ticklabels():             label.set_rotation(45)           plt.show()        except Exception, e:         print 'failed main loop',str(e)   for stock in eachStock:     graphData(stock)     time.sleep(555)  //DATA_SAMPLE_AAPL  1454337241,96.1636,96.5500,96.1500,96.4700,1897800 1454337599,96.2000,96.4300,96.1000,96.1500,903000 1454337840,96.1225,96.3200,95.8900,96.1900,1031500 1454338140,96.0000,96.2500,95.9600,96.1300,717400 1454338440,95.9500,96.0410,95.8900,96.0100,633200 1454338798,96.0600,96.1100,95.8900,95.9499,572600 1454339099,95.9400,96.0700,95.7300,96.0500,707400 1454339399,95.9900,96.0400,95.8600,95.9400,609700  //END_HELP_QUESTION Thank you!",True
@johnstreety642,2015-12-30T07:07:48Z,1,"Nevermind, I figured it out",True
@johnstreety642,2015-12-30T06:44:22Z,1,"Your videos are awesome. However I think I am having issues because I am using Python (x,y). I am getting a syntax error after this line  fig = .plt.figure()  Will you please help me sort this out?",True
@PranavAnandinsane,2015-09-17T14:27:26Z,0,can you provide me the complete code for this vedio.,True
@akkm2658,2015-08-23T16:06:34Z,0,"Hello Mr. It's great video and thank you for your tutorial.  I have a question. I tried write code and build it. But it was not worked. the code is... /////////////////////////////////////// import time import datetime import numpy as np import matplotlib.pyplot as plt import matplotlib.ticker as mticker import matplotlib.dates as mdates  eachStock = 'TSLA','AAPL'  def graphData(stock):  try:   stockFile = stock+'.txt'    date, closep, highp, lowp, openp, volume = np.loadtxt(stockFile,delimiter=',',unpack=True,converters={ 0: mdates.strpdate2num('%Y%m%d')})    fig = plt.figure()   axl = plt.subplot(1,1,1)   ax1.plot(date, openp)   ax1.plot(date, highp)   ax1.plot(date, lowp)   ax1.plot(date, closep)    ax1.xasis.set_major_locator(mticker.MaxNLocator(10))   ax1.xasis.set_major_formatter(mdates.DateFormatter('%Y-%m-%d'))    for label in ax1.xaxis.get_ticklabels():    label.set_rotation(45)     plt.show()     except Exception, e:   print 'failed main loop',str(e)  for stock in eachStock:  graphData(stock)  time.sleep(10) ////////////////////////////////// and result was...  failed main loop unconverted data remains: 645 failed main loop unconverted data remains: 640  AAPL.txt is... 1439213640,117.3400,117.3700,116.5300,116.5300,2341800 1439213999,117.4100,117.6900,117.1300,117.3500,1940400 1439214240,117.7740,117.8300,117.3300,117.4100,1397700   and TSLA.txt is... 1439213645,238.2700,240.8400,237.5000,238.1600,368600 1439213942,239.6050,240.0000,238.0000,238.6200,110100 1439214240,240.2000,241.4800,239.5100,239.7300,108800  Python version is 2.7.5 matplotlib version is 1.4.3 numpy version is 1.9.2  Can you help me ? Thank you.",True
@l1fecsgo264,2015-05-31T03:21:08Z,0,"hi ive got the error failed main loop unconverted data remains here's my code:  import time import datetime import numpy as np import matplotlib.pyplot as plt import matplotlib.ticker as mticker import matplotlib.dates as mdates  eachStock = 'TSLA','AAPL'  def graphData(stock):     try:         stockFile = stock+'.txt'                  date, closep, highp, lowp, openp, volume = np.loadtxt(stockFile,delimiter=',',unpack=True,converters={ 0: mdates.strpdate2num('%Y%m%d')} )                  fig = plt.figure()         ax1 = plt.subplot(1,1,1)         ax1.plot(date, openp)         ax1.plot(date, highp)         ax1.plot(date, lowp)         ax1.plot(date, closep)                  ax1.xaxis.set_major_locator(mticker.MaxNLocator(10))         ax1.xaxis.set_major_formatter(mdates.DateFormatter('%Y-%m-%d'))                  for label in ax1.axis.get_ticklabels():             label.set_rotation(45)                                   plt.show()                   except Exception, e:         print 'failed main loop',str(e)   for stock in eachStock:     graphData(stock)     time.sleep(10)    can u help me? thx",True
@SpiralTonic,2015-05-05T22:31:59Z,0,"Really like your videos! Wondering if you could please help me out. Anytime I run the program I get a message saying ""failed main loop 'module' object has no attribute 'loadtext' "". Not sure why this is happening. Thanks.",True
