author,updated_at,like_count,text,public
@santhoshkumar-lm4hs,2023-02-06T03:03:06Z,0,Excellent words sir,True
@aidataverse,2022-10-08T20:16:40Z,0,Great,True
@shubhamsahoo331,2021-07-26T19:46:37Z,1,Thank you very much sir from the bottom of my Heart for your continuous motivation towards a best a career path irrespective of any social platforms. Such motivation never got before and I really a fan subscriber of your youtube channel.,True
@dilse_shah,2021-04-04T00:39:54Z,0,"Thank you sir, you always motivate me",True
@88kalogero,2021-04-02T13:49:07Z,2,"what a great guy! Keep doing your thing Krish, you're rocking it! Will there be a video about coding BERT along with you in the future?  Greetings from Greece!",True
@sauravojha6345,2021-04-01T15:12:46Z,1,"Hi krish sir, I watch your videos daily. Sir you inspire me to achieve my goal. I want be a data scientist and I m working towards it. Wish me luck sir.. 🙏",True
@srijandeo1620,2021-04-01T12:31:38Z,0,"Hello sir, when are you making the data science projects playlist free for all? You said earlier in a video last year that you'll make it free after sometime.",True
@pradeepdhanola1327,2021-04-01T10:00:05Z,1,❤,True
@Raja-tt4ll,2021-04-01T08:42:02Z,1,Nice,True
@nishant3086,2021-04-01T08:27:58Z,2,I appreciate these precious words as they are from your experience not from any external source.,True
@AdvDevraj,2021-04-01T08:26:12Z,0,🔥🔥🔥🔥,True
@lucario4399,2021-04-01T08:04:27Z,2,Motivation is all that is needed sometimes 😀😀❤️,True
@nocode659,2021-04-01T07:33:55Z,2,My fav sir,True
@nikilnikilesh9228,2021-04-01T07:20:59Z,2,100% true sir,True
@RaoolGaming,2021-04-01T07:12:03Z,4,Krish Sir You should be a motivational speaker😍,True
@bigchallenge7987,2021-04-01T07:01:46Z,4,"Hallo krish, Really motivation thoughts ..Greetings from Germany",True
