author,updated_at,like_count,text,public
@pritamchannawar177,2024-02-22T20:23:02Z,0,"Docker part and Heroku container part is bit unclear can you please provide a links for heroku basics.  Thank you for posting this knowledge, it's more than a University syllabus!",True
@yasirali8409,2023-12-16T13:55:01Z,0,Amazing🤟,True
@archanat6507,2023-08-09T13:21:39Z,0,Hi please make a tutorial on inferencing the model using triton server,True
@roshantonge1952,2023-07-23T17:45:15Z,0,Yes sir please upload,True
@princesslizzy5675,2023-05-12T18:04:38Z,0,Yed please a comolete series,True
@caxupin6666,2023-03-24T20:28:38Z,0,Thank you for sharing your knowledge! <3,True
@archanadevi7081,2023-01-05T03:27:59Z,1,"Hello Sir, since Heroku is not free to use now, could you teach us an alternative for cloud deployment?",True
@learnsharegrowwithgh2181,2022-12-30T14:37:20Z,0,"ERROR: Could not find a version that satisfies the requirement pickle (from versions: none)   ERROR: No matching distribution found for pickle  Sir getting this error during build process could you help m here",True
@aishwaryapattnaik3082,2022-10-13T20:20:29Z,0,Please make one with Jenkins please,True
@madhu1987ful,2022-09-23T12:19:17Z,0,"Hi Krish, Thanks a lot for this. This is just amazing stuff. I was so happy to see all actions happening automatically. And thankfully I got just 1 error and it was resolved when I reran the workflow on Github :-) Please in your next video explain what exactly is happening in main.yaml file (line by line) this was more like a black box for me !!  You have already given brief info abt this and that is well appreciated !!",True
@anuragbhandari3776,2022-09-22T18:00:50Z,0,are procfile and setup.sh file not required here?,True
@rachitvdo09,2022-09-14T03:37:25Z,0,"Hello, I am trying to replicate the deployment and was wondering from where do we get the template of YAML and how we decide on which one to choose? Thanks",True
@vijaykumbhar1657,2022-08-15T18:58:46Z,0,sir i need ur help plz help me for this recently i join course from simplilearn course name Data scientist Job guartee programe but now i am confused tht this course is real or fruad i will get 100%job or not plz sir i want suggestion from you,True
@sourjo1,2022-08-08T20:21:19Z,0,Yes please. Dockers + Github Actions series!!!,True
@vigneshnagaraj7137,2022-08-02T04:23:33Z,1,What is the role of github here when integration is done between gitubactions and docker?,True
@akshaymutalikdesai4370,2022-07-30T20:09:33Z,0,@Krish Naik : Yes please we need an entire series on deployment using docker containers.  If YouTube allowed i alone would have given 1000likes 😜. Also please continue your NLP series on BERT and GPT as well i literally loved them,True
@syedshahab8471,2022-07-30T09:47:16Z,0,Thank you for the amazing explanation and code. I am a facing problem in accessing logs. do any know how to access heroku logs when we deploy apps like this. sorry I am still new to this. Thanks,True
@aadhavanmahendiran8074,2022-07-27T15:48:38Z,0,"You are amazing sir. Yes, sir require a complete docker process.",True
@happystepsdata8520,2022-07-26T10:48:32Z,0,How could you make a content exactly I have been in need of 🤣 I appreciate that,True
@dennyage4791,2022-07-26T08:11:45Z,0,INeuron community class support ended ??,True
@shaz-z506,2022-07-26T08:01:03Z,0,Could you please create a video on how to create a production API with all forms of testing included in it?,True
@lekeserrano3487,2022-07-25T20:50:35Z,0,"Thanks for your videos Krish, I always enjoy following your workflow.",True
@aswinjoseph,2022-07-25T17:30:51Z,0,Thanks Krish,True
@gajendrarajv,2022-07-25T17:20:46Z,0,"Please make video about what makes you keep putting videos more  than 1.4k video is not a little things This involves more effort, hardware, consistency, etc etc. Ple make motivation video about your story.",True
@gajendrarajv,2022-07-25T17:16:26Z,1,U r inspired a lot I have seen ur channel From where u explained your clg days  Your work also really keeping me inspired. Txs,True
@marsrover2754,2022-07-25T15:57:41Z,9,"Hi @KrishNaik Can you make a playlist that says  days of deployment where in you cover end to end deployment series which includes not just ML models but also DL , NLP models using docker and fast API. Thanks for your amazing series.",True
@marsrover2754,2022-07-25T15:57:01Z,2,"Hi @KrishNaik Can you make a playlist which says  days of deployment where in you cover end to end deployment series which includes not just ML models but also DL , NLP models using docker and fast API. Thanks for your amazing series.",True
@mehersaik1873,2022-07-25T11:44:24Z,0,Well explained video sir👍,True
@riyaz8072,2022-07-25T11:05:09Z,1,"Thank you for the great service you are doing for our nation.. You are creating employment and with this, you are contributing to the nation building directly..",True
@nandinisarker6123,2022-07-25T10:24:56Z,0,What is the language written in dockerfile?,True
@shreyasb.s3819,2022-07-25T10:23:22Z,3,Industry level project or real time projects won't use Heroku. My best suggestion any deployment video do with aws or GCP or azure.  Because u already explained heroku simple deployment video thats enough.  But this video won't give much weight for resume.  But docker and github actions add more benefit here,True
@prathampandey9898,2022-07-25T10:21:53Z,1,"Is there any way to deploy Deep Learning projects which uses Tensorflow using heroku? Because when I try to deploy, it shows error that the size limit is reached because of size tensorflow module. I have tried using lower version of tensorflow but it doesn't works.",True
@piyushjayasawal2201,2022-07-25T09:19:26Z,1,The amount of help you are providing is just amazing.Keep rocking and educating ❤️🔥,True
@594_kiet_satish5,2022-07-25T08:55:00Z,0,explaination is good,True
@b_113_debashissaha9,2022-07-25T08:52:29Z,0,Niceeee,True
