author,updated_at,like_count,text,public
@ashishmondal5857,2023-07-16T03:17:56Z,0,To the point video. Awesome Krish. Your videos save hours of efforts for many students.,True
@amrdel2730,2023-05-17T11:16:31Z,0,can you do an explanation of the DAG mumlticlasse scheme used on SVM,True
@mkproduction413,2023-05-06T12:05:39Z,0,How to calculate sensitivity and precision for multiclaa,True
@maged4087,2022-11-30T05:37:37Z,0,TypeError: Singleton array 2836 cannot be considered a valid collection.,True
@ankitashukla8879,2022-11-24T11:24:57Z,0,For multiclass classification which parameter will be more important precision  or recall and why??,True
@siphendulwezaza9384,2022-09-26T06:34:20Z,0,"Is it possible for precision, recall and f1-score to be zero? if yes then what does that mean",True
@emyeethiopia2890,2022-08-06T06:50:48Z,0,How do I plot the confusion matrix for multiclass image classification(say 4 class) while using ImageDataGenerator for augmentation  in CNN algorithm?,True
@muthukumarb1326,2022-08-05T09:30:17Z,0,Hi you calculated sensitivity ( #_of_ TP/#_of_TP+#_of_FP). But why scikit learn mentioning as Precision.,True
@SandeepSingh-xe1ry,2021-12-07T05:44:25Z,0,"Hello Sir,  I am doing coding for the breast cancer dataset with Keras Sequential Model. while printing classification_report and confusion_matrix it says the following error ''Classification metrics can't handle a mix of binary and continuous targets'''. Previously, I was able to do the same, but now showing this error. Kindly help me out.",True
@TanuMallya,2021-11-28T13:21:21Z,0,"How to calculate ""Specificity"" here? Can someone please help?",True
@jayasimhayenumaladoddi1602,2021-08-21T11:14:57Z,0,"Dear sir, I am using Rbf. I want to know how to select the hyper parameters. please kindly help",True
@louerleseigneur4532,2021-07-16T08:54:08Z,0,Thanks Krish,True
@rambaldotra2221,2021-05-22T17:28:06Z,0,Great Sir.,True
@shouryagupta8763,2021-05-11T22:33:47Z,0,U HAVE VIDEOS ON EVERY TOPIC,True
@vijai7017,2021-05-07T06:04:39Z,0,sir you have explained  Accuracy and precision pretty well but Recall and other performance matrix are not explained only cursory introduction is given.,True
@amrithabnair6546,2021-05-01T13:24:23Z,0,Sir can you explain Multi class student's performance prediction based upon on machine learning,True
@MyRohit143,2021-04-19T16:24:08Z,1,"What is correct confusion matrix , now I am confused , In some places FP become FN & vice versa",True
@gamingterror8ov734,2021-04-09T14:55:18Z,1,Sir plz start classes on 10th standard Artificial intelligence plz,True
@karthikganesh4679,2021-03-18T18:28:10Z,1,sir could u plz explain multi class classification with random forest,True
@vibesnovibes6320,2021-02-23T00:46:51Z,52,"Guys, lets applaud his efforts. This video is being shot at 12 in the morning :)",True
@ravikumarpawar2406,2021-01-25T06:06:13Z,0,in the report suppose:          pre    recall       f1-score          support a        b      c   0.0         0.0           0.0                     3   what do mean by the above report it has an accuracy of more than 0.6  remaining two classes predicted the  precision and recall score with support,True
@nareshkumarnarula5630,2020-12-31T09:26:09Z,0,"Hi Krish , Please upload the GitHub link for the above video. Thanks",True
@Nitincse11,2020-11-05T16:13:35Z,0,What is mean avg precision?,True
@aseelsami.6322,2020-10-20T10:55:38Z,0,"Hi what is support in the classification metrics report and what its equation also,what are micro average and other values in the below of report.",True
@sandipansarkar9211,2020-09-20T19:56:15Z,0,Thanks Krish for the explanation. But the github link is missing .,True
@anshikachoudhary4134,2020-08-30T09:38:33Z,0,Sir please explain neural network technique on multi-class problem with imbalanced dataset,True
@husainkhatba8991,2020-08-13T09:13:49Z,0,Thank you again !,True
@aashishraina2831,2020-08-09T08:43:41Z,0,"simple question:   You said when we have imbalanced data set , we cannot always go for accuracy, we have to consider precision or recall to judge the accuracy.  Now  the above final matrix which we have how can we find accuracy here, is it the F1 score we should consider, but there are 3 classes. I am a little confused here",True
@lokeshrathi5500,2020-07-29T23:49:33Z,1,What is support?,True
@ParamChoksi-ve6yg,2020-07-05T18:44:16Z,0,"Sir, please make a video on  ROC and AUC with practical example..!!",True
@christianespana1,2020-06-03T06:02:13Z,0,can you explain how to plot ROC curve using Image Generator(flow from directory) in classification multi classes?. Please,True
@afrida3351,2020-05-15T15:01:26Z,10,"I follow ur machine learning videos & it helps me a lot. Could you please make a video on multilevel multiclass performance metrics (absolute-true,absolute-false,accuracy,coverage,aiming)? I can't find out any appropriate source for it! Please try to do that!",True
@charlsjoseph,2020-05-03T14:32:21Z,1,"It looks like FP and FN are interchanged. Sir, I'm confused as your previous video on binary classifier performance metrics - https://www.youtube.com/watch?v=aWAnNHXIKww&t=1018s    shows differently.  Also  didn't understand the precision calculation for cat. it should be row wise not column wise addition on denominator right ?  My understanding on precision is Out of total positively predicted cats, how many are actually cat",True
@mani3537,2020-04-29T10:45:12Z,0,how to find confusion matrix for model used in semantic segmentation??,True
@sandipansarkar9211,2020-04-26T12:16:08Z,3,That was a superb video.Got all my doubts clear.If you could the ipynb notebook or google colab for practise would be great .Thanks,True
@vipindube5439,2020-04-19T00:15:02Z,0,please upload the class file.,True
@sagarmestry5514,2020-03-24T08:23:02Z,0,Sir can you please upload video on indepth intuition of logistic regression cost function. It’ll really help to understand concept in better way,True
@sadabratakonar4219,2020-03-23T11:38:48Z,2,"Sir, how do I know which row and which column refers to dog, cat or fox? I mean how to know row 1, 2 or 3 refers to a dog?",True
@bharatchoudhary9836,2020-03-23T03:53:00Z,1,"@krish naik,instead of using confusion matrix on multi class , can we use Kappa score as performance matrics on multi class",True
@AjaySharma-by6kr,2020-03-23T03:45:22Z,6,"@Krish Naik. If we have too many classes, then I think confusion matrix will create confusion and not be that much easy to interpret. Sir any other performance matrix for multiclass classification except confusion matrix?????",True
@rajraji417,2020-03-23T03:41:49Z,1,Thank you Bro,True
@sachinborgave8094,2020-03-23T03:34:16Z,1,"Krish, please upload further Deep Learning videos.",True
@sachinborgave8094,2020-03-23T03:33:55Z,1,First like,True
