author,updated_at,like_count,text,public
@SohamUtekar-qe1vl,2024-05-13T06:24:35Z,0,BSC data science maths hard hai Kya sir,True
@SohamUtekar-qe1vl,2024-05-13T06:23:04Z,0,Sir muje question hai,True
@codevalley9511,2024-03-31T14:59:29Z,2,"Yes, since last 6 months I'm trying but not getting any call",True
@raghavenderkuppireddy7158,2024-03-14T11:09:47Z,0,❤❤❤,True
@SauravKumar-sn4em,2024-02-14T17:53:53Z,0,"Hi Krish, your videos are really helpful, can you suggest some projects for Data Analysts? Also if you can mention some important projects for Data Visualisation on Tableau?  which can attract Companies' attention? Thanks in advance",True
@SannidhyaNaskar,2024-01-22T12:14:33Z,0,Sir have a ques like how to apply for a  Service-based company I mean like wht r the skills that we exclusively require which is in-demand with the Tech industry,True
@turjo7934,2024-01-06T21:25:56Z,0,❤❤,True
@vishalsrivastava1073,2023-12-24T07:12:06Z,2,"Very rightly said, if someone is having projects to showcase pls share, even I am looking for a young and enthusiastic engineer of Data Science. Who can build a model and make it live",True
@doremonchaudhary5278,2023-12-11T03:37:02Z,2,sir mujhe Data analytics sikhni h... to konse  subject se start krun..aur kaha se sikhu... plz reply,True
@Kavin.26,2023-11-20T10:04:47Z,0,How to publish in entire community,True
@abdulnafay3474,2023-11-14T17:42:56Z,5,I salute to this person as he's paying his whole to teach the world without having or requiring any interest from anyone in the form of any amount or any other form of interest I respect this effort of urs😊,True
@sneha967,2023-09-19T19:11:29Z,0,Is ml required for data analyst,True
@miamiflutist,2023-08-11T23:58:58Z,1,The title!! 👏🏾👏🏾👏🏾👏🏾,True
@ishwarsalunke1838,2023-05-08T15:10:47Z,0,Yesssss sir,True
@josephmargaryan,2023-05-04T22:51:22Z,1,How should we share our projects? on Linkedin with a post or something else?,True
@shubhamchauhan6836,2023-02-28T08:08:13Z,2,"Sir ,is  ineuron merged with pw skill",True
@TheAmit4sun,2023-01-28T02:22:54Z,0,I have a project idea can I approach you for architecture guidance please. I will never forget this gesture,True
@saurabhjoshi8776,2023-01-24T10:53:13Z,0,Hj,True
@learner8053,2023-01-13T19:08:16Z,13,How will you define amazing projects?,True
@japanshots1,2023-01-13T07:18:46Z,1,Hi @Krish  Can you please make separate Q&A video for pwskills data science masters course. There are many open points which needs answers from pw team or you as support team don't have proper answers.,True
@vineetpanicker5715,2023-01-12T17:23:55Z,0,Sir please suggest a good book for NLP,True
