author,updated_at,like_count,text,public
@dpaudiovisual1698,2023-10-02T12:31:41Z,4,I'm sending 100s and no Interviews yet.,True
@Ma7amad00,2023-09-28T05:51:53Z,0,"It took me 2 years to land my first job , since i graduated in 2019, we all know what happened 😂.  But yeah need to persevere.",True
@nkamuo_kenechukwu,2023-08-08T11:20:33Z,8,"This is a source of motivation to me, I have been hurting for my first job for months now",True
@igortusca637,2023-08-07T19:27:33Z,1,"So what do you actually suggest to do, practically ? Because you didn't reach out to the recruiter, they reached you.",True
@edwardtamekloe7103,2023-08-06T13:54:36Z,0,Waoww.. that's great,True
@rudwaan6474,2023-08-05T21:19:40Z,0,Right now how would you suggest us approach looking for a job? Should we just connect with recruiters for a company?,True
@champfisk5613,2023-08-05T02:24:55Z,0,So they paid you 100k as an entry level data analyst?,True
@gloeni,2023-08-04T13:10:04Z,1,Hmmm. Me here thinking my 200+ still counting applications are driving me nuts without any offer yet. 😮‍💨,True
@gurvindersingharora5301,2023-08-04T12:03:30Z,0,"Sir, How companies calculate ytd, l6m sales, ly6m sales, ytg, fiscal year in excel report.   Can you make a video of above mentioned metrics in execl ?",True
@bzak,2023-08-04T03:06:19Z,4,There are a lot of scammers pretending to be recruiters or trying to meet a quota,True
@Zerozsaber,2023-08-03T22:44:54Z,0,Hey I doubt you will see this but just in case you do I'm running through your courses and I have previous python experience. I know I can do the work that I would need to know at a job but I want to show that to people. What do you think would be a good project to show that I can do the work? How in depth or fleshed out do you think it should be?,True
@bgyw,2023-08-03T22:18:41Z,3,"Be careful, recruiters can not be always be trusted. Some actually don't send your cv or misrepresent you. They also sometimes put their own interest in priority. Just be careful in who you decide to work with.",True
@parulgupta6529,2023-08-03T17:31:40Z,1,I am also applying to multiple jobs but have not received a single call from recruiters.. getting demotivated day by day😒,True
@cornucopiahouse4204,2023-08-03T17:11:20Z,3,"Very great advice there. I have applied to many, many data analysis jobs but I haven't got any favorable responses yet though I am very confident of my ability. Can you recommend agencies to find such recruiters?",True
@Hihopeyouhaveawonderfulday,2023-08-03T16:24:22Z,14,"I’ve finished my Business Analytics degree very recently. Now I’m doing some extensive job hunting. I’ve only submitted 80+ applications and am already slightly discouraged. Thanks for sharing how much effort you put in, it puts things into perspective. It’s a struggle fest but I’m hopeful",True
@Thanzin1,2023-08-03T14:46:12Z,36,I didn’t realize you had such a tough time hunting for your first entry level Data Analyst job. 1000 applications is totally insane. It kind of puts my own job hunt into perspective.,True
@AmiTVerma-to3vn,2023-08-03T13:59:11Z,0,Keep em coming ❤ 🙂,True
