author,updated_at,like_count,text,public
@faheemkhan9786,2023-11-14T17:38:27Z,0,What if be have Categorical Features,True
@skyrayzor3693,2023-08-19T07:05:20Z,0,Thank you sir,True
@attaullah4998,2023-06-19T15:58:16Z,0,"Hello, In your previous videos, you split the data into test and train and then apply the feature selection on x.train just to avoid the over fitting, but here on 22 minutes using select k best for feature selection ,you are taking the whole X ,why is it so sir? Any one",True
@vishalaaa1,2023-06-03T16:41:51Z,0,Is there any feature selection technique that can select significant input variables without converting inout columns to non numeric ?,True
@rajeshwarig213,2022-12-27T14:26:43Z,0,"Hi Krish, In the mutual information feature selection can we pass the null value feature",True
@ridoychandraray2413,2022-12-25T12:17:54Z,0,very helpful,True
@dasgupts10,2022-08-11T07:30:06Z,0,"Hi Krish, we use chi2 test on top of categorical variables. But here we are also using them on numerical variable. Can you please explain this?",True
@atakanbilgili4373,2022-07-29T09:47:56Z,0,Is second part of the video available anywhere?,True
@rohitbharti2882,2022-06-07T15:48:36Z,0,Thanks for clearing everything sir 😊,True
@utkarshsharma1867,2022-05-12T06:08:39Z,0,Please make a video on 1-way and 2-way anova and its implementation in python,True
@PoojaYadav-tq3yp,2022-05-04T10:43:28Z,0,Very informative and interested,True
@pooranikhari5080,2022-04-19T09:50:00Z,0,Continue sir,True
@sauravshukla6659,2022-03-25T05:06:31Z,0,Krish please make a video on Deep Learning Classifiers,True
@adeshinajohn3988,2022-03-08T04:27:39Z,0,Thanks!,True
@naveenrajan3765,2021-12-14T03:13:29Z,1,I am not able to find the continuation video of this session. Can anyone please help me!!,True
@adamansbah7017,2021-11-29T15:43:19Z,6,"man  you are too good, after spending my entire day looking for a solution on univariate analysis, all of a sudden i was about to go to bed then i came across your video, guess what? i did it man thanks to you. Kudos Broh you are a star",True
@shobhitagarwal1745,2021-10-27T10:34:54Z,0,sir please also make some content on multivarient,True
@matthewavaylon196,2021-10-25T03:05:53Z,3,Can you explain how you were able to use chi2 when it’s not categorical?,True
@ufukeskici,2021-09-12T10:39:18Z,2,Where is the second part of this video???,True
@manojrangera5955,2021-08-29T17:15:52Z,0,"Sir, i have a question... In individual video you do train test split and compute feature selection technique on xtrain and  Then remove correlated feature from xtrain and xtest also.. Sometimes you don't do train test split and direct use df fir feature selection.. So i am confused.. Should i need to do train test split and then after calculate feature selection process or just use df for it... Please reply  Sir.. I am so much confused in this... If anyone knows the answer then reply also ... Thanx in advanced.. 🙏🙏🙏",True
@manojrangera5955,2021-08-29T15:35:44Z,0,Chi2 used for hypothesis testing and feature selection also,True
@AmanPratapSinghBITsindri,2021-08-12T09:18:05Z,2,Starts at 8:00,True
@akshaygane159,2021-08-10T19:43:53Z,0,Is feature importance similar with mutual information??,True
@ajaykushwaha-je6mw,2021-07-18T18:26:57Z,0,"# Remove duplicate feature from data frame if exist.  df=pd.read_csv(""mobile_dataset.csv"")  # Reading data in df Data Frame  df = df.loc[:,~df.columns.duplicated()]  # Remove duplicate feature from data frame if exist.",True
@eyobsolomon4663,2021-07-13T13:34:36Z,0,"i'm challenged by the error named: ValueError: Input contains NaN, infinity or a value too large for dtype('float64'). please help me.",True
@raviyadav2552,2021-06-18T12:29:50Z,0,is it always necessary to remove the collinearity or correlated feature or there are certain cases?,True
@rambaldotra2221,2021-06-02T16:13:28Z,22,You are definitely going to make life of thousand students who want to be a Data Scientist . Thanks from heart Sir. Sir you inspired me a lot.,True
