author,updated_at,like_count,text,public
@Acha413,2020-12-25T01:30:24Z,0,"so the person who created Word2vec model etc.. or discover new network architectures like Elmo they used existing things to create newer networks , then are they researchers or Data Scientist/ML Scientist?",True
@cali4nicated,2020-01-09T19:35:23Z,0,"Great video, thank you. I didn't know about ML researcher career path",True
@harshakp06,2019-12-14T05:43:42Z,0,Deployment is usually done by cloud computing engineer . is it a must thing to know for a ML Engineer? I didn't seen any ML Course having Deployment module.,True
@naveen95959,2019-12-10T18:28:37Z,2,Sir in order to become a data scientist should I need to learn Machine learning?,True
@naveen95959,2019-12-10T17:39:46Z,1,Should a data scientist need to learn Machine learning?,True
@techdanny8554,2019-12-07T14:08:02Z,1,Please said how to Learn with certified platform,True
@MahJohn,2019-12-07T12:09:20Z,1,"@Krish I have been trying to join your platform as a member, but unfortunately I wasn't able to. Did you closed the membership application ? Please respond!",True
@ravikumar-gp6bb,2019-12-07T09:39:40Z,2,"Hi sir, is data analyst and data scientist same ?? In terms of entry level roles in data science...",True
@nikhilparmar9,2019-12-07T06:42:27Z,1,"Thanks for explaining these common but important terms, it helps a lot in the overall preparation and job application.",True
@Roblox5091,2019-12-07T06:30:35Z,1,When will other videos of air quality project come out?,True
