author,updated_at,like_count,text,public
@lovelyintheisland,2024-05-10T18:27:38Z,0,Thank you Alex. I listen to your videos in the car on my to work then I watch it in the evenings to practice. Very helpful and inspiring to learn and achieve more in my career.,True
@therealmarshal,2024-04-09T16:55:25Z,0,"thx Alex, you are doin well",True
@PRIYANKAREDDY-ln3hu,2024-03-29T17:49:22Z,0,"Let's assume you have the following three tables:   Students table:   Columns: StudentID (Primary Key), FirstName, LastName  Courses table:  Columns: CourseID (Primary Key), CourseNameEnrollments table:   Columns: EnrollmentID (Primary Key), StudentID (Foreign Key referencing Students table), CourseID (Foreign Key referencing Courses table), Grade Write a SQL query that retrieves the average grade for each course.    The result should display the CourseName and the average Grade for each course.  If a course has no grades recorded, it should still be included in the result with an average",True
@Helmofthedominator25,2024-03-28T19:56:12Z,0,"Kelly's 3rd Purchase. That code is working only if the customers don`t have the 6th purchase, to solve that problem you need to write the correction in code like when the row_number is = 3 then it must restart and begin again from 1 to 3, and on and on and on and on. Sample code :  WITH CTE AS  ( SELECT *, (ROW_NUMBER() OVER (PARTITION BY customer_id ORDER BY transaction_id )-1) % 3 + 1 AS third_transaction FROM purchases ) SELECT customer_id, transaction_id, amount, (amount - amount *0.33) AS discounted_amount FROM CTE WHERE third_transaction = 3",True
@malcorub,2024-02-20T04:39:41Z,0,"I solved it like this in SSMS.  But I don't think temp tables are allowed in Analyst Builder.   	  SELECT [date] 		  ,[temperature] 		  ,[temperature]-LAG([temperature]) OVER(ORDER BY DATE) AS 'LAG' INTO #TEMPY  FROM [temperatures]   SELECT [DATE] FROM #TEMPY  WHERE [LAG]>0  DROP TABLE #TEMPY",True
@Bobthetomado,2024-02-05T14:22:17Z,2,"I've ran into similar problems of StrataScratch, but the Analyst Builder question should be a bit more clear on if the discount only applies to the 3rd transaction ever made, or every 3 transactions.",True
@vladton84,2024-01-19T05:13:54Z,0,"What about 6th, 9th, 12 th transactions?",True
@StandbyxP,2024-01-12T18:36:02Z,1,"Great video as always Alex! Just one question since I am still learning: Does the ""DATEDIFF(t1.date, t2.date) = 1"" always mean 1 day difference? Because I thought it is mandatory to put an intervall before putting (start_date,end_date) inside the parenthesis of DATEDIFF(), to determine if you want year, month, day etc. as difference.",True
@user-in3br6dw1r,2024-01-11T07:43:41Z,1,Alex !           This Channel Just a Tree of Best Learning Knowledge    ! Thx !         ,True
@Nyrus62,2024-01-10T21:31:46Z,1,"Alex! Your content has been so huge in my journey to become a data analyst.   I’m working on doing some projects and putting together my portfolio, but man it’s so hard to put all of the skills together and know what to do and when to use certain tools.   I’m starting to get some of those valley of despair feelings. Do you, or anyone else for that matter, have any advice or tips on getting through knowing the technical skills but not knowing how to implement them?",True
@MuhamadRidzuan-ei4qn,2024-01-10T09:02:00Z,12,"Hi Alex! From Malaysia here, i just want to tell you i have just landed an interview for Data Analyst job although i am in Civil Engineering background.I have been following you since last June and follow learned all your bootcamp. I just want to tell you thank you so much!",True
@dianadennis7225,2024-01-09T23:48:20Z,0,re: Q2 shouldn't filter in the ON clause; the ON clause should only include join criteria. Poor practice and readability matter at this level,True
@yeerehneh,2024-01-09T23:37:42Z,1,Found ur channel a few days ago as an aspiring data analyst and lovelovelove everything!!!! Pls keep up the good work thanku,True
@carlosoviedo5685,2024-01-09T18:36:08Z,0,I now this is no the place to ask this but please; can make a video of import and export data from managment sql server and cover the thing with the wizard? plase you are really good explaining things,True
@brendansully12,2024-01-09T15:48:36Z,0,This channel looks like a WEALTH of information! Thank you for making it all,True
@AltF4Esc,2024-01-09T14:39:34Z,0,"I love this, but you should show every third purchase. The 1st 3rd purchase wont get you very far.  Where mod(row_num, 3) = 0 Mod returns the remainder of long division",True
@JoshuaNichollsMusic,2024-01-09T13:24:10Z,1,"8:30 I’m yelling at the screen “Use QUALIFY!!” I use window functions all the time and QUALIFY is the simplest solution for these situations where you need to use the output of a window function, in my experience. Maybe it’s only a Snowflake SQL thing 😅",True
@andiglazkov4915,2024-01-09T13:06:04Z,0,😊 thanks,True
