author,updated_at,like_count,text,public
@RahulJaiswal-pb4ss,2022-09-15T17:58:25Z,0,Thanku so much sir,True
@shristijalan3983,2022-04-27T06:59:51Z,0,"Has watch several videos on this topics, but yours is the one which I completely understand 😊",True
@positivevibes6254,2022-02-09T11:39:16Z,0,Sir please make more videos of aws and devops,True
@asutoshnayak1391,2022-02-08T09:38:23Z,0,Please sir make a complete playlist upon AWS please,True
@asutoshnayak1391,2022-02-08T09:31:24Z,0,Please make a playlist for AWS beginners,True
@max477,2021-03-29T13:11:26Z,0,This tutorial1  not added in the AWS Play list Thanks for the great content.....Krish,True
@bhagyashreek5792,2021-03-24T05:57:40Z,1,how can i train model on 32bit python using aws ?,True
@xpresssoul82,2021-02-12T12:55:31Z,0,Sir there is only 2 videos in playlist or more to come?,True
@saurabhgupta2676,2021-02-05T04:06:52Z,0,Hii krish i am not able to join .its showing correct your card or change card for all the cards.,True
@rajatjain328,2021-02-01T17:59:35Z,0,"Sir I am a college student and using aws educate account , so I want to ask that is amazon sagemaker free in educate account.",True
@tejasa9529,2021-01-24T11:30:34Z,0,any pre-requisites for this course?,True
@ajit287,2021-01-17T19:18:56Z,1,Thanks krish hope to make video on Microsoft Azure,True
@gauravuniyal6587,2021-01-17T11:11:40Z,1,Can you please create a playlist for data engineering or business intelligence engineering role,True
@gauravuniyal6587,2021-01-17T11:11:10Z,1,"Hi sir ,  really liked this video",True
@SajjadAlvi,2021-01-16T20:16:16Z,3,Good. Waiting for the next S3 bucket access tutorial !,True
@realityoflife9631,2021-01-16T15:59:59Z,2,Thank u sir for this playlist,True
@rajatbansal6902,2021-01-16T15:21:13Z,2,Sir please continue fastAPI playlist,True
@252adeshpatade3,2021-01-16T15:11:03Z,3,power bi ka playlist apki avaj mai hota to acha hota sir apkki avaj direct bheje mai jake save hoti hai,True
@its_me7363,2021-01-16T13:54:23Z,3,"Sir, Plz finish MongoDB playlist...",True
@karthikcreations3372,2021-01-16T13:52:01Z,2,Full stack DS Course???,True
@defender179,2021-01-16T13:29:23Z,2,S3 bucket one of the cheap and easier documents storage 👌👍,True
@nazhimkalam6842,2021-01-16T13:17:27Z,11,"thanks krish i hope u create a playlist on aws cloud computing and working with ML and DL modals with it, thanks a lot",True
@sarveshamberkar7433,2021-01-16T12:49:35Z,2,Thanks for uploading,True
@subhajitroy5850,2021-01-16T12:40:38Z,3,"Great step towards cloud .  I am working in Google cloud dataflow, dataflow services. Any plan to cover some hands on series on GCP ?",True
@anveshreddy6556,2021-01-16T12:35:43Z,3,"Hi, could you also do Snowflake if you have time?",True
@harshjoshi4539,2021-01-16T12:26:35Z,3,"Yes Yes Ab maja ayega na bhidu  🤣  I was studying it , having difficulties now i am going to ace it",True
@anandaaransa6453,2021-01-16T12:25:05Z,2,second view,True
@ameyaharshe6989,2021-01-16T12:24:39Z,3,Thanks for uploading sir!,True
