author,updated_at,like_count,text,public
@rushikeshkedare1113,2022-08-03T12:16:36Z,0,Sir power bi tools Sikhne ke liye basic kya ana chahiye..? means direct ye tools Sikhna mujhe confusion lag raha hai..means ye tools proper sikhne ke liye aur koi tools sikhna jaruri rahenga kya..bcoz jab power bo tools sikhne me easy learn ho jaye..plz kya karu bataiye..English b weak hai meri..,True
@kartikjswl4,2022-03-30T03:36:00Z,0,Bada jaali accent tha bt thanks a lot ❤️,True
@sandipansarkar9211,2021-09-23T08:18:20Z,0,finished watching,True
@louerleseigneur4532,2021-07-06T05:31:15Z,0,Thanks,True
@waseemtarique3507,2021-06-11T02:58:08Z,0,@,True
@datareactor4143,2021-03-12T05:53:38Z,3,@Krish Naik It would be great if we can have DAX formulas added to the playlist.,True
@chetangowda2403,2021-01-25T06:49:36Z,0,can you update the video related to end to end projects and interview questions,True
@roshnigupta9621,2020-05-07T16:26:48Z,0,Where is Krish sir,True
@AbhimanyuSingh-gg6ke,2020-04-11T19:24:37Z,0,"Sir , please make a playlist,  there's no sense of sharing videos like this",True
@swain7836,2020-04-10T10:43:38Z,1,"By seeing the course content , i hope will get strong knowledge on Power BI. Recently i started in one of my report project, i feel lot of issue to get data from Azure services. Hope you will provide some knowledge regarding getting data from Azure services.  Thanks.",True
@rockstarchampion5831,2020-04-10T08:30:25Z,2,10 views 6 likes 👏👏👏,True
@Manabadikavali,2020-04-10T08:30:09Z,1,how to download powerbi,True
@Manabadikavali,2020-04-10T08:30:05Z,1,how to download powerbi,True
@farazahmed1668,2020-04-10T08:23:06Z,2,"Sir, please make a video on ''Teachable Machine'', Thank you",True
