author,updated_at,like_count,text,public
@AleenDhar,2024-04-01T19:51:09Z,0,,True
@adithyajob8728,2024-01-21T21:18:16Z,0,thanks !,True
@shilpisinha921,2023-08-16T17:45:47Z,0,What I feel is you are not clear sometimes. and you confuse a lot.,True
@riddhikotak5758,2023-08-10T08:59:46Z,0,fbprophet not able to install it showing error can any one help for the same.,True
@letsgoo5176,2023-03-27T09:24:22Z,0,output 105 its added as month - when 365 days why not change the year ? its still 1961 ?,True
@bhuvaneshkumarsrivastava1818,2023-03-21T04:59:56Z,0,"Hi Krish, one Question.  Can we use it for Anomaly detection at lower grains without making a lot of False positives? (Eg: Checking for city level sales on daily basis, with total of 4000 cities)",True
@SC-hp5dn,2023-01-05T09:48:59Z,0,"just FYI, I was following this video to download and install fbprophet for the first time but faced tons of errors and finally realized that fbprophet is now called just prophet. might help others who would struggle like I did",True
@leoeveee,2022-12-26T15:33:08Z,0,Data is monthly and prediction done on daily? Shouldn't it be daily data and daily prediction?,True
@adilmajeed8439,2022-07-23T09:06:37Z,0,"It was really awesome, would it be good if you start a series of videos for geopandas which takes the individual to learn from start to finish",True
@mohamedhassan-ub4kj,2022-05-05T03:21:26Z,0,"date is represting the first day of month,so you cant use 365 days future_dates , please use the parameter future_dates = model.make_future_dataframe(periods = 365 , freq = 'M;)",True
@joelwong7270,2022-04-22T07:26:14Z,0,"Hi i know it has been 2 years  since this video , but i hope i can get a reply , when we do cross validation and it states at it has done ""19 forecast"" , the data frame df_cv will consist of 19 forecast each consist of 365 days am i right ? but when we then apply the performance metrics function , it only gives up to 365 days of error calculated values , how does it only produce 365 days of error values when there at 19 forecast of 365 days each ? Im currently using this model and i would like to relate the performance metrics to days of the week but i do not know which time period the performance metrics function calculates...  Hope i can get a response thank you, but it was a good video though",True
@ermiasdejene,2022-02-12T21:45:42Z,0,"Thanks, bruh. It was nice, simple and straight to the point tutorial. Loved it. And your presentation was clear as well as your  overall flow of logic was epic. God bless you, bro.",True
@dettol237,2022-01-03T16:09:36Z,0,"Sir I get an error while fitting the model ,the kernel dies all of a sudden",True
