author,updated_at,like_count,text,public
@statquest,2022-05-09T19:20:19Z,15,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@MLDawn,2024-05-25T06:33:10Z,1,I really enjoyed your terminology alert! Good catch!,True
@techtricks8386,2024-05-11T08:39:59Z,1,superb explanation !!!,True
@stylyxmephix2365,2024-05-07T07:16:13Z,1,Bro wtf this is the revolutionary. This is amazing. Thank you for sharing your knowledge. You made something so clear in six minutes. I am deeply impressed. May fortune be with you.,True
@rikawrites7104,2024-05-06T12:58:59Z,1,ABSOLUTELY ASTOUNDED BY THE WAY YOU TAUGHT ME THIS. thank yaaaa,True
@harshalpimple3143,2024-04-29T11:11:38Z,1,Thank you so much Joshua for this uniquely-explained video!!!,True
@hsq3985,2024-04-24T02:27:22Z,0,Hate how I must be put through horrid sonic experiences as I continuously give you a chance at that. Keep up the rest.,True
@whogashaga,2024-04-20T21:40:20Z,1,I wish you were my instructor in the Probability and Statistics class,True
@momilan,2024-04-19T18:38:52Z,1,“6 years later…. This is the beeeeeessstttt…” 🎶,True
@ambroiseasselin109,2024-04-13T18:09:26Z,1,"If I had the chance to quit my MS in Data Science to major in MS in StatQuest, I would do it in a heart beat lol",True
@exxzxxe,2024-04-05T19:36:42Z,1,Josh: I detect definite improvement in your singing voice.   When do you plan to go professional?,True
@ZhengTaing,2024-03-19T01:16:48Z,1,this intro song have to be my favorite,True
@samanhussain702,2024-03-17T20:10:55Z,1,watching this in 2024 XD,True
@herobrine1847,2024-03-17T13:36:40Z,0,"Good video! I was personally looking to get a rigorous mathematical understanding of how MLE is actually carried out (points on the probability plot where the gradient is zero or something like that), but this is a great introduction to those who aren’t even sure what the term means.",True
@freedomanana3009,2024-03-14T02:36:34Z,1,good explanation,True
@Lucid874,2024-03-13T01:24:11Z,2,thank you this helped giving me context and background as to what this is lol,True
@MohammedHAzeez,2024-03-05T03:37:25Z,1,Excellent  explanation ...... I love it ...,True
@nashwahammoud4076,2024-02-21T05:40:27Z,1,Great job,True
@freeman5860,2024-02-21T04:14:02Z,0,I really don't like your videos and I'm not sure why youre the first result for these sorts of questions.,True
@The_One_Who_Moves_the_Stars,2024-02-10T16:34:13Z,1,한국어 번역 누군지 몰라도 고맙습니다.,True
@lbognini,2024-01-26T14:11:01Z,0,"00:43 I would rather say that << the goal is to find a distribution that fits the data the best (optimaly). The one that is most likely the source of the data we have. >>  We are looking for the distribution; not the way. Words play a big role in grasping confusing concepts. Great video nonetheless, as always. 👍🏾",True
@samyakbhansali210,2024-01-22T05:30:43Z,1,Our college professor asked us to watch this before exam😂,True
@arenashawn772,2024-01-21T15:35:10Z,0,"This may be a silly question but since the estimation of the parameters of a distribution by maximum likelihood is from the data we have, I wonder if we go out and measure a group of new data, and use maximum likelihood estimates from that data, would the resulted estimation of the mean or standard deviation be different? (Assume we correctly guessed the underlying distribution is a normal distribution)(I guess the answer would be yes but the real question would be “how much different”?… And probably as I watch on/read on I’ll probably learn about the methods to do that😅)  Great video as always 🥰🥰🥰",True
@user-yd8so4ox3v,2024-01-12T18:37:07Z,1,i swear you make it so much easier than those professors u beeast,True
@ahmadsyed5221,2023-12-19T04:30:02Z,0,"what do you mean when you said "" in this case we are specifically talking abt the mean of the distribution not the mean of the data""?",True
@kavitdodhia5275,2023-12-16T18:12:54Z,0,What does observing the weights mean?,True
@ayaansheikh8519,2023-11-19T23:11:09Z,1,My dream is to meet him once and get a one on one lecture from him❤,True
@ananyamishra382,2023-11-15T16:53:26Z,1,I annot express in words how helpful this video was  ❤,True
@coolsprites4405,2023-11-08T20:26:09Z,1,THANK YOU! I was using some good MLE packages to perfectly fit my dataset w/o understanding sh#t for 2 years 😭,True
@mozorellastick2583,2023-11-04T12:31:50Z,1,Godbless you dude,True
@MindfulAI_Motivation,2023-11-03T16:14:05Z,1,"This is goldmine. Wish i had struck it earlier , nevertheless better late than nayver.. Tons and tons of thanks. Josh🙏🙏🙏",True
@TheFartoholic,2023-11-01T21:33:46Z,2,I've been looking for a straightforward approach to explaining this concept - you've provided the perfect blueprint. Thanks!,True
@aleksandarjankovski6542,2023-10-30T01:38:42Z,1,F*^&%*^ AWESOME! BRAVO.,True
@aditigupta2803,2023-10-26T18:39:42Z,0,What exactly do we mean by likelihood of observing data?,True
@sintumavuya7495,2023-10-21T02:16:42Z,2,I loved this. You have no idea how I needed this. We just started this chapter this week and just knowing what it is that I'm trying to do is really calming. Now I can listen with understanding.,True
@harkatiyoussef9994,2023-08-22T15:41:17Z,1,"""clearly explained"" is actually clearly true. Thanks a lot sir",True
@krishnachaitanyavaddepally2539,2023-08-07T08:55:44Z,0,"Hey Josh, could you make a video on Kalman Filter please?",True
@nope69555,2023-07-04T18:06:57Z,2,I love you Josh.,True
@StatsPanda777,2023-06-30T13:43:07Z,1,stat quest everyday!,True
@yarenlerler67,2023-06-28T08:57:15Z,1,I like your style <3,True
@mccallumc,2023-06-18T19:41:47Z,1,not often that I toss a like in the first 10 seconds of a video,True
@muhammadtalhaimtiaz8616,2023-06-14T21:38:46Z,1,great thank you,True
@hmingthanavanchhawng9993,2023-06-13T19:11:55Z,1,I had finals tomorrow. You're a lifesaver!,True
@russellandrady,2023-06-01T03:54:29Z,1,That's great. Nicely goes to the deep. That was smooth.,True
@user-ym2kf2ky2i,2023-05-29T17:30:29Z,0,You never provided a formula for calculating likelihood.,True
@learnersclub8001,2023-05-21T00:49:55Z,1,Very Effective ❤💙💜,True
@Shaithydollarz,2023-04-27T21:45:35Z,1,large boned is a very funny twist 😂,True
@tinacole1450,2023-04-23T02:07:19Z,1,Wow...there is a new jingle. Love it,True
@qbaliu6462,2023-04-18T08:33:11Z,1,Thanks :),True
@aljja21,2023-04-10T06:56:13Z,1,thankyou very much!!,True
@joseeduardolira4683,2023-04-07T21:41:09Z,1,"Hi, Josh! Thanks for another great video! I´ve been searching, for a while now, for a video about a method for unsupervised clustering called Growing Neural Gas Networks. It has been an unsuccessful quest. Maybe you could think about a video on that theme! Congrats and thank you very much. Cheers, JE",True
@_APAROOPAPATRA,2023-04-07T05:54:25Z,1,The way u explained was really unique and easy to catch👍👍,True
@thealonemusk,2023-03-29T19:22:04Z,1,You are the best .,True
@CocaBrunel,2023-03-06T12:14:02Z,3,"Wow! You litterly nailed it first sentence.  'Why' seems to be the most difficult question to ever face statisticians. I've read an entire textbook and still been unable to grasp, Why at an intuitive level. ""  it's the optimal way to fit a distribution to your data"" job done. Thankyou so much.",True
@hyeonjusong1159,2023-03-05T14:22:14Z,1,my hero,True
@hailegebrehiwetseyoum4556,2023-03-03T15:37:03Z,1,Great job!,True
@tanvirtanvir6435,2023-02-27T01:48:55Z,0,5:20 likelihood,True
@nasrintaghavi6877,2023-02-26T01:55:08Z,0,"Hi, thank you for this amazingly helpful video. I just have a question about the log-likelihood calculation in BIC: I am struggling with the definition of likelihood in BIC calculation, and I am unsure how to calculate it for my Bayesian regularization model. Could you please explain or link to where I can find helpful information? Regards, Nasrin",True
@74-KA,2023-02-23T11:29:05Z,0,"Wait,does particle filter apply the idea of ML😲?",True
@mohammadidreesbhat1109,2023-02-06T07:14:17Z,1,bam,True
@suzhenkang,2023-01-29T22:01:51Z,1,"Maximum Likelihood is pretty hard  , but you explain it very clearly and easy",True
@donaastor,2023-01-29T13:03:36Z,0,But how do you define the likelihood?,True
@mauricioweber8879,2023-01-20T13:54:04Z,0,3:00 the likelihood or probability are... ¿same thing?,True
@VictorOrdu,2023-01-19T19:30:29Z,0,Why no BAM!?,True
@carloschire5777,2023-01-17T21:21:16Z,1,"Thank you, very clearly. It was a good recommendation  in a virtual class about Maths for Data Science, greetings from Peru",True
@puturavindrawiguna3025,2023-01-17T12:23:50Z,0,"Hey i want to ask, does the order of fitting of maximum likelyhood affect the accuracy? For example what if i fit the std first then the mean?",True
@tongzhou2007,2023-01-12T21:47:24Z,1,"The song is like a ""stairway to heaven"" song, but written by a statistician 😄",True
@krw1643,2023-01-05T13:04:13Z,0,"After finding the mean through MLE, how should I estimate the error for this mean? Should I get the confidence interval or error through chi-square again?",True
@sadkacadmy2412,2023-01-04T03:18:06Z,1,I wish you was the one who teach me statistics,True
