author,updated_at,like_count,text,public
@krishnaik06,2022-04-08T13:27:07Z,6,"Hello Guys, Finally iNeuron is happy to announce Full Stack Data Scientist Bootcamp with Job Guarantee Program starting from 7th May 2022 and the class timing is from 3pm to 6 pm and then the doubt clearing session is from 6pm to 8pm every Saturday and Sunday. This time we are keeping 2 hours doubt clearing session after the class. All the live sessions will be recorded and it will be available through lifetime.Even prerecorded videos are also available for everyone.  Check out the syllabus and reserve your seats below https://ineuron1.viewpage.co/Full-Stack-Data-Sceince-Bootcamp  Use Krish10 for additional 10% discount Emi options also available  Direct call to our Team incase of any queries   8788503778 6260726925 9538303385 8660034247 9880055539",True
@vigneshsenthil7980,2022-09-23T03:45:27Z,0,1.dataset is not going to be easy once u get into the industry  2.practice modular programming while writing ml code  3.say no to capstone projects instead create many small end to end applications,True
@Darshan789456123,2022-06-22T23:58:27Z,0,Hi krish can you please upload videos related to Federation Learning and Federated Transfer Learning,True
@sandipansarkar9211,2022-05-13T08:25:49Z,0,finished watching,True
@footballistaedit25,2022-04-29T15:10:58Z,0,"Thank you so much, Sir. Great content",True
@pratik_muzic4441,2022-04-11T18:18:58Z,2,There are no jobs for freshers Sir... I don't know where I stand but definitely it is very hard for a fresher to get into this industry. Please sir make one video on this scenario also..,True
@sumukhadn5060,2022-04-11T12:45:48Z,0,"Hello sir,can u do a live video in meme sentiment analysis of gif and video please",True
@aashishthedevilboy,2022-04-10T17:24:16Z,1,"Hi sir, I want to learn excel and stats for data analyst. Please guide me the best source from I can learn required skills from data analyst.",True
@dibyendubiswas1998,2022-04-09T13:37:59Z,3,"Hello sir, please make one video about the:  1. Helmert Encoding, 2. Binary Encoding, 3. Effect Encoding, 4. BaseN Encoding, 5. Hash Encoding, 6. Weight of Evidence Encoding, 7. Backward Difference Encoding, 8. Leave One Out Encoding, 9. James-Stein Encoding, 10. M estomator Encoding,",True
@learner8053,2022-04-09T11:28:14Z,2,What is poc project?what is capstone project? didn't understood these terms,True
@shailesh1981able,2022-04-09T04:38:18Z,2,"Superb briefing on correcting mindset to be on right track while leaning data science!!!,👌",True
@Emotekofficial,2022-04-09T00:56:16Z,1,Mindset like Spock!,True
@ferozkhan2234,2022-04-08T18:04:38Z,1,I am a non tech background i am a student of MSc chemistry can I eligible for data science And please tell me almabetter institution is genuine or fake they told me you're eligible for data science so can I go with almabetter course of data science  Please reply me,True
@dheerajkura5914,2022-04-08T17:09:33Z,1,You mean to say DataScience mindset is to equate with recruitment mindset right..?,True
@sagarsanap9184,2022-04-08T17:06:01Z,1,"Hii, please Give your views on Almabetter Full stack data science course.",True
@mustafecali9268,2022-04-08T16:57:57Z,1,Very well ok,True
@ShadyPencil,2022-04-08T16:39:09Z,1,Very valid points!,True
@luckymoon2488,2022-04-08T16:27:33Z,2,python playlist is really helpfull. I have learned so many new things,True
@goodonething1074,2022-04-08T15:35:29Z,1,"Sir Im very confused what i do I don't understand plz tell me I have done my graduation bsc in 2019 and I want to do data science course should I go for paid course like innomatics research lab, exler ....will I get good package job after pursuing the course form this institute",True
@datacamp3557,2022-04-08T15:30:09Z,4,what is meant by modular programming?,True
@ouedraogoaboubakari6538,2022-04-08T15:21:50Z,1,Thanks u Krish for this useful explanation.,True
@sonalijain4575,2022-04-08T15:06:13Z,7,"I want to become a data scientist,  i just passed my 12th... can you suggest a UG course for data science...or how can i become a data scientist",True
@MrKB_SSJ2,2022-04-08T14:56:26Z,2,"Sir, can you please tell me what all procedures one must go through to get an internship ineuron",True
@faizmaverick7114,2022-04-08T14:49:01Z,1,Nicely explained 🔥👌,True
@vipinyadav-eh1ce,2022-04-08T14:05:52Z,2,Starts 1.00,True
@user-pu3fe5cc5i,2022-04-08T13:42:20Z,3,"Sir,can you suggest best websites for Datasets   For practicing data cleaning",True
@twocentswithdeb,2022-04-08T13:30:49Z,9,Sir you are doing a really good job. You're truly amazing man! Lots of respect for you. I am a non tech guy who has started to learn data science recently. Its been 2 months and i am definitely understanding the concepts and gaining a lot of interest in the field! Data is amazing!!,True
@PankajKumar-mr6sj,2022-04-08T13:27:29Z,2,Keep up with more content like such,True
@maheshghorsaine6919,2022-04-08T13:27:14Z,2,Wow,True
@ajayatm3456,2022-04-08T13:27:02Z,1,Nice,True
