author,updated_at,like_count,text,public
@krishnaik06,2024-04-02T07:55:13Z,26,This raw video will definitely help you understand what AI Engineers really do. Next video planned is AI Roadmap amd Resume Discussion with free videos and materials. Target for this video 1000likes and 250 comments :),True
@niharjani4716,2024-05-24T13:02:40Z,1,Thanks for the videos !!!!!!!!!,True
@amrutaingle4142,2024-05-21T09:12:27Z,0,Good explanation,True
@yashwanthreddy2651,2024-05-20T03:48:19Z,0,Very useful video sir,True
@Beny123,2024-05-15T21:46:21Z,0,"For most people : Build portfolio while learning SQL, Python , Tableau/Power bi , Cloud . Then Start working as a data analyst or data engineering. Now learn all the other skills AI engineers use with the intention of pivoting to MLE/AI engineering.",True
@itwing9312,2024-05-14T04:41:23Z,0,"such a nice presentation sir , i hop i can achieve my dream , thank you",True
@Aryansingh-kq2jq,2024-05-12T09:48:17Z,0,Great video krish,True
@saitejakuchi9367,2024-05-12T01:52:57Z,0,thank you,True
@travelling_vlogs786,2024-05-11T06:59:34Z,0,Thanks for giving a clear picture of what an AI engineering do.,True
@manojkumarv1945,2024-04-28T08:40:08Z,0,Started,True
@davidwright7659,2024-04-16T19:31:40Z,0,7+ years experience......How stingy are employers on the years of experience you have?,True
@pranayreddy5824,2024-04-06T13:37:02Z,0,commenting for road map,True
@SandeepMR26,2024-04-06T13:02:00Z,0,Thanks Naik Sir ❤,True
@nishanthgnvs3363,2024-04-05T18:17:34Z,0,🤝,True
@Nikhil.M92,2024-04-05T15:35:18Z,1,Thank you for making us understand these topics in simple ways,True
@vijaysavarimuthu,2024-04-05T15:20:08Z,0,I FOLLOWED YOUR YOUTUBE CHANNEL,True
@Govinda007007,2024-04-04T15:22:46Z,0,Roadmap will be appreciated.,True
@aniketjadhav32,2024-04-04T12:45:46Z,0,Will Data Scientists be in demand as companies can opt for foundation models except for some rare use cases?Can you pls share your view,True
@Bishnudatta25,2024-04-04T10:32:59Z,0,❤,True
@Bishnudatta25,2024-04-04T10:32:11Z,0,❤,True
@Bishnudatta25,2024-04-04T10:31:52Z,0,❤,True
@Bishnudatta25,2024-04-04T10:31:43Z,0,❤,True
@Bishnudatta25,2024-04-04T10:31:34Z,0,❤,True
@rishabhmittal9535,2024-04-04T01:13:40Z,0,🚀🚀,True
@shubham-itachi,2024-04-03T15:33:23Z,0,Sir ML vs ds vs dl vs Generative Ai kiya sikhu mai. Smaj nahi aa rha 🙏🙏🙏🙏😢😢🙏🙏🙏🙏🙏🙏🙏🙏,True
@khushmeetsingh1520,2024-04-03T12:03:08Z,1,Krish Sir! Please upload the AI Engineer Roadmap ASAP! will be Waiting for the Video!  Thank you for enlightening us about the AI Engineer Role!,True
@aravindanmanivannan7035,2024-04-03T04:20:46Z,0,Ecellent Video krish,True
@umeshgouda4746,2024-04-03T02:34:45Z,0,Thanks for the knowledge sharing 😊,True
@sahiljahangirchoudharim20m2,2024-04-02T22:49:36Z,0,good,True
@anuraggupta1008,2024-04-02T19:15:21Z,0,Please make us ai engineer,True
@sawankumar2088,2024-04-02T18:41:38Z,0,Sir it's good to know the information but company are always asking for the people who have industry experience but not the intership experience.  Then even anyone experience person can do transition,True
@santosh.s8693,2024-04-02T18:01:17Z,0,"Thank you such an amazing content, we hope you soon release the AI roadmap video",True
@vinigini1,2024-04-02T17:48:12Z,0,"Hi Krish Naik From the last few months, I am actively following your videos. I am working as Aircraft Maintenance Engineer taking care of Inflight Entertainment System onboard the airplane and my passion is with python and coding. I know the impact what AI and ML could impact in my field and have embarked in this journey choosing you as my Guru. My millions pranams to you as you are the much needed help at this moment for me. Keep posting new videos and keep inspiring billion across the world with free access to all the information.",True
@ssen081,2024-04-02T17:31:20Z,0,"Please post videos on vendor certifications like Microsoft certified Data Scientists (DP100), Machine Learning with Databricks, Microsoft certified Gen AI(AI050) to name a few. This will be immensely helpful.",True
@biswajeetdixit,2024-04-02T17:04:06Z,1,Big fan sir you are my role model im a big fan of your teaching I'm a student of yours because of you i join pw and complete the course  after your lectures Deeplearning come to picture i understand the theoretical concepts but didn't understand the practical it's completed to understand so my question is how much Deeplearning is required for data science and I want to do Ai please guide me and if it possible then please tell me how to get touch with you and you will guide us please sir 🙏🙏🙏,True
@souravkumar-eb1wz,2024-04-02T16:46:29Z,1,Liked and turned on notification too. Eagerly looking forward for roadmap video 💙✨,True
@syedhussain6358,2024-04-02T16:23:39Z,0,Excellent Bro.,True
@Factoloji369,2024-04-02T15:59:19Z,1,"Eagerly waiting for roadmap video , please also explain ai engineer role as fresher , which company and how a person can get AI role as a fresher",True
@chanduaki7176,2024-04-02T15:59:12Z,1,Thank you krish for the Insights. But some of the companies were looking for experienced people in AI/ML. How can we showcase ourselves to the recruiters about our skills.,True
@TEJASJ05,2024-04-02T15:45:21Z,0,thank you very much sir,True
@PeterMungai-fz6bb,2024-04-02T15:27:31Z,2,Watching from Kenya. Thank you sir. I came to know of this channel last week and i love the content already!,True
@DilipKumar-jm3ly,2024-04-02T15:18:37Z,0,amazing you are doing in fields i love your all video this is very informative and rich in knowledge. you making free video this help us a lot so  thanks a lot!,True
@arrearreAshu,2024-04-02T15:16:13Z,0,Yeaahh Road mappppp 🤠,True
@MARIAM-eb9zw,2024-04-02T15:03:44Z,0,does AI engineer do the work related to MLOps?,True
@AmitMaheshwariChangetheworld,2024-04-02T14:54:58Z,0,Please give a roadmap for AI/ ML Engineer roles for experienced people. Thank you for the wonderful explanation.,True
@ShraboniDey,2024-04-02T14:28:01Z,0,Very precisely explained:),True
@rurbleburble,2024-04-02T14:23:12Z,0,"Top Notch Insights of an AI engineer. can't wait to see more. Thank you, Krish Sir.",True
@cirilcherian8893,2024-04-02T14:16:24Z,3,I got job as data scientist.but now I am working in gen ai field....purely ai ml engineer.nothing related with data scientist..but your videos helped me to reach here sir.thank you very much,True
@amithkumars562,2024-04-02T13:34:59Z,1,Sir I got one year of experience as machine learning application developer.    Can you provide job assistance for me?,True
@MrPrashanthbm,2024-04-02T13:23:55Z,3,Wonderful explanation of differences b/w ai & ml,True
@GMI-xvii,2024-04-02T12:49:34Z,1,❤,True
