author,updated_at,like_count,text,public
@KenJee_ds,2020-05-08T12:22:30Z,8,Thanks for watching everyone! The link to the mathletics book is located here: https://amzn.to/34k8vfv,True
@xxkillerdogxx,2024-01-11T04:06:13Z,0,Is there a way to do this as a side hustle?,True
@vartanpashayan297,2023-06-09T17:33:19Z,1,How much do you make in sports analytics.,True
@marvinbirkelbach9379,2023-05-28T15:53:34Z,1,"if you ask an US citicen about the three major sports its baseball, baskettball and football. But if you ask the world its the real football (i mean the sport which is played with the food)",True
@patrickrankin184,2023-03-08T16:47:15Z,0,Is git useful to know if one is interested in sports analytics,True
@PeterAdiSaputro,2023-02-16T03:37:20Z,1,"Hi Ken, thanks for sharing this video. I have background in information technology and computer science, recently I'm also interested in data analytics or data sciences, but I still learning more 'specific things' about its. Are you have a company in sports analytics or data analytics ?",True
@kasusiri404,2023-01-03T20:32:26Z,0,"Hi ken,thank you for your valuble time and the information .i'm a physical sci gradute with mathematics background.looking for pursue masters in sports performance analysing .it will be really appriciate if u can provide a best one for that?",True
@AnglimEdits,2022-07-21T23:39:20Z,1,"Hey Ken, I am currently studying Mathematics Education but may switch my major to strictly analytics. Would you reccomend this degree to people looking to enter the sports data field?",True
@eli-capalot750,2022-07-18T20:44:07Z,1,Hi Ken i’ve been intrigued by this career for so long but i’m not quite sure where to start n what you would recommend. I’m going into my senior year of high school.,True
@allenqueen,2022-06-29T05:36:55Z,1,Do you have a book recommendation for soccer? Would the concepts of Matheletics translate well into soccer?,True
@ohmmundu9855,2022-06-26T06:26:44Z,1,Loved it bro,True
@nathanielmercer7559,2022-03-23T15:50:03Z,1,Thanks for the information as I will be looking at this video again many times. I am a tennis teaching professional in my community and much of professional tennis is going to using data to develop their players. Do you have any insight from the ATP/WTA tour,True
@Dudeinpjs14,2022-02-09T16:17:26Z,1,"Hey! i have a computer science degree, what route do you recommend i take? Can venmo you or whatever for a quick chat, really want some advice. been working as an SE for 2 years and i’m over it",True
@jumpropestairs6129,2021-12-13T03:50:31Z,0,I have a project for you. What happened in this play?   https://www.youtube.com/watch?v=oooWI5MHmI8,True
@abediaz6707,2021-12-03T11:59:06Z,1,Hey Ken! I just thought of the perfect job for me last night. Doing something in analytics and bjj if I could find a way to get paid and do both that would be legit! Have you seen analytics and bjj together being used anywhere?,True
@Silur,2021-11-15T05:07:52Z,3,"Hey Ken, just came across this video and I’m super interested in this career. I am currently a MIS major (Management Information Systems) which is basically a split major between computer science and business at my college. What’s your thoughts on getting this type of job with my major? I understand data analysis is big within this field and I’d assume sports analytics also, but want to see your thoughts. Thanks!",True
@hunterhastings9661,2021-11-06T08:13:39Z,1,What are some examples of projects,True
@dhandewalebhaiya,2021-10-27T04:11:10Z,1,Do we need to be good in maths for thisb,True
@dhandewalebhaiya,2021-10-27T04:10:13Z,1,I am a 16 year old boy but i keep alot of intrest in football and mostly watching them thamk you so much Sir Ken Jee i hope you would help me furthur,True
@BC-ur8sz,2021-10-20T02:00:53Z,1,What’re your thoughts on the performance analytics Vs sports analytics? What’s the career path for each?,True
@gracehughes3795,2021-10-18T03:23:11Z,2,"hey ken! majoring in econ at the moment, would you say this is a good foundation for sports analytics. Also wondering what minor your would recommend.",True
@evancramer77,2021-09-22T04:42:29Z,1,I’m a senior in high school and am interested in doing sports analytics what majors should I look for in a college.,True
@christopherwooten4544,2021-08-13T23:45:00Z,3,"Are there any dominant algorithm(s) that are used in specific sports?  Right now I am doing a project on nba stats and salary using linear regression and K-means algorithms, but are there any algorithms that have been proven more useful for sports?",True
@peterscott8421,2021-07-29T04:04:16Z,2,Any advice for someone wanting to work for a bookmaker? How to price up a sports book? I've started learning about Monte Carol simulation but I feel like i need more sportsbook modling examples,True
@sujatasalian2212,2021-07-25T11:08:17Z,1,"Hey could you help me out?  I actually wanna do sports management like into Sports Data Analysis so, I am from India do i got a doubt should I go in sports management directly after my 12th boards (ik the grades are different between indian and your country so please try to understand)  or should I do bms then mba in data analysis and then go to Germany for sports management?",True
@julianpanek7736,2021-07-05T02:44:49Z,2,"I'm currently majoring in computer science, would you recommend a minor in statistics, data analytics, or business analytics",True
@brennanwillson4745,2021-06-27T06:53:49Z,1,I am in high schooler going into my senior year and I am just wondering what pathway you would say to take to get into sports analytics. Right now I am looking into majoring in sports analytics but am wondering if there is another major people are choosing or something else I am not knowledgeable of.,True
@yashhiwale3605,2021-06-25T10:56:48Z,1,Hey! Wanted to know if there are such jobs for boxing or ufc?,True
@user-hb3zf7bt5j,2021-06-25T10:36:53Z,2,Hey ken really loved your video. I am currently going to the states this fall and wanting to land a job in sports data science. Do you believe it is mandatory to join grad school if i lack of my resume to get a job right away? Please let me know. Thank you,True
@shraddhaverenkar2857,2021-06-12T17:27:28Z,0,Hi I am in ireland and have done Sports Analysis from there. Looking for a Job.Any leads? Would be grateful,True
