author,updated_at,like_count,text,public
@dandisinfographicchannel1346,2022-03-04T03:42:55Z,0,"Hello, well maybe it's too late for me to ask this. But, the link to get the image can't be reached right now. Can you tell me the alternative for the link. Thanks love your blog and vids",True
@MichaelUtah,2021-09-03T02:08:29Z,0,"Hello, can i use this method to detect human heads from any angle (not using the face here)?",True
@andriipopovych6499,2021-04-26T11:46:07Z,0,I have the next problem:      opencv_traincascade: command not found,True
@mickmickymick6927,2021-03-05T03:21:39Z,0,"""opencv_createsamples is not a recognised command"". I added it to path and still gogt nothing.",True
@zauzauzi6711,2021-02-19T22:01:28Z,0,"Thank you very much man, i'm from brazil and unfortunately here we don't have (at least i didn't find) good content about opencv or machine learning/deep learning, thank you for sharing your knowledge!",True
@Spasmomen,2020-12-25T14:46:24Z,0,0:30 how do you cd into that directory without fully typing it?,True
@vasantpatil2996,2020-12-16T13:24:52Z,0,"Solution for ""Invalid background description file.  do this -> CR LF and change it to LF https://stackoverflow.com/questions/22610142/opencv-createsamples-invalid-background-description-file",True
@cleiraraujojunior1880,2020-09-17T22:34:43Z,0,"Hi Sentdex. I'm a parallel programmer, so how can i run simultaneously many opencv_createsamples's instances using diferents watchs images to build a lot of various positive examples, and afterward, create an entire xml dataset, i mean, cacatenated?",True
@shubhpatni2123,2020-07-14T17:32:37Z,0,opencv_createsamples command not found. But opencv is installed,True
@thamarathalagahage6704,2020-06-02T08:28:05Z,0,"First of all, thank you so much for this great tutorial series.I followed the exact same method as you did upto the level which is described in this video.  But at the training stage, after executing the opencv_traincascade...... command i'm getting the following error at about stage 5; Aborted (core dumped) Could you please tell me how to solve this?",True
@carloseduardodemarchigomes9238,2020-05-06T23:30:34Z,0,How to do on Mac??,True
@vishaldas8608,2020-05-02T02:36:08Z,0,"hey mate, I was creating Haarcascade for plant detection. and after ""opencv_createsamples -img plant15050 .jpg -bg bg.txt -info info/info.lst -pngoutput info -maxxangle 0.5 -maxyangle 0.5 -maxzangle 0.5 -num 900""   command,  I'm getting Aborted(core dumped) message. Please help me out. Thank you",True
@EduardoERL,2020-04-22T17:59:45Z,0,"I got an error on createsamples:  corrupted size vs. prev_size Aborted (core dumped) Any ideas? I checked the image sizes, the positive have 16x16 and the negatives 32x32...",True
@BieAnimation,2020-04-06T22:55:04Z,0,"Hey Sent, in my case, this return a error: POS current samplOpenCV Error: Bad argument (Can not get new positive sample. The most possible reason is *insufficient count of samples in given vec-file. ) in get, file /build/opencv-iC2m9y/opencv-3.2.0+dfsg/apps/traincascade/imagestorage.cpp, line 158 terminate called after throwing an instance of 'cv::Exception'   what():  /build/opencv-iC2m9y/opencv-3.2.0+dfsg/apps/traincascade/imagestorage.cpp:158: error: (-5) Can not get new positive sample. The most possible reason is insufficient count of samples in given vec-file.  in function get* 2000 negative files Could you help me?",True
@himanshupandey3600,2020-03-25T12:16:55Z,0,How to give multiple positive images as input to the opencv_createsample command?,True
@vidumini23,2019-12-20T04:09:09Z,0,Thank you,True
@dwang2805,2019-12-17T18:40:40Z,0,"Five minutes ago I searched a machine learning video, it's you. Now, I found this video on the internet, it's you again....",True
@oppenaumania,2019-10-30T06:40:16Z,0,"thank you so much for that amazing chanel! but i have one question to that lesson here... how can i create the trainingdata, if i have more then 1 photo from the object? for example, i have 4 photos, but i want to create for each photo ~10.000 positives. do i need to create 4 different haarcascade files or can i train it with one run?",True
@dimitarvel1441,2019-08-15T10:16:45Z,0,3:10 when your brain is short circuited,True
@kooser6,2019-08-07T02:01:00Z,0,Can I run all this on a mac without getting a web server?,True
@scqthe4654,2019-07-18T09:15:55Z,0,How would you do this using a previously marked collection?,True
@TheQuickUplifts,2019-07-14T14:57:06Z,0,Wizard alert: for windows users do the following: Install OpenCV 3.4 by compiling the source code using CMake and Visual Studio 2017. No need to pay that dime.,True
@fenildankhara3204,2019-06-15T05:40:38Z,0,the training was done for only one image. so what do next to train for multiple positive images??,True
@duckchillings3696,2019-06-14T20:19:55Z,0,My cascade is drawing tons of boxes everywhere. What does this mean? Training was corrupted?,True
@gemhan2079,2019-06-13T08:55:05Z,1,"thanks for your tutorial. I tried the opencv_createsamples command line on the terminal. but got ""-bash: opencv_createsamples: command not found"" error. I learnt from the internet that opencv4 no longer provides create sample function. when I tried opencv3.4, the situation is the same. I am using MacOS and Pycharm -- python3. Hope anybody could help me out.",True
@MichaelTsimmerman,2019-05-05T15:59:30Z,0,"couldn't find anywhere weather there is a way to run it at 4 cores , (yeah, im running it on a pi Im scared it'll explode but isnt it all the fun?)",True
@btissambouzammour4272,2019-05-01T10:39:40Z,0,hello mr.sentdex first of all i wanna say thanks for this amazing tutorial it's really really helpfull .. please when i want ro try this command opencv_traincascade -data data -vec positives.vec -bg bg.txt -numPos 1800 -numNeg 900 -numStages 10 -w 20 -h 20   i get this error   ===== TRAINING 3-stage ===== <BEGIN POS count : consumed   1800 : 1809 Train dataset for temp stage can not be filled. Branch training terminated. any help please ?????,True
@edmondcasenas2565,2019-04-28T05:38:02Z,0,"thank you very much, without this tutorial it will be hard for me to gather valuable resources :D",True
@RexIbaraki,2019-04-20T18:21:24Z,0,"I created my own positive images. and i have crated an info.lst too to match the images. the data i'm working with is of type TIF. which are colored images. I was restricted to not turn the data into grayscale image. if i run the create_smaples with my info.lst, it prompts this error: ""images/resized/info.lst(1) : parse errorDone. Created 0 samples"".  i'm lost.  pls help.",True
@akhilkrishnan615,2019-04-14T17:56:47Z,0,@sentdex: could you tell me how we can train car license plate images using cnn and keras,True
@rinat4715,2019-04-01T19:06:46Z,0,"Hello. I'm running command ""opencv_createsamples.exe -img 28_jpg\1.jpg -bg negatives\bg.txt -info out\cropped.lst -pngoutput out -num 3"", but it gives no output and no errors. Folder structure below. What's wrong?: . ./negatives    bg.txt    bg1.jpg    bg2.jpg    bg3.jpg ./out ./28_jpg   1.jpg   2.jpg    ... and ""bg.txt"" contains lines: bg1.jpg bg2.jpg bg3.jpg",True
