author,updated_at,like_count,text,public
@hijabizworld8534,2022-08-27T05:43:50Z,0,"hi, p;lease guide me towards all previous videos of this course",True
@louerleseigneur4532,2021-08-03T02:04:11Z,0,Thanks Krish,True
@rohitkamble1737,2021-05-05T19:29:43Z,0,How to calculate RMSE for linear regression?,True
@nishitnishikant8548,2021-04-30T08:16:57Z,0,"Great video and you have put in a very simple way. Needed to clarify this about convergence theorem: should we use partial derivative of J wrt to m, right? But in the video it is partial derivative of m wrt to m(which would be 1). Pls clarify",True
@harshkanumuri3977,2021-02-20T16:40:37Z,0,"Please!!  someone explain the cost function equation  , i dont understand it",True
@nott__aceu4857,2020-12-29T10:13:12Z,0,can someone link those previous videos that he is mentioning earlier,True
@PremKumar-ws1br,2020-09-29T18:12:49Z,0,Sir i think videos are not in order than how can i learn since u r explain ation is superb plz say sir,True
@MAKExplorer,2020-09-25T04:46:12Z,1,"One of the best Linear Regression explanation I have seen till today,Thanks Krish!",True
@chaitanyamallepudi3531,2020-07-21T06:24:00Z,0,Regression vs classification which one to choose! Can be found in https://medium.com/@raghusrinivas1996/regression-or-classification-487600b932c0,True
@naveeng2904,2020-06-01T09:16:02Z,1,Thanks Krish! It was amazing tutorial about the math behind the Linear Regression .I was trying hard to understand the concept behind it and you made my life easier .Very much appreciated for your help  and for your channel! God bless you !,True
@Neuraldata,2020-05-07T05:31:46Z,0,"Krish, can u make a video on finding the intersection point using gradient descent...as in this video we got to know about finding of slope(m).",True
@rajijivpandeylko,2020-01-13T07:10:50Z,0,"krish , really informative video, but the links for implementaion not found",True
@swaruppanda2842,2019-11-28T05:20:54Z,0,least sqr estimator and cost function are they same or different? Can u plz confirm,True
@thealgorithm7633,2019-11-24T05:28:28Z,0,How it is assuming the m value?,True
@junaideqbal2383,2019-11-12T03:27:02Z,0,nice explenation.,True
@nehasaroha2505,2019-11-11T14:38:36Z,1,By far this is the best explanation that I have come across for these concepts. Thanks so much for doing what you are doing Krish.,True
@vishtalks695,2019-09-21T07:02:52Z,0,Awesome,True
@suchha8698,2019-07-02T06:51:11Z,8,"Hi Krish, I have read so many blogs about Machine learning and watched so many channels and videos on you tube.. But i could not find complete information for what i was searching.. Now my search ends here.. I stopped looking at other sites these days. Lucky that i found your channel.. May god bless you. You are doing a great job!!",True
@ga43ga54,2019-05-08T11:38:13Z,1,Can you also please give an explanation on stochastic gradient decent. Your content is helping me learn alot!!! Thank you Krish!,True
@ga43ga54,2019-05-08T10:46:06Z,0,"In cost function ,why did you take the value of 1/2? and why not some other value?",True
@ga43ga54,2019-05-01T17:01:44Z,3,"Thank you so much for this video!!! This question was asked to me in my interview, really helpful!!! 😀",True
