author,updated_at,like_count,text,public
@krishnaik06,2024-05-30T04:03:07Z,9,Lets keep the target of the likes to 2000. Also dont forget to subscribe his YT channel.,True
@crazydude8333,2024-05-31T08:50:42Z,0,Maximum log kya Sikh rahe hai currently development or AI ML ? Job kisme better hoga in future aspects,True
@crazydude8333,2024-05-31T08:49:52Z,0,Fresher ko generative ai me job mil rahe hai?,True
@jaychauhan2933,2024-05-31T07:43:42Z,0,"Hi Krish,  Thank you so much for sharing your knowledge through your videos. They have been incredibly helpful in my learning journey. I appreciate all the effort you put into them. I have a few questions that I believe will also benefit the community:  Best Practices for Deployment: What are the best practices for deploying an open-source LLM (Large Language Model) to handle multiple requests from different users simultaneously?  Handling Multiple Requests: How can I deploy an open-source LLM to efficiently handle many requests from different users at the same time?  Reducing Response Time: What strategies can I use to reduce the response time of the deployed LLM?  Accuracy with RAG Implementation: How can I check the accuracy of an LLM model when using Retrieval-Augmented Generation (RAG) implementation?  Creating Instruction-Response Pairs: How can I convert raw text into instruction and response pairs for fine-tuning models like Mistral, LLaMA, or any other open-source model?  I believe a video addressing these questions and providing solutions would be very helpful for the community.  Thank you once again for your support and guidance.  Best regards, Jay",True
@KumR,2024-05-30T18:54:46Z,0,"Krish u have been showing us so many things created by others like langchain , llama index, crew ai etc... I think now its time for u to create a tool or a framework by yourself..  I am sure you will do great .... Good Luck...",True
@buchhibabu7,2024-05-30T14:01:43Z,1,"Thanks krish , It helps us a lot :)",True
@shreyaschhetri9434,2024-05-30T13:52:42Z,0,Sir asking you to create a video on Guardrails using Guardrails AI and Nemo Guardrails using Mistral or Llamma models,True
@sajjadrahman256,2024-05-30T10:59:30Z,2,"Who's target is complete within 3 days,  hit like and share thoughts. I am learning",True
@datatalkswithchandranshu2028,2024-05-30T09:45:15Z,0,We need more courses where we are integrqting open source llm models in hf/colab.,True
@yumyum3876,2024-05-30T09:40:59Z,3,He should be awarded Bharat Ratna for his outstanding contribution to AI learning in India,True
@i-code8000,2024-05-30T09:13:19Z,0,This is what I looking for for a long time. Thank you guys,True
@jayantisingh1534,2024-05-30T09:07:02Z,0,Good work ❤,True
@manafahmed2494,2024-05-30T08:50:10Z,0,what should i do if i don't have a private email? I can't create MS Azure OpenAI :(,True
@Momentum_Option_Buyer,2024-05-30T07:08:37Z,0,Are you planning to upload Azure Gen AI created by you. You said you are going to work in parallel with AWS.,True
@Momentum_Option_Buyer,2024-05-30T07:06:12Z,0,Thank you I requested.,True
@anushrikadam8650,2024-05-30T06:06:59Z,0,Can you do one on Gcp ?,True
@anshulsharma7950,2024-05-30T06:04:37Z,0,On point Knowledge ❤,True
@victorakakpo8299,2024-05-30T05:57:57Z,0,Hey am here too!,True
@skplk9221,2024-05-30T05:25:20Z,0,Please Sir Hindi ki playlist bhi bna do,True
@rishiraj2548,2024-05-30T05:02:38Z,0,🙏💯👍,True
@kunallahiri,2024-05-30T04:04:10Z,1,"Can we use azure for free ? just for the purpose of project development for a better resume. Please guide me if possible,I am a big fan of Krish's channel and his immnese contribution.thnks from thr core of my heart for teaching us ❤",True
@suvadipdutta3281,2024-05-30T04:02:33Z,4,First comment ..🎉 great work sunny Savita,True
