author,updated_at,like_count,text,public
@Belalrazaa,2023-03-05T04:33:48Z,0,thnk u siir,True
@sarthakmaheshwari9801,2022-12-17T07:32:58Z,1,I am in first year of Btech. Should I start DSA from now? And from where can I learn?,True
@sumitdutta7043,2022-12-06T05:25:19Z,0,"Sir should I do Data Structure in C++ or Python, and what about Competitive Pr3",True
@venkatesh2788,2022-10-14T12:54:05Z,0,Is aptitude is important??,True
@dheerajkumardiwakar8414,2022-01-31T16:52:02Z,0,thanks a lots sir.....your video is very knowledgefull,True
@umhvdfjkczxcgjdryjndfjobff,2022-01-30T17:46:23Z,3,"Man, you nailed it. I am grateful to gain such a precious insight from you.",True
@arrayofsilicon,2022-01-12T03:09:17Z,0,Thank you so much,True
@samikshakolhe5086,2021-09-07T05:05:25Z,0,Is it a need to learn DSA in python...or any language is preferred for data scientist intern role,True
@shiwanshsingh4977,2021-08-11T16:27:23Z,0,"Sir , Please share resources to learn dsa with pyhton.",True
@29ibrahimsayed95,2021-08-08T07:19:59Z,0,very informative,True
@shreyanshdwivedi3279,2021-07-25T09:17:26Z,0,Thank...you Also sir,True
@7billionviewsvideos972,2021-07-23T10:40:10Z,0,"Not Expert talk, but Expert level talk , i like your knowledge on that",True
@vanshshah6418,2021-07-08T04:38:31Z,0,thank you,True
@musicloversam7014,2021-06-30T17:47:10Z,1,sir thank u,True
@bhooshan25,2021-06-26T05:47:50Z,0,"I know if I learn from your videos and follow your advice, I should be successful.",True
@i_amankitgupta,2021-06-19T16:32:13Z,0,I confuse which languages data structure study C or Python because i have completed M.L. Please sir Reply,True
@abhisinghal3759,2021-05-10T17:25:11Z,1,"Very informative, Thank you very much 🙏",True
@abuyudhistira4129,2021-05-10T15:02:51Z,0,"I want to share my experience which is maybe related with this topic. I have ever learnt item-based collaborative filtering algorithm for machine learning recommender system in pandas dataframe using the famous movielens dataset and it works. Unfortunately on another occasion i have to perform the same algorithm but in big data environment, and pandas cannot work anymore. At the first i write the code using python with so much combination of nested loop. Since i have to deal with 100millions user data, it took 1 day to find recommended product for about 5000 users. Because we want to have recommended products for 100millions in less than 1 day, i change my codes overall to pyspark dataframe with different logic but same algorithm. And it works. Maybe it is one of so much reason why we should have deeper understanding regarding data structures and algorithm.",True
@zahidkazi3559,2021-05-10T06:11:03Z,1,print('Thanks Krish' ),True
@debihsofiane3229,2021-04-11T17:51:26Z,0,Thank you,True
@brandonkruger9040,2021-03-26T22:10:24Z,0,Are you still around?,True
@machinze_edits,2021-03-24T13:15:09Z,1,This person is a Legend. I just wanted to learn programming languages quickly and he helped me. A small help by subscribing 👍🏻👍🏻,True
@Kumar08,2021-03-07T12:56:38Z,1,Please start a series on DS&Algorithms,True
@AhmadAsifArifeen,2021-02-20T05:50:56Z,1,Sir do you have any data structure learning tutorial?,True
@Lucifer-lg3no,2021-02-17T12:02:45Z,0,🙏,True
@shreyasb.s3819,2020-12-23T08:55:45Z,0,Thanks,True
@AshishSinghh,2020-12-13T19:58:51Z,2,Passed out means drunk out. Say when I completed,True
@AshishSinghh,2020-12-13T19:56:02Z,0,Next time please use good noise cancellation mic,True
@daralla3272,2020-11-20T17:25:43Z,0,I like you clear explanation Thanks,True
@ahmedshabahat8786,2020-11-17T09:40:43Z,0,Such topics guys like u only make,True
@mohammadmohsinmohammedmohs9717,2020-11-07T06:16:58Z,1,can we learn data structures in Python,True
@letscode5367,2020-10-04T07:18:54Z,0,Great video.,True
@rutunjparikh2775,2020-09-24T04:54:44Z,0,Should I study Data Science or data structures first,True
@abdullahshafi8865,2020-09-14T19:05:20Z,0,youre right i am learning data science almost 11 months i get stuck in parts where i have to use unique type of functions and loops so that i can solve a probelm i what to do but i cant do it thats why i am not able to produce good new projects even though i have so many ideas about how to solve it,True
@max477,2020-07-05T18:48:47Z,1,Thanks for clearing that  most of the time i consider data structures and algorithm in same bucket,True
@aasthasaxena1237,2020-06-16T16:39:13Z,6,"Thanks , sir , I really enjoyed the video . Firslty I thought that DSA is important only for programmers , but thanks for the video  .Now  Before learning Data Science properly , I will go Through DSA first then I will learn Data Science Algorithims. Many youtbers just post 8-9 hours tutorial on Data Science , but they don't tell firstly we should learn  DSA . A BIG THANKS ,",True
@ruchirmumbarkar8758,2020-06-02T12:08:00Z,1,Arigato!,True
@dheerendrasinghbhadauria9798,2020-05-14T04:46:45Z,3,Is Data Structure and Algorithms same for data science and software developer ?? Are OOPs & DSA  of software developer field important for data science field as well ??,True
@mohammedjunaid1955,2020-05-08T14:53:57Z,2,"Sir u r doing good job plz keep it UP 👍🏻,and I have one question , see we learn programming  language ,plz tell how do we use those programs there  in companys and what kind of program we will do plz explain",True
@ranjitmaity6620,2020-04-22T08:04:10Z,2,"should we learn liked list, stack, binary tree and queue or not",True
@aslambeg1225,2020-04-09T06:33:52Z,6,Thanks  a lot Krish sir. Amazing way of teaching. I have learned very quickly KNN from your teaching. Thanks a lot **100000000,True
@tirthjshah7779,2020-03-04T16:01:07Z,0,Please start making videos on Data Structures,True
@AnkitKumar-yi1ir,2019-12-20T14:42:36Z,2,"Sir, as you made a good video on how we learn data science free from youtube. So, sir make a video on data structure and algorithm like that too. Give detail about the channel to learn about data structure and algorithm. Plz sir.",True
@vinitrege1668,2019-10-10T19:49:09Z,0,Can u make videos on RNN and LSTM plzz,True
@raghav4296,2019-10-08T11:18:38Z,4,"Hi Krish, does one need to be good in competitive programming like how they prepare for developer interviews with FB/Amazon, to be successful in data science? Thank you.",True
@bharathpreetham2840,2019-10-08T02:30:04Z,1,can u suggest best books for datastructures using python?,True
@ankitkaushal7766,2019-10-08T01:54:55Z,9,Hey Krish I have one important question in my mind. I hope u make a video or reply on this topic. What is difference b/w big data Engineer and Data scientist? What are the diff skillset needed in both,True
@prasannayadav6226,2019-10-07T18:34:00Z,2,Please Suggest any good courses to learn data structures and algorithm.,True
@ashishchourasia3721,2019-10-07T18:21:55Z,3,Please make videos on data structure,True
@adityasadhukhan8438,2019-10-07T18:15:41Z,1,You didn't answered the questionasked previously  for how computer vision is related to data science.,True
@RajasthaniLadka,2019-10-07T17:45:07Z,1,sir what is word2vector?,True
@Nick-nn5tv,2019-10-07T16:32:41Z,21,"As python has list, tuple, set, dictionary and all that but apart from these we also have linked list, stack, queue, map, tree etc. So where should I focus on. Is there a need to be advanced in them or have a taste of it excepting list, array, dictionary, tuple, series and dataframe.",True
@cutyoopsmoments2800,2019-10-07T16:07:58Z,4,"Don't worry bro, god is with us.",True
@cutyoopsmoments2800,2019-10-07T16:06:59Z,5,"Bro, we are ready to support you",True
@deepakmandal8129,2019-10-07T15:52:10Z,2,why did you stopped taking Live Q&A,True
