author,updated_at,like_count,text,public
@krishnaik06,2021-01-04T05:25:18Z,3,Which is ur favourite programming language :) comment below.,True
@sanjaydhage7779,2021-09-02T18:07:26Z,0,"Sir, what about Scala programming language?",True
@killersawant,2021-01-05T09:43:36Z,0,"hey krish ! I am a 2020 engineering graduate living in Mumbai. You made an entire video about how to follow your structured playlist to become data scientist .Now suppose I follow it and only do machine learning and skip the deep learning part can I still land a job in Mumbai ? if  yes , how much would I make as a fresher? can anyone else reply as well?",True
@ComputerScienceSimplified,2021-01-04T23:11:32Z,0,"Awesome video, keep up the amazing work :)",True
@navaneethms,2021-01-04T21:30:24Z,0,Sir Please suggest tutorials for R,True
@ArpitSingh-ex3pv,2021-01-04T12:07:41Z,0,do u hv ny student or a jobless person like u turned him as DATA SCIENTIST bcz i wnna work as data scientist nd hope so u ll help me from basic to advance..otherwise ur videos only make me excited nd depressed later,True
@nandhakishore8950,2021-01-04T10:09:00Z,1,Sir video on Resnet architecture sir!!!,True
@rishabhmer9876,2021-01-04T09:57:17Z,1,How to know whether the programming is slow or fast???,True
@arnavaggarwal2009,2021-01-04T07:18:38Z,0,You actually forgot scikit learn library for python,True
@Manoj-nv9bm,2021-01-04T06:02:57Z,1,@Krish_Naik  Is learning period is considered as Experience in data science ???,True
@kvsubbaiahsetty9834,2021-01-04T05:20:06Z,1,"Why I don’t like C++  and  Java and eliminate them from my list,  is that they are not human  ( programmer) friendly to read and code. And as Data Scientists, we understand that many concepts of DS/ML by reading programs by experts, because many concepts are mathematically involved. Understanding these maths heavy concepts by reading programs from third parties ( experts)  written in high-level languages like python is easy compared to low-level languages like C++. Java and C++ are machine-friendly and may execute fast, but non-human friendly to read and understand)  IMHO, go for the above five. Any comments welcome.",True
@ravikumar-vr6zm,2021-01-04T05:05:40Z,1,make tutorial of R programming,True
@kvsubbaiahsetty9834,2021-01-04T04:52:08Z,7,"My favourite five are: 1. Python  2. R 3. Julia  4. JavaScript  5. Golang  I stopped at , as five is luck number. In 2021 I planning to have look at :Julia  or golang ( G )",True
@riya11957,2021-01-04T04:44:59Z,2,Sir i do have 3 years of work experience as a civil engineer. I am confused if i should switch into it field and enroll for some full time course like data science nd business analytics from great lakes  or pursue Mba.,True
@yashwanthmarrapu4016,2021-01-04T04:43:09Z,1,"Hi sir,  Should I use another programming language for competitive program as python is slow for cp. Please help me .",True
@psiphistats658,2021-01-04T04:38:15Z,4,1. Python 2. R 3. Julia 4. Scala 5. C++ 6. Java 7. Javascript  Special mention Golang The Rust,True
@arjyabasu1311,2021-01-04T04:36:40Z,7,1. Python 2. R 3. Julia 4. Scala 5. C++ 6. Java 7. Javascript,True
@kandanselvaraj4924,2021-01-04T04:36:22Z,2,Are the concepts and videos of whatever you have uploaded in machine learning play list alone enough for ML preparation??,True
@akashsoni5870,2021-01-04T04:11:53Z,1,"Sir, I did my graduation in 2017 in Statistics, and after that did Data Science certification course in feb 2018 but due to some family problem I didn't look for job but now I am looking for it... Will I get job after these 2-3 year gap? It worries me a lot please help",True
@hariharanp9783,2021-01-04T03:41:21Z,3,Which programing language you read frist sir,True
