author,updated_at,like_count,text,public
@chandranshyadav4295,2022-01-23T18:39:17Z,0,"If we take the mean, it may not present the accurate picture as we may have unequal number of people from different payscales. In that case, mean can manipulate our answer, whereas, median will tell us the range of salaries for this job. That is why, Median is preffered over mean",True
@carryminati4750,2021-08-31T14:17:40Z,0,"Sir I Need your help.  I am having experience of around 08 years of Aviation Engineering, I have cleared all the rounds for Analyst post of  Accenture and now at documentation stage. I have'nt discussed salary yet, My Previous package was 6 LPA in May 2021, After that i lost my job, Now I want to ask how much i should demand as per my experience and condition?",True
@sumitmohod7020,2021-08-20T11:11:23Z,0,"As mean, median & mode are measures of central tendency. Mean is best measure of central tendency as it covers entire data to generate mean. But in presence of outliers in data median is better measure of central tendency. Different companies may have different salaries for data analyst, bigger companies might have more salary, while smaller companies have smaller salaries and vise versa. Hence, we'll use here Median as measure of central tendency here because mean get affected due to presence of outliers in data.",True
@ravikumar-gp6bb,2021-08-16T16:34:27Z,0,"Sir, iam having 6 years of experience in sales...will my experience be considered if I apply for data analyst or they will consider as fresher (in terms of salary)..kindly reply",True
@kamalgopalsingh244,2021-07-26T14:33:01Z,0,"there are outliers ,so median is used",True
@kshitijsahu2658,2021-07-24T19:36:33Z,0,Outliers,True
@ktejakrishna9620,2021-07-21T09:01:49Z,0,"Mean is about the salary that most of the people are getting, where as median is all about the middlemost value. The number of people adds a weight age here in mean but not in median. Here is an example. Suppose out of 100 people, we have only 5 people getting salary < 5 LPA, and 95 people get above 5LPA. Then Mean of salary will be above 5 LPA. It will be inclined towards the range or group with more number of data subjects or data. But median, unlike mean is strictly the middle value irrespective of the number of data subjects. Median focus only on the salary amount here not the number of people. My analysis, Please correct me if I am wrong anywhere.",True
@raj-nq8ke,2021-07-13T03:56:09Z,0,"Sir, why is their such a pay difference between india and US????",True
@bulbulmahato9271,2021-05-26T20:05:41Z,0,Because mean is the weighted average. This gives more proper idea.,True
@rahulegral9685,2021-05-13T00:38:32Z,0,Sir please make a vedio on how much maths is acutally needed for AI and ML,True
@TanuSharma-iy8mq,2021-05-12T10:34:10Z,0,To prevent it from outliers condition.,True
@RajKumar-mv6om,2021-05-06T06:18:42Z,0,Mean is highly effected by the outlier while median is slightly or almost not effected by outliers.,True
@viratiandhruv3288,2021-04-29T08:43:30Z,1,Its awesome man,True
@aatmaDipoBhava,2021-03-28T21:00:35Z,0,"Median is insensitive to Outliers, hence best way is to sort it and point at middle value.",True
@subhamjaiswal4853,2021-03-09T13:51:28Z,0,Data analyst and business analyst r same?,True
@ronaldkirui99,2021-02-19T15:43:13Z,0,"Hello sir,iam Ronald persuing my bachelors degree in data science,iam greatful on your videos.need you as my mentor.",True
@nik7867,2021-01-17T18:55:50Z,0,Outliers problem?,True
@arun-yv1he,2020-12-26T16:56:55Z,0,Sir i have a doubt on data analyst salary that.....who working in other filed now trying to jump into data analyst....how much they can expert....will they consider old Experiences...,True
@ravindervalusa8731,2020-12-26T07:33:14Z,0,you have proven that your a data analyst,True
@mdaarizjamal5872,2020-12-12T09:22:37Z,0,Avg is always towards highest.. therefore median gives a better picture.,True
@amolchavan8778,2020-12-06T04:03:49Z,0,"Boss can you make salary difference between data analyst,  data engineer Vs capm certification, pmp certificate",True
@shubhamchoudhary5461,2020-11-25T20:32:34Z,0,"1.Medians considered when we have outliers . 2.If you ploat the graph , the it'll be skewed (may b , +ve / -ve ) ,meanse not uniformity distributed...",True
@moinakmandal1072,2020-10-10T07:39:20Z,0,bell curve,True
@mainakkarmakar1701,2020-09-11T07:10:59Z,0,What is the difference between Data analysis and Statistical analysis?,True
@BreakItGaming,2020-05-12T12:45:25Z,1,Well Median is independent of the extreme values thats why you  took median. I hope i am right dude.,True
@kumarraju2923,2020-05-10T15:25:03Z,0,Any videos regarding to the how to get internship in top most companies,True
@Adhikash015,2020-03-21T04:30:06Z,2,"Median is protected from outliers and doesn't gets corrupted until more than 50% of data is not corrupted. Also the salaries of various companies differ by a lot and data must have some extreme outliers, so this is the reason we choose median.  Please respond if I am right Thank you",True
@swarnabg6916,2019-12-22T19:49:03Z,1,"Hi sir, presently I'm working in UHG as a provider data analyst, my question is can I switch from provider data analyst to data analyst, thank you in advance",True
@sanjanakale855,2019-11-04T16:39:59Z,0,Could you give details on business analytics and difference between this and data analytics,True
@sambitkhuntia9592,2019-10-22T14:35:10Z,0,"Hello Sir! I am BTech(CSE), MBA (Operation/IT, marketing), working on Data Management. But want to switch to Data Science. Please guide me on the same. Please make a video how can people like me can proceed to get into Data Science, please make a video how can people like me can proceed to get into Data Science.",True
@sudeepnellur,2019-10-08T16:16:36Z,0,"Because all data analyst and data scientist has given the survey, so the survey is only numbers which are given by few engineerings",True
@sagargupta8084,2019-09-28T06:06:40Z,0,Nielsen : pays 7 LPA,True
@SuperBhavanishankar,2019-09-26T07:14:48Z,2,Data Analyst in India: 30K rupees/month Data Analyst in America: 3lakh50K rupees/month omg 😱,True
@thirupathipriyadharshanu5674,2019-09-23T06:14:51Z,1,"Brother, can u do a video on a topic ""Does Engineering or Computer Science Degree is needed to do become a data scientist or analyst ?""",True
@DKM535,2019-09-20T14:30:18Z,1,for freshers sir the information is,True
@siddhisuraiya9536,2019-09-20T13:23:35Z,2,Sir can a Business analyst switch to Data scientist ??Are the skills of BA helpful to become data scientist ??,True
@itsmystylenaren2165,2019-09-20T10:55:00Z,1,What is the difference between data analyst MIS analyst,True
@sayanmukherjee9065,2019-09-20T09:15:58Z,1,Because of outliers...some companies give salary which is near 2digits lpa..it would distort the distribution...,True
