author,updated_at,like_count,text,public
@coreyms,2020-01-24T18:17:27Z,199,"Hey everyone! I hope everyone finds this video helpful. I wanted to make this video shorter, but I really wanted to highlight all the different ways we can update our rows and cover the apply, map, and applymap methods in as much detail as I could. In the next video, we'll be learning how to add and remove rows/columns. It will be much shorter. I should have that video out next week. I hope you all have a great weekend!",True
@RomanchakAnimeDuniya,2024-05-13T06:11:46Z,0,@corey schafer I am getting an error in applymap function,True
@mannou38,2024-04-09T13:56:13Z,2,"Thank you for your incredible work!  Just one note though, at 28:24, applymap() has actually been deprecated. Should use df.map() instead.",True
@gayratsaidakhmedov5451,2024-04-05T18:08:23Z,0,thank you,True
@samanjafarii,2024-03-31T12:11:42Z,0,As i have understood while we pass df[filt]['last'] we are actually calling a dataframe not a series that which in this case is a dtaframe with just one row that is cuz we can't pass new value to it cuz if our filter had more than one result we didn't sepcify what row are we calling to pass value.Thank u so much for your vast knowledge which after 4years still your tutorials are worthy even so many updates has been released and so many things have been changed it is stiil useful.❤,True
@ShivamGupta-wn9mo,2024-03-17T13:05:15Z,1,brilliant,True
@jasonberg6751,2024-03-16T07:48:10Z,0,Hi Corey Using - df.applymap() in this video I got : FutureWarning: DataFrame.applymap has been deprecated. Use DataFrame.map instead  Using - df.map() I got an error:  object of type 'int' has no len() . So I used :  df.map(lambda x: len(str(x))) ..... success 😀,True
@TungolTech,2024-03-02T13:26:14Z,0,Applymap is deprecated now,True
@kapibara2440,2024-02-12T18:03:58Z,0,Fantastic job dane by Corey !!! Kudos 😊,True
@pushpendratiwari400,2024-02-04T04:01:47Z,0,"hi Corey, At time stamp around 29:00 min, min should not be printing ""Corey"" as other two values are of length 4. Why this behavior?",True
@milenkamoschella2891,2024-01-09T17:57:16Z,0,"I had many problems to learn how manipulate DataFrames. This tutorial explained very clearly a lot of things.   I have a note: df.applymap(), when applying it triggers a Warning.   FutureWarning: DataFrame.applymap has been deprecated. Use DataFrame.map instead.   df.applymap(str.lower)",True
@harshadkondalkar1502,2023-12-31T08:15:43Z,0,"when you say , will continue in next video and continue the topic. You just hacked our brain to sit for more 10 mins and concentrate better !!",True
@daviskipchirchir1357,2023-12-19T07:33:30Z,0,"This is the end of 2023 and I am glad I found your videos. Our century really literally has information at our fingertips. We are just warping through information. Throughout history, such well-curated educational content has never been so easily accessible to anyone.",True
@daviskipchirchir1357,2023-12-19T07:30:39Z,0,"Brilliant work man.   Just adding that the method df.at() is inherited from C++ vector container. This seems to be true because Numpy, the base class for Pandas, was written in C++ for speed purposes. So as Pandas is a layer on top of Numpy, which is a layer on top of C++ containers, then the method must have been transferred from the containers all the way up the stack to Pandas.",True
@zhenpan2048,2023-12-11T14:18:56Z,0,The videos are quite helpful and understandable. Thank you for your brilliant work.,True
@Ayushkumar-mf3lt,2023-11-26T07:16:42Z,0,17:40,True
