author,updated_at,like_count,text,public
@Heczky,2024-01-29T20:10:59Z,0,"After activating venv2, don't we need to change Python interpreter too?  I mean, for running venv2, interpreter for 3.6.12 (venv1) was enough, it seems, just asking if it could be a problem in som cases..  Anyway thanks for great explanation, I'm actually deciding between pip and conda, which could be better, but I will probably go for conda as I plan to advance from Data Engineering to Data Analytics in a fee months.. Good luck Luke!",True
@yasir134,2023-09-09T01:25:55Z,0,"hey Luke, I'm learning datascience but stuck with some sandbox online env in browser. Turicreate needs python 3.7, i created env with pip, conda, pipx but while installing turicreate it return with error ""upgrade pip or problem with package.  Please make tutorial for that, much appreciated",True
@suparnaprasad8187,2023-08-20T13:01:53Z,0,"Great video - super helpful! But I'm unable to see the version of python running, and info about which virtual envt I'm in, can anyone please help?",True
@rezagh5438,2023-08-16T06:51:50Z,0,I wish I could like it multiple times!!!,True
@abdoaboellil2798,2023-03-21T20:16:19Z,0,"Great work, thanks",True
@sandhyaavasthi2468,2023-03-03T05:40:47Z,0,"well explained, i understand fully now, why we need virtual envrionment, great",True
@dp6736,2023-02-20T15:29:18Z,1,This is great. I was getting confuse between venv and conda. You helped me a lot. Thanks.,True
@Vanderposh,2023-02-08T15:22:30Z,1,"Luuuuuuke ❤I am revisiting these videos after initially watching them a couple of years ago when they first came out, and it’s still one of the best tutorials! You have made everything so accessible and easy to grasp. Your videos are excellent supplementary side information I am using as a graduate student in data science program 🎉",True
@elibainbridge1326,2023-01-28T07:58:27Z,0,I never understood what the  -m option does in:   'python -m  venv  my_virtualbox',True
@Digital-Light,2023-01-16T09:19:55Z,0,"i loved this video , thank you! ",True
@Alex-gw6pm,2023-01-14T18:50:03Z,1,"Very great job!! Thanks a lot for your content, very useful and detailed explanation 👍🏻👍🏻👍🏻👍🏻",True
@vishalkhombare,2022-12-08T16:42:05Z,0,"Can we not write ( say in the comments)  in the beginning of the code itself the list of packages with their  versions we used when created and ran the code successfully. This way if we transfer this our friend or say a teacher to 50 students, then can use this list in anytime in future to create the specific virtual env to run that code. Am I talking correct here? Or is there any other way to manage this?",True
@mosampatel7059,2022-12-04T23:50:24Z,0,Wow! Great explanation!,True
@shinaken,2022-11-02T16:36:48Z,0,"Hi Luke, when I try to run Python in the cmd I get the message: ""This Python interpreter is in a conda environment, but the environment has not been activated.  Libraries may fail to load."". I'm not exactly sure what this means or how to fix this.",True
@003kazimehrabrashid4,2022-09-30T02:43:47Z,0,"So the thing is as long as i am not updating any module in pip or conda, it should be working fine in global environment without creating any virtual environment. am i right?",True
@003kazimehrabrashid4,2022-09-29T19:36:58Z,0,"The way you talk and your visualization is simply awesome. The only confusion that i got is do i need to create virtual environment for every code that i am gonna write? What if I didn't create any virtual environment and got into this issue  , will it be fixable then ?",True
@ANAND02120,2022-09-10T21:31:33Z,0,Can we conclude that Virtual enviroment is like writing latex file(tex) with all the package used called or listed in the top of the file. So for virtual enviorment we install all the particular package version require for that file?,True
@monarch2397,2022-08-28T06:45:23Z,1,guys ... i have a problenm i alr install the numpy module but when i run it says no module found but when i install it again it says the module has been downloaded ..what shoul i do?,True
@rubenabrahamparedesjimenez5148,2022-08-24T19:47:34Z,0,"Great video, thanks",True
@sucharithaanumula1849,2022-08-07T11:38:02Z,0,Awesome explanation,True
@mikewaters6980,2022-07-10T13:19:11Z,3,"Best 20 mins spent all day! Thanks Luke, you managed to make it crystall clear.",True
@bradleyfrueh2761,2022-07-07T22:02:31Z,2,Thank you not nerding out too hard in the explanations. I just want to get started! I can learn the rest later. Bless you,True
@peaceazugo927,2022-07-06T20:50:36Z,0,Thanks,True
@DIGITAL_COOKING,2022-07-03T09:33:23Z,0,great series !!!   👍👍👍,True
@khanhtruong3254,2022-06-07T10:17:13Z,0,"Hey Luke. You did great job on putting yourself on python starters' shoes. The series is just awesome. Thank you so much.  Just one question: at 15:50 you said we need to restart the VS Code so that we're able to select the new installed virtual environment. But you didn't restart from the creation of ""ven2"", just needed to ""conda activate venv2"" in the command line (the Python interpreter still remains ""venv1"" at the left down conner).  So it's important to select environment in the command line. Why do we even bother about the Python interpreter of VS Code at the left down conner?",True
@msizikhanyile3667,2022-04-27T17:07:35Z,0,"Thanks Luke, this really helped me in installing statsmodels library into python and VS code env. Now I understand how to work efficiently in VS Code",True
@Mhziko,2022-03-26T12:17:46Z,0,"Anaconda never works on my machine, exhausted all the troubleshooting. Would you please recommend an alternative? Thanks",True
@gabrielgudino9357,2022-02-15T18:19:11Z,0,That was a lot of help! Thanks a lot!!,True
@mohamedawnallah2957,2022-01-20T14:14:12Z,0,Fantastic! Keep pumping out more content!,True
@yevgeniybondar7509,2021-10-24T04:23:18Z,0,like,True
@eddiebrito4515,2021-09-21T19:42:55Z,0,"Hello Luke, I am new to programing and want to expand my knowledge. I have followed your previous vids and installed everything correctly. Until this vid. My terminal looks different as you are using a mac. In the previous vids you showed how to do both platforms. Can you please explain how to do it for win 10. I would try to install ""conda instal numpy==/1.17"" with no luck in the python terminal. the terminal I am using doesn't generate the ""$"" symbol for me or have the different colors. Thanks for the help.",True
@PabloDini,2021-09-02T04:50:16Z,0,"Hi everybody, i have already installed numpy but keep me saying  "" ModuleNotFoundError: No module named 'numpy' "" , if I go to ""Run"" then ""Run without debugging"" work just fine .I don't know why",True
@jenstoftknudsen8407,2021-08-23T12:10:43Z,0,"Hey Luke, great videos  My Terminal looks different than yours (did the same as you regarding installation etc.) but you terminal says 2:python, whereas i can only choose powershell og cmd, how do i get the same option as you, for instance my terminal doesn't show which virtual environment i am in if i use Powershell or if it is cmd it shows which virtual environment but i can't use clear for example.   Is there anyway i can make it like yours?  Kind regards  Jens",True
@joycwang,2021-08-17T00:18:27Z,0,thank you best video I've seen so far to explain why and how to set up virtual environment,True
@laugedyret,2021-08-03T08:20:14Z,0,The blue popup information you create is very distracting. Otherwise a great video!,True
@andrescifuentes5729,2021-07-16T23:12:13Z,0,"Hi Luke. I'm a beginner in this world of programming languages and Data World and your videos are helping me a lot! but i'm having a huge troubles with the virtual environments . I did every single step you did in your videos of installing python, anaconda and VS code. everything seems to be perfect. I write the code to create the new environment and it runs well but... when I try to activate it does nothing. literally  nothing. Don't put error, does not activate it and I don't know what to do now",True
@PaxSanguina,2021-06-21T14:28:46Z,1,"Systematically amazing video.. I've been watching and practicing every single step (from installing anaconda). I will continue watch this video tomorrow. I am new to python. So I will savour my moment of learning it. Once again, thank you!!",True
@fabrizziorutigliano1924,2021-06-20T01:36:34Z,0,"Very neat explanation, subscribed!",True
@bhargavram7364,2021-06-02T16:51:35Z,0,"Hey Luke please give me a solution for this, I am using Windows 10 from numpy.core._multiarray_umath import ( ImportError: DLL load failed: The specified module could not be found.",True
@anthony7527,2021-05-10T05:32:11Z,0,"This video series was a great help, very much appreciated!",True
@bhavikpandya7181,2021-04-18T11:34:36Z,0,luke i am stuck here i can all i am seeing here is this conda.io.activation can u help,True
@thanarttangtanakoon2993,2021-04-12T08:29:34Z,0,Wow. The explanation is very clear !! Thanks.,True
@crypto_peng,2021-03-22T13:06:02Z,0,"clearly in the topics will have, also, this is what I want! Thanks.",True
@machyman2495,2021-02-18T03:56:48Z,2,"Luke, this series is so awesome. Been trying to figure out how best to setup anaconda and virtual environments and this is by far the clearest and best guide. I just had two quick Qs: 1) in your terminal and the .py files stuff pops up so you can autocomplete what you are typing; how do I set that up? 2) My terminal is the power shell whereas yours has the environment in parentheses and the dollar sign at the end; how do I get that setup? Thanks again for these amazing videos!",True
@prathamsethi9892,2021-02-11T15:30:53Z,0,"Great Job Luke. I've been following this playlist and so far its going great. Just one ques though, math code works fine. But, numpy is not working for me. when I tried installing it the output came 'already installed'",True
@zakeyaalsada616,2021-02-02T14:03:09Z,0,"Hi, I asked a question on another post, but then I came here. So, I downloaded anaconda on my Mac, but do I need to add a conda extension to my VS code?",True
@TheAjKurt,2021-01-30T15:16:32Z,0,Amazing work Luke. All you videos have excellent explanation with perfect visualization. Keep on going (y),True
@daniloamchagas,2021-01-29T17:48:30Z,11,"Great explanation, man! I've been watching some of your videos and they're great! Very informative and with a simple approach. Congratulations for your good work!",True
