author,updated_at,like_count,text,public
@ThobelaGoge,2024-04-28T12:07:40Z,0,Spyder looks cool...I might switch to it😃. Great video man👌,True
@gaznavie8420,2024-03-17T09:27:31Z,0,Whatever i have learnt from the theory today finally i came to know how to implement Thankyou Sir,True
@abhisknowledge5514,2024-02-16T04:36:00Z,0,"sir just one small doubt instead of x=dataset.iloc[:,:-1] can i use dataset.drop(""price"")",True
@zaedgtr6910,2023-09-18T18:04:06Z,0,Why does r2_ score changes each time i run this code?,True
@user-wj9nc2yh3i,2023-08-14T03:09:49Z,0,When you come in board is good to understand  sir you are well and excellent  teacher,True
@marishakrishna,2023-03-29T02:17:49Z,0,How we calculate beta not ie. the intercept,True
@haridaasan,2023-03-18T15:53:50Z,0,Thanks for the video sir - but could you say why we have not scaled the values using standard scaler?,True
@vatsalshingala3225,2023-03-16T05:52:09Z,0,❤❤❤❤❤❤❤❤❤❤❤❤❤❤,True
@skkAI,2022-08-20T07:20:18Z,0,1 ques: can't we implement cross validation in it???,True
@sowjanyay3424,2022-08-17T14:39:36Z,0,Extraordinary explanation 👌👌👌,True
@ballesulaimonolanrewaju6451,2022-07-10T20:56:09Z,0,"Hi @Krish Niak,   1. Why didn't you use IDE Jupyter notebook for Multiple Linear Regression? 2. Why did you decided to use IDE Spider?",True
@kaveenjayamanna1509,2022-07-02T16:53:53Z,0,"Hi Krish,  Don't we have to find out the P-value for this model? or R squared is just good enough?",True
@anirudhsrivastava3530,2022-05-18T12:50:35Z,0,"sir do for decision tree regressor model, adaboost, xgboost please",True
@gorenekli,2022-02-08T02:24:18Z,0,Thank you for your detailed explanation.,True
@jeevanraj1789,2022-01-29T03:47:26Z,0,Where the playlist kindly anyone comment the entire playlist fast,True
@dipabhow4630,2021-12-27T17:47:02Z,0,Where California has gone?,True
@somjitdas6034,2021-10-05T11:32:23Z,6,"I was struggling with Linear and Multiple regression for over 1 month. Finally, the puzzle is solved. Thanks a million, Krish. You are simply outstanding.",True
@riteshshrimali1358,2021-09-24T02:44:25Z,0,excellent explanation of MLR with  python coding,True
@abhijotsingh8502,2021-09-05T06:34:09Z,0,"Found input variables with inconsistent numbers of samples: [100, 50]. Sir this error is coming can you help me solve it",True
@sarvjeetbhardwaj6964,2021-08-28T10:31:51Z,0,"In this problem , why we didn't  we scale the features using Standardscalar or Minmax ?",True
@ssalvi28,2021-08-22T04:44:56Z,1,"That was a great explanation Krish, thank you!  **Doubt : If the number of states would have been 20 (or greater ) how to proceed in such case? **",True
@jongcheulkim7284,2021-08-07T18:51:45Z,0,Thank you so much.,True
@learnforfuture2611,2021-06-27T04:23:01Z,0,"Sir , is random state will affect our model if we increase it.",True
@harisjoseph117,2021-06-26T07:26:52Z,0,Very nice Explanation. Keep it up Krish.,True
@bobbyreynaldo7266,2021-06-06T03:49:58Z,0,I like your explanation,True
@dr.nafeesahamad8567,2021-06-04T18:02:49Z,0,"This is a really good video, Sir. Thanks",True
@tuhindas6745,2021-05-17T08:39:23Z,0,Should we not perform feature scaling (MinMax or Normal) before fitting the dataset into training and test sets ?? Is it not an important step? If anyone from the viewers can help..,True
@praveenbhatt3127,2021-05-08T18:40:50Z,0,"I am getting R squared value of 0.95, its so coooool.",True
@syedmuhammadaskarizaidi2294,2021-05-08T17:39:59Z,1,Can non-numeric feature problem be solved by label encoding?,True
@kanyadharani6844,2021-05-07T13:44:08Z,0,Can we use mapping instead of getting dummies and concatenating it.,True
@shubhamkundu2228,2021-05-04T08:40:16Z,0,Can we use Ridge and LAsso Regression models as well where we use Multiple Linear Regression?,True
@shubhamkundu2228,2021-05-04T08:34:07Z,0,"what is the disadvantage of dummy variable trap? What if I don't drop any dummy variable, what's the impact of it in ML Model? Reason to drop any one dummy variable ?",True
@prajg4310,2021-04-22T17:10:29Z,0,Are bhai coursera pe course banvao inka 🙏🙏,True
@THEAMMUOFFICIAL,2021-04-10T16:56:18Z,0,sir please provide the data set,True
@rodrigodasilva9176,2021-03-22T13:02:34Z,0,The video is great but his accent is rough.,True
@nomisangle4233,2021-03-18T00:55:16Z,0,I think the sse ssr formula is written wrong,True
@mmouhnari,2021-03-17T00:20:14Z,0,Good explanation even if the sound wasn't very good :) But we would like to know how could we make a data visualisation event with 3 or more explicative or dependent variables before the regression and surface that could occur once we get our model. Plz if you have any idea that's matter to be shared. Thank you !,True
@abhinavm9685,2021-02-09T12:45:11Z,0,You are god! thanks a lot for this!!,True
@devendarreddydev8545,2021-02-05T06:38:11Z,0,Tq sir for this vedio and also provide graph for this plz,True
@nanditasahu2358,2021-01-15T07:24:38Z,0,"Sir your content are brisk clear , the content is accurate as well as the explanation .Thanks for the effort.",True
@rohitlalwani8462,2021-01-09T06:28:04Z,0,If while doing get dummies we would not have dropped california state will it have an impact?,True
@noahrubin375,2020-12-21T05:19:00Z,1,"Yep, this was the video I was looking for!",True
@prabuddh_mathur,2020-12-14T01:41:21Z,0,"Hey! I was wondering why you didn't use OneHotEncoder from sklearn.preprocessing?? It would have been a nice two step conversion as follows  from sklearn.compose import ColumnTransformer from sklearn.preprocessing import OneHotEncoder cl=ColumnTransformer(transformers=['encoder', OneHotEncoding(), [*Column index which needs to be encoded*]], remainder = 'passthrough') x = np.array(cl.fit_transform(x))",True
@ammanh,2020-11-30T06:58:33Z,0,if my R^2 value is not close to 1 than what should i do?,True
@akilaj,2020-10-29T12:54:29Z,0,This is a good one. Plain and simple for a beginner. Keep up your work,True
@nehasehta7762,2020-10-13T12:11:24Z,2,"Sir how we decide that we should go for linear regression, there may be non linear relationships in dependant and independent features.",True
@sairampenjarla,2020-10-12T12:34:04Z,0,"guys, we can remove test_size and put random state = 10 to get 98% accuracy",True
@sauravksingh,2020-09-29T20:45:08Z,0,Can you upload a video on Mulitiple variable/feature Logistic Regression,True
@shubhendusingh5143,2020-09-26T15:36:26Z,0,"This was a good start to explain the basics of regression. But this doesnt seem complete as there could have been a visualization piece as well to explain how the regression worked. Also, what did we do with the train dataset? Is there a follow-up video on this?",True
@nimminavtej428,2020-09-23T23:39:06Z,0,y did you removed california?,True
@vishalaaa1,2020-09-19T19:54:44Z,0,"Hi. If you explain both Python and R in every video, you will get double views and subscrives, In some of the Udemy videos. Both are explained.",True
@annalyticsannalizaramos5890,2020-09-10T01:44:20Z,3,I like this comprehensively explain the details. Thank you for this content. Excellent job!,True
@noteuler314,2020-09-03T05:44:35Z,0,please use regularisation and MCA also sir with multiple linear regression,True
@santosh_Benkiee,2020-09-01T01:04:26Z,0,Thank you 🙏 sir,True
@barry4910,2020-08-26T15:27:19Z,0,I'm confused. where is b0 (beta 0)?? you didn't add a column of 1s,True
@praveenkumarsingh8723,2020-07-30T18:42:51Z,0,sir can you please provide videos on neural network implementation using python,True
@praveenkumarsingh8723,2020-07-30T17:54:11Z,0,how can i get data set,True
@gokuljith,2020-07-22T15:35:00Z,1,"Kudos Krish bro.  In LinearRegression from sklearn.linear_model, how do we reduce the error. Is there no gradient descent to reduce the error or Linear regression itself gives you the output ?",True
@hridoyahmed9964,2020-07-13T08:16:37Z,0,"Its a good video, but sir ensure the good sound quality of the video.",True
@SatendraYadav-cs1yh,2020-07-12T20:39:48Z,1,This  video is really help to me  thanks  you so much bro,True
@rbwebcom1658,2020-07-12T17:16:46Z,0,sir how to check with a simple an get a predcition..Thank you,True
@sohaibzq9649,2020-06-28T16:44:02Z,6,You missed the most important part of plotting the best fit line  The second question is when we have n dimensions (n variables in linear regression) can we apply pca ??,True
@2010aurnob,2020-06-21T09:34:00Z,1,"Great video!!! What does test_size=0.2 imply? Is it going to take 20% of data from the dataframe for randomly testing? Also, is it possible to do multivariate non-linear regression in python?",True
@aashimaanand5787,2020-06-17T15:20:45Z,1,isn't this a total copy of udemy machine learning tutorial?,True
@tejasahuonly4u325,2020-06-17T03:30:11Z,0,Sir after including  sklearn library module not found error id occur what should I need to do sir,True
@HariPrasad-et6ci,2020-06-13T07:45:55Z,0,"sir ,please explain how to test on new data...",True
@sidduhedaginal,2020-06-13T06:50:31Z,0,"Hey Krish, Good explanation.  have a doubt here, why do you take X_train, X_test, y_train, and y_test am confused? Kindly clarify",True
@gauravtak9787,2020-06-05T10:53:32Z,0,sir u predict X_test data if we want to predict some random data given by user how to predict that......how to giev random data for each variables for new prediction....,True
@ShahidIqbal-sq7bf,2020-06-02T13:35:23Z,0,if I have to plot a graph to visually understands  the difference between y_pred and y_test is there a code to do it I have checked multiple sites but none has answered my  question,True
@ShahidIqbal-sq7bf,2020-06-02T13:31:32Z,1,You are a genius I have spent so much for a course that offered me nothing. Thank you again Sir may God bless you,True
@shakyasarkar7143,2020-05-28T21:44:01Z,1,"Sir this was super useful!!! Hats off! But since we are deleting the California feature, then how are going to find the co-efficient for that particular dropped out California independent feature?",True
@arunxavier502,2020-05-21T02:09:09Z,0,Hi..when u compared the data of testy and predy..the indexes were different? is that ok?,True
@omduttpandey8201,2020-05-19T20:26:29Z,0,Hey Krish its a humble request please explain practically conversion of categorical features practically as i m getting problems with that even i have watched several tutorials such as the one of kirell eremenko of super data science and now even these pd.get_dummies isnt  working and i m getting errors like index errors and value errors.,True
@shivtripathi2843,2020-05-16T00:26:45Z,0,Very useful tutorial. Keep it up!,True
@manishhedau119,2020-05-15T12:34:22Z,0,You are doing great of the world is teaching and it will helpful for so many people I personally thank you a lot for doing this kind of good things for us ..  Salute you man,True
@abhishekpawar3845,2020-05-15T07:31:37Z,0,how to plot it on graph?,True
@okamasnr4891,2020-05-09T14:09:31Z,0,good presentation..kindly do a video on logistic regression where you are using to make prediction..,True
@sangamithrajen,2020-04-13T08:03:34Z,0,"hi Krish, what is the purpose of converting categorical predictors into indicators like 0,1, or 2? Does it mean we can do manipulation with quantitative values only?",True
@user-fh3gr7sq1z,2020-04-08T07:33:57Z,1,"this tutorial help me,   but it missimg few thinsgs :  how to find PVALUE of each x + how to calculte cost function +  how to do prediction on new dataset with the model we made ....     do you have this kind of tutorial to ?",True
@BhupinderSingh-rg9be,2020-03-07T09:17:10Z,0,sir its a request that u pls upload more and more data set on your github with code so that we can practice more.Thank u sir!,True
@meetmeraj2000,2020-03-06T15:49:57Z,4,"Sir, dont we have to first check the assumption for linear regression before fitting into the model? and adjusted r2 should be a good option in multiple linear regression?",True
@akhiljose7539,2020-02-12T14:39:44Z,0,good video! Thank you,True
@amazon628,2020-02-04T12:05:01Z,0,Hello Krish. Really good work. We do not these in-depth knowledge on high end paid courses.,True
@Rafian1924,2020-01-29T06:28:47Z,0,Multiple linear regression made so simple Krish sir.. I am highly indebted to you. Great job!!,True
@akashgayakwad9550,2020-01-12T10:25:52Z,0,"I choose , random_state=1 ,and accuracy is coming 96.50",True
@akashgayakwad9550,2020-01-12T10:02:02Z,0,U used index as bo is it right?,True
@tejassutar4198,2020-01-03T16:16:07Z,1,If more than 5  cities are present in State Column how to check that in pyhton?,True
@bhalchandrakolekar8176,2019-10-22T16:06:19Z,0,"hey krish, why didnt you use feature scaling for independent variables?",True
@jayeshjadhav3024,2019-10-02T15:39:44Z,0,why you didn't plot graph?,True
@jayeshjadhav3024,2019-10-01T19:05:49Z,0,when to use regressor.score()?,True
@SANYOG41,2019-09-22T13:46:43Z,0,@krish amazing explaination,True
@middle_class_Me,2019-09-05T16:57:40Z,2,1)sir take some big data sets and explain like daily time works....   2)how do we identify the algorithm by seeing data set also explin sir plzzz.. 3)make some analysis parts of an data sets how to analise the data by seeing those datasets,True
@MrJaga121,2019-08-17T19:41:17Z,1,"Hi, Can you explain when to go for linear regression? What are the pre requisites to check if a input and output will fit in a linear regression model or not.",True
@tanvisharma8346,2019-08-17T11:43:46Z,1,Thank you. This is Very Helpful!!,True
@ssshanmugam4514,2019-08-13T15:05:18Z,0,Nice,True
@mukulmishra2296,2019-08-07T11:02:28Z,0,please do make some videos on Target encoding.,True
@krishna7440,2019-08-06T06:14:24Z,0,and krish i dont know i am right or wrong if u mention the playlist name  in video description so it will b helpful for first time user to  track and watch all the videos u have provided in playlist as u have lot of videos but well explained :)  and  could u please decribe more about backward elimination or forward elimination  for optimising the model,True
@krishna7440,2019-08-06T06:10:26Z,1,could u please decribe more about backward elimination or forward elimination  for optimising the model,True
@deepakkumarsingh9781,2019-08-03T06:56:25Z,1,Thanks Sir for this video.. It's really unique and helpful..,True
@shilpikulshrestha9487,2019-07-25T17:51:35Z,1,"Help full video, thank  you sir",True
@ManpreetSingh-ew8qs,2019-07-21T03:56:39Z,0,Hey can we use backward elimination method? And what's its purpose,True
@osamazafar7350,2019-07-20T23:18:03Z,0,Sir. A big thanks,True
@jithperingathara1443,2019-07-12T07:20:59Z,0,why don't we drop the index column instead of considering it as beta 0.,True
@dilippradhan94,2019-07-01T10:42:06Z,0,Bro make a video on Ridge regression,True
@jogindersingh4281,2019-07-01T09:25:14Z,0,What made you use MLR model on this data set?? Why not other model..i have understood the concept of MLR but how do we know when to use it??,True
@drvk999,2019-06-10T19:23:07Z,2,You described the multiple regression very well...Thank you.   I would appreciate if you can do a detailed video on r square and adjusted r square  etc (Intuition and concept wise),True
@raghuvamsi8762,2019-06-05T05:53:48Z,0,can you explain visulatization of multiple linear regression,True
@vedantmhatre4731,2019-05-13T09:16:33Z,0,Nice Explanation. You deserve more viewers.,True
@badalsingh3733,2019-04-15T18:51:53Z,1,Would you please visualize it.,True
@raviteja2475,2019-04-08T14:18:20Z,1,Thanks for the explanation.... Sir if R2 coming nearer to zero....in this case what we need to do....How to check which attributes are spoiling the regression line,True
@chakree100,2019-03-26T20:53:35Z,0,Thanks a lot krish,True
@rajsuraaj2125,2019-03-07T19:31:21Z,1,Hi Krish Thanks for adding all these videos which are very helpful  .. and plz plot a pair plot graph for this MLR model. Thankyou.,True
@cypheranalytica6066,2019-03-03T09:27:00Z,0,Nice Video!,True
@chaitanwanjarri396,2019-02-18T05:16:29Z,0,"Hi Krish, Could you please plot the graph of multiple linear regression?",True
@abhishek-hb1vg,2019-02-16T05:19:10Z,7,Please make a video on Multiple Linear Regression using the stats model. with forward and backward elimination technique.,True
@shaileshmallya9857,2019-02-01T20:55:03Z,0,Good video. Thanks Krish.,True
@ijeffking,2019-01-31T21:24:44Z,2,Very nice pointers. Thank you Krish. Keep up the good work.Looking forward to your Deep Learning Videos. Learning a lot from you.,True
