author,updated_at,like_count,text,public
@sdivi6881,2024-03-29T14:23:40Z,0,Can someone explain why it is range(333) given? I mean how to calculate this 333,True
@akash_AKASH1,2024-03-02T15:51:22Z,0,"what is wrong im not able to understand. import os  from time import time from time import sleep  for i in range(333):     api_runner()     print('API Runner completed')     sleep(60) #sleep for 1 minute exit() stuck in this part again and again. AttributeError: 'DataFrame' object has no attribute 'append', this is error i get everytime",True
@user-rx4eq7mx4y,2024-01-20T02:32:24Z,0,"if you guys getting error while appending 8:37 use ""df = df._append(df2)"" instead",True
@user-sl7wl2kh9w,2023-12-04T19:12:38Z,3,"hello, can someone tell me why do i have only 1 timestamt at 48:15 ?",True
@cannalibrium4025,2023-11-25T19:23:15Z,0,Was there ever a follow up video with more on the data visualization part? Thank you! Great video!,True
@digitalnomad2196,2023-11-21T15:39:05Z,0,Is there a part 2 to this video ? cheers,True
@francescab1413,2023-11-18T15:07:03Z,0,"anyone getting ""UnboundLocalError: cannot access local variable 'df' where it is not associated with a value"" when running the for loop?",True
@jachimmachristian457,2023-11-11T11:04:58Z,0,"# Use this if you just want to keep it in a dataframe     df2 = pd.json_normalize(data['data']         df2['Timestamp'] = pd.Timestamp('now')  # Instead of to_datetime()     df_append = pd.DataFrame(df2)  # instead of df.append(df2)     df = pd.concat([df,df_append])  This is the code that worked for me.",True
@69nukeee,2023-10-28T15:31:36Z,0,Awesome video! You explain everything very clearly. I also dig you are showing the errors!  You are the man! 🤜🤛,True
@rezwan.23,2023-09-29T19:46:19Z,1,"at 9:02 use this syntax  df = pd.concat([df, df2]) Instead of  df = df.append(df2)",True
@neildelacruz6059,2023-09-25T07:27:41Z,1,"Thank you Alex, really great piece.",True
@zainab_saeed,2023-09-24T00:51:51Z,0,"Thank you so much Alex, I've just completed the project successfully 👍",True
@dubeyrohit90,2023-07-26T16:58:58Z,2,"I am always smiling when Alex makes mistakes keep them in the videos, because I make them too. Same for spelling mistakes. Haha. :)",True
@teox4571,2023-07-11T23:24:19Z,2,"Thanks, @AlexTheAnalyst! I love your bootcamp!  I also have a trouble:  df10 = df[['name','quote.USD.price','timestamp']] df10 = df10.query(""name == 'Bitcoin'"") df10.  You have 5 outputs, but I always have only one:  	name	quote.USD.price	timestamp 0	Bitcoin	30619.117651	2023-07-11 23:18:07.626573+00:00  Can you advise me please, how to fix it? Thanks!",True
@hykze,2023-07-11T11:47:04Z,0,Pls i need more site with APIs  Thanks alex ...u are good,True
@miagobeli-starr,2023-06-27T18:06:31Z,0,My lineplot didn’t make a line on the graph 🥲 any ideas on how to fix this? 🙏🏼,True
@ildacengu1468,2023-05-31T22:29:29Z,0,"Alex, can u please put the ""How to use a Public API"" video on the bootcamp? I was searching for it and I couldn't find and being frustrated cause I couldn't understand where this video was,since I followed all the bootcamp videos until this one,and I didn't go through it. Thanks God u have shown the link above, and in a moment I saw it.",True
@bobbyvasquez4525,2023-04-12T15:41:43Z,1,"How does one at 48:35 get to shorten the timestamps labled at the bottom. Mine are super messy, similar to the percent change before we changed it.",True
@cocolee3154,2023-04-05T01:43:15Z,0,"At 49:00 I ran into an error with  sns.set_theme(style = 'darkgrid') sns.lineplot(x='timestamp', y='quote.USD.price', data = df10)  The error says that sns does not have that function.  Did some digging and for anyone who came across the same problem, you could try, this worked for me: sns.set_style('darkgrid') sns.lineplot(x='timestamp', y='quote.USD.price', data = df10)  Hope this helped ! :D",True
@lalchandrankr2576,2023-03-10T05:18:11Z,0,"hey Alex, running the program not saved by the excel format",True
@nikssssss847,2023-02-27T16:20:38Z,1,This is very helpful Alex. Thanks and lots of love from India.,True
@monkeychunkystinkywinky,2023-02-24T18:03:00Z,0,"okay, bald!! disliked",True
@Aaronisification,2022-12-31T17:23:39Z,0,What the Heyll!?!?,True
@deepaksai3806,2022-12-27T13:44:01Z,0,Does Transposing DataFrame help while changing the columns to rows?,True
@lydiapuspita5870,2022-12-09T23:19:26Z,0,"I got an error here --> sns.lineplot(x='timestamp', y='quote.USD.price', data = df8) because: ValueError                                Traceback (most recent call last) Input In [48], in <cell line: 2>()       1 sns.set_theme(style='darkgrid') ----> 2 sns.lineplot(x='timestamp', y='quote.USD.price', data = df8)  File ~\anaconda3\lib\site-packages\seaborn\_decorators.py:46, in _deprecate_positional_args.<locals>.inner_f(*args, **kwargs)      36     warnings.warn(      37         ""Pass the following variable{} as {}keyword arg{}: {}. ""      38         ""From version 0.12, the only valid positional argument ""    (...)      43         FutureWarning      44     )      45 kwargs.update({k: arg for k, arg in zip(sig.parameters, args)}) ---> 46 return f(**kwargs)  what should I do ",True
@haiderabbas4490,2022-12-08T13:28:31Z,2,"Well 27:25, another way you can achieve removing scientific notation is by pd.options.display.float_format = '{:,.2f}'.format and just hit shift+enter in jupyter.",True
@krystlestevens2585,2022-11-30T19:35:11Z,68,"TIP: around 12:17 when you run the API runner for the first time, I had to replace ""df = df2.append(df2)"" with     df_append = pd.DataFrame(df2)     df = pd.concat([df2,df_append])  because frame.append is deprecated; new format is panda.concat. I kept getting an annoying little warning message that I didn't want to show every time the runner was successful.  I typed this out on my own after a little research and I have to give a HUGE shoutout to Alex for the videos. I am FAR from versed in Python.... Just a little research and trial and error. Hope this helps someone!",True
@riteshsinha9891,2022-08-07T04:09:04Z,5,very good content Alex. Keep it up.  suggestion: the reset_index() will automatically generated sequential numbers so there's no need to created number sequence for indexing purpose. directly call the reset_index() function,True
@ibhadeimanatue3367,2022-07-23T18:37:22Z,0,"My Seaborn catplot is not showing, please what can I do?",True
@ayodejianibaba288,2022-06-20T23:09:51Z,0,"Loved this❤️💯, thank you Alex😊used to think automation was a mountain now you’ve broken that barrier 🥂",True
@jayashukla4799,2022-06-14T17:24:26Z,3,"Thanks a ton, Alex! What did I do to deserve this🥺?!! How do you make things this easy!",True
@vinaykumarkondisetty7991,2022-06-14T01:28:51Z,0,Can you please do pyspark tutorials for us jus like you did SQL @alex,True
@sarthakdhaneshwar678,2022-06-13T23:50:24Z,0,Hi Alex! Can you share how to upload files from a folder using API of a website?,True
@jordanmcgregor7788,2022-06-10T22:27:48Z,0,"I don't know how many hours you spend preparing each of these but I am sure it is a non-trivial amount! I am curious, how much Python do you use on a day-to-day basis?",True
@nayeem3905,2022-06-10T18:34:07Z,0,"Alex, great video as usual.  I do have a topic for you if you like to discuss in another video.  How much statistics is required for a data analyst to know? Maybe do a comparison to a data scientist",True
@careerfoundry,2022-06-10T08:41:44Z,1,"This is extremely insightful, Alex! Great video and follow up from last week's video!",True
@EuroJizz,2022-06-10T05:14:05Z,3,Great demo Alex. As someone who is nearing the end of my DA degree and starting to put together a portfolio this really helped!,True
@snehalsanap1750,2022-06-09T18:46:25Z,0,@Alex The Analyst hi I need your help I was going through your SQL based project in this series but can you tell how to upload that to my resume and github,True
@LH11BULLET,2022-06-09T13:07:04Z,0,"Hi Alex, great video. I am working on this project while the video plays but it seems as though I reach the daily credit limit after running the script for 4 completions. Do you have any suggestions on how to resolve this?",True
@cantblockjo3193,2022-06-08T10:03:06Z,0,Absolutely love this! Please tell me a webscrapping tutorial is in the works 🙏🏿🤞🏿,True
@vimalrathod9026,2022-06-08T06:52:42Z,1,"Hey Alex, It was a great video and I am gonna tweak and experiment a bit with it on my end. I have a question though. While automating the script, how are we gonna update our API key? Can we use just one API key 333 times a day and we'll be getting fresh updated data every time our script runs? Or are we gonna get 333 different API keys for each time our script runs? In either case, how would we be updating our API key?",True
@felixc.programs8209,2022-06-08T00:38:55Z,0,"Love your content! You motivated me to start my own Tech Youtube channel and I hope one day it will grow like yours did. That's it ,just thank you!",True
@jatinnimawat9281,2022-06-07T22:32:07Z,0,"Dude, you are the best :)",True
@gebrilaboubakr8402,2022-06-07T20:11:19Z,2,"fantastic, even if i didn't see it. coz you're the one who is doing great videos.",True
@KeyserTheRedBeard,2022-06-07T17:29:49Z,1,cool upload Alex The Analyst. I crushed that thumbs up on your video. Keep up the very good work.,True
@godfredansah6233,2022-06-07T17:08:15Z,0,Hello Alex. I'm Godfred and i just join your channel cos your doing extremely well with the education but my problem is not about this particular video but Excel. Pls I wanna know if there is any way I can learn the excel vidoes without laptop? cos I was finding it difficult in understanding and yet and I'm also interested in the course.😥,True
@dataisfun4964,2022-06-07T15:31:42Z,0,Awesome Alex!!!,True
@Denees7,2022-06-07T15:20:27Z,0,"My kernel keeps dying while running api_runner . What should I do? I tried many times, even tried to virtual env",True
@Call-me-Avi,2022-06-07T11:35:21Z,2,"Thank you for this, dear unknown person.",True
@PlatypusIRE,2022-06-07T11:24:36Z,3,"These sort of video's are exactly what I'm looking for!!! Don't have time to go throught them at the moment, but am bookmarking them for the weekend!  Keep it up!",True
@c.n217,2022-06-06T16:13:58Z,1,"hey there I am a stay at home mom and would love to teach myself everything there is to learn to in data and possibly  in the near future get a data analyst job. If you could recommend a platform or just 1 program could you please tell me which one you would recommend and why? it is very overwhelming seeing all these options online, I have also read many reviews of people who did the google cert and didn;t get any luck getting a entry level job as an analyst . I plan on choosing a platform and your videos for practice.  Thank you in advance",True
@HBodyWMind,2022-06-06T08:39:23Z,2,Just checking. Will there be a playback version of this video?,True
@lody33100,2022-06-06T07:52:58Z,1,"Great topic as usual,  waiting...",True
@harshalmahajan6470,2022-06-06T04:20:04Z,5,"Hi Alex You are doing great job. I would request you to make project on SQL and power bi (complex one, big dataset and multiple tables)",True
