author,updated_at,like_count,text,public
@KenJee_ds,2020-04-13T13:50:12Z,21,"Hi Everyone - Thanks for watching! I have gotten awesome feedback thus far on this series. Again, my focus here is to show that data science is an iterative process. You will constantly find bugs, errors, and make mistakes. You will also have to work through them and seek to understand them. I would love to hear about some of the problems errors or bugs you faced that you ended up figuring out in the comments section!",True
@aymananees5537,2023-09-12T16:26:20Z,1,Done Part 5 👍🏼 Going to Part 6 🏃🏼‍♂,True
@brenttrek,2023-09-07T14:26:25Z,0,"I've been slowly following along using data I was able to build a scraper for in my local real estate market. I think I have understood the process of everything to this point, but now that we are getting into making sense of the data, this is where I need to spend time learning what a lot of this means. I just got to the cross_val_score and I can't make heads or tails of what I'm looking at after reading a few brief reference sheets and articles.",True
@eddiebelzebuth,2023-05-05T15:50:20Z,0,"Once again, great stuff. Quick question though (newbie here)... how come you didn't scale X_train and X_test prior to fitting your models? Or a more general question would be ""Do you typically scale your X_train and X_test prior to fitting the data to your models?"" I am primarily referring to non-tree models, like linear regression and lasso in this case. Thanks!",True
@yadali4833,2023-04-11T13:09:18Z,1,"Thanks, this was a great series. One question I have is when you do the get_dummies, you are left with hundreds of columns, but when you productionize your model later on, would someone have to sit and fill hundreds of cells as data-in of your model? sorry if I am missing something obvious I am new to data science",True
@jadenredhair126,2023-03-19T10:10:44Z,0,Very awesome playlist! Ken you’re giving people such a valuable resource. I took an intro data science class at Stanford and they literally teach everything you just went through but in 10 weeks! From data scraping to initial visualization and even model selection. We used Google Colab to code in and imo Colab works very well and is integrated with Google Drive so file sharing is easier for newcomers. I’m pointing anybody that wants to learn data science straight to you from now on!,True
@shresthaditya2950,2023-02-26T17:30:13Z,2,4:05-Lasso Regression 4:40-Random Forest Classifier 4:50-Tune Models GridSearchCV,True
@olympiasaha7165,2023-02-24T17:39:26Z,0,Hi Ken! Aren't we supposed to call the fit method on the Lasso model object that was instantiated ?,True
@svetlana1180,2023-02-19T09:32:14Z,1,"great work! very informative video, thank you!",True
@Elitexemnas,2022-12-18T01:01:31Z,1,"Hi Ken, I am late to the party in both this video and data science in general, but I'm hoping to teach myself enough to make a career pivot into data science (I'd be happy to take a job as a data analyst at this point). From the perspective of someone that has done two or three ""data analysis"" projects on Kaggle (that were really just really sloppy jobs at cleaning and EDA) being able to go on the journey from start to finish with someone that is an actual professional leaves me more appreciative than I can possible articulate. Thanks for the videos",True
@konstantinostzaferis5318,2022-08-23T22:54:42Z,2,Wouldn't it be more robust if you scaled the data before making a model?? There are a lot of columns that have different ranges of values so wouldn't scaling be better before the ML part! Great video;,True
@bhartikindra1191,2022-05-27T09:51:55Z,0,Has anyone reproduced the results? I did it but I am getting some different results. Anyone up for discussion?,True
@rogerod3,2022-05-13T21:26:19Z,2,"Amazing series, even now in 2022, as a new person in the area of data science this has been really helpful because I was really struggling with how to begin a data science project. Thank you for the content.  BTW, I don't know if you are aware of this now on 2022, but you can use #%% on a spyder script to execute portions of code like if it was a Jupyter notebook with shift + enter, I think is a little more efficient than highlight the code and do F5. Just in case you are not aware of this, although I think it all comes down to personal preference.   Sorry if my grammar is weird, I'm not an English native lol.",True
@bhavikasharma5641,2022-01-25T18:09:07Z,1,Amazing video Ken😆 It helped me started in Data Sience,True
@jayuchawla1892,2022-01-19T09:27:10Z,0,Why did he / you ignore r studio column in df_model ?,True
@xCoolguy101x,2021-09-02T02:34:13Z,0,"Hi Ken,  Great videos as always. I followed this one until 12:07. I am seeing 1.000 for R-squared and 0 for all P-values. Back in part 2, when doing the scraper I had to cut the numbers down to 250 because the process kept disconnecting. During data cleaning that number was cut down to 38. Although the numbers were vastly different compared to yours, I was able to work with it because it still produced all of the insightful analysis. Now I'm unsure if I should continue because both R-squared and P-values look weird",True
@hokapokas,2021-06-20T17:47:41Z,1,"Hi Ken, i love the way you are making the videos for the entire DS process. I would like to add a point for this video where I suggest if you have spent the feature selection process Or criterias to add more values to model and this video. Just my 2 cents for the video. It's good work done. Keep going. All the best",True
@cloudsTHEconsicious,2021-06-20T03:44:25Z,0,Jesus,True
@DBits-nb1ue,2021-05-20T07:55:17Z,0,"Hi Ken ! i'm facing issue while importing  'import statsmodels.api as sm' , i have installed statsmodels already ,  the error is : 'ImportError: cannot import name 'datetools'.' please help",True
@phyllisljackson6264,2021-05-10T19:54:54Z,1,Whoa!!,True
@TheRedPrometheus,2021-04-22T20:34:13Z,1,You can just do:    max(error)  to get the max value in error list,True
@arun_s,2021-04-04T11:31:54Z,3,"For finding the best value for alpha, instead of making a data frame, We can also do,  alpha[np.argmax(error)]  np.argmax(error) returns the index of the error and we can use it to get the alpha value.  Hope this helps.",True
@rahulahuja1412,2021-03-26T03:42:51Z,2,Thanks for putting this all together. More explanations on the algorithms and metrics would have been even more helpful.,True
@vipinamar8323,2020-12-31T02:24:12Z,1,What is the reason you are picking the alpha with max(error) should we not be minimizing this?,True
@danielchong4081,2020-12-29T18:25:51Z,4,"This is a great overview of the modeling part of a data science project. It has inspired me a lot, thank you so much for this kind of content, Ken",True
@shrutijain1628,2020-12-28T14:47:41Z,3,This is an amazing series 💯,True
@ABDULRAHMAN-od7hq,2020-11-10T14:34:16Z,0,"hey ken , wonderful video i was wondering where did u get the eda_data.csv file because in the past video we didnt save any csv file???",True
@MohamedAli-dk6cb,2020-10-31T22:06:17Z,22,"One of the best series I've ever seen on youtube related to data science. Thank you so much for this amazing effort. Very inspiring and motivating. Highly appreciated, bro.",True
@miteshmadaan8171,2020-10-30T16:00:05Z,0,@Ken Jee We can't use Ridge regression in these kind of data because of sparse nature of dataset. Right?,True
